Measure,Mar-19,Jun-19,Sep-19,Dec-19,Mar-20,Jun-20,Sep-20,Dec-20,Mar-21,Jun-21,Sep-21,Dec-21
Sales -,"38,010","38,172","38,977","39,854","39,946","38,322","40,135","42,015","43,705","45,411","46,867","48,885"
YOY Sales Growth %,18.50%,11.42%,5.76%,6.74%,5.09%,0.39%,2.97%,5.42%,9.41%,18.50%,16.77%,16.35%
Expenses -,"27,936","28,135","28,752","28,983","28,970","28,298","28,622","29,807","30,904","32,748","33,751","35,452"
Employee Cost %,53%,55%,55%,54%,55%,58%,56%,56%,54%,56%,56%,56%
Operating Profit,"10,074","10,037","10,225","10,871","10,976","10,024","11,513","12,208","12,801","12,663","13,116","13,433"
OPM %,26%,26%,26%,27%,27%,26%,29%,29%,29%,28%,28%,27%
Other Income,"1,193","1,675","1,361",818,738,598,-304,691,931,721,"1,111","1,205"
Interest,28,257,193,223,251,142,174,183,138,146,142,251
Depreciation,537,817,864,897,951,976,998,"1,024","1,067","1,075","1,116","1,196"
Profit before tax,"10,702","10,638","10,529","10,569","10,512","9,504","10,037","11,692","12,527","12,163","12,969","13,191"
Tax %,24%,23%,23%,23%,23%,26%,25%,25%,26%,26%,26%,26%
Net Profit,"8,126","8,131","8,042","8,118","8,049","7,008","7,475","8,701","9,246","9,008","9,624","9,769"
EPS in Rs,21.66,21.67,21.43,21.63,21.45,18.68,19.92,23.19,25,24.35,26.02,26.41
