Date,CPI_monthly_oecd
01-12-2018,5.244755
01-01-2019,6.597222
01-02-2019,6.968641
01-03-2019,7.665505
01-04-2019,8.333333
01-05-2019,8.650519
01-06-2019,8.591065
01-07-2019,5.980066
01-08-2019,6.312293
01-09-2019,6.976744
01-10-2019,7.615894
01-11-2019,8.609271
01-12-2019,9.634551
01-01-2020,7.491857
01-02-2020,6.840391
01-03-2020,5.501618
01-04-2020,5.448718
01-05-2020,5.095541
01-06-2020,5.063291
01-07-2020,5.329154
01-08-2020,5.625
01-09-2020,5.636574
01-10-2020,5.902163
01-11-2020,5.284787
01-12-2020,3.686636
01-01-2021,3.162966
01-02-2021,4.494493
01-03-2021,5.665658
01-04-2021,5.13986
01-05-2021,5.257646
01-06-2021,5.577841
01-07-2021,5.26388
01-08-2021,4.811442
01-09-2021,4.403048
01-10-2021,4.518828
01-11-2021,4.837365
