Date,cli_monthly
01-12-2018,101.3195
01-01-2019,101.1468
01-02-2019,100.9697
01-03-2019,100.7948
01-04-2019,100.6276
01-05-2019,100.4684
01-06-2019,100.3181
01-07-2019,100.1792
01-08-2019,100.0543
01-09-2019,99.94617
01-10-2019,99.85504
01-11-2019,99.77879
01-12-2019,99.7163
01-01-2020,99.66953
01-02-2020,99.64091
01-03-2020,83.67368
01-04-2020,56.62112
01-05-2020,76.95913
01-06-2020,87.19468
01-07-2020,93.64516
01-08-2020,95.28111
01-09-2020,98.19922
01-10-2020,100.0746
01-11-2020,100.1555
01-12-2020,100.2249
01-01-2021,100.2793
01-02-2021,100.3179
01-03-2021,100.3416
01-04-2021,100.3536
01-05-2021,100.3563
01-06-2021,100.3506
01-07-2021,100.3363
01-08-2021,100.3135
01-09-2021,100.284
01-10-2021,100.2511
01-11-2021,100.217
01-12-2021,100.1828
