Date,ShPrice_monthly
01-01-2019,131.7876
01-02-2019,132.0995
01-03-2019,137.4276
01-04-2019,142.2029
01-05-2019,141.0776
01-06-2019,144.6276
01-07-2019,141.2805
01-08-2019,135.8939
01-09-2019,137.1351
01-10-2019,141.4126
01-11-2019,148.0616
01-12-2019,150.1374
01-01-2020,151.1901
01-02-2020,148.9424
01-03-2020,118.4641
01-04-2020,112.1694
01-05-2020,114.7061
01-06-2020,125.244
01-07-2020,135.3612
01-08-2020,140.1715
01-09-2020,140.2899
01-10-2020,146.4015
01-11-2020,157.3873
01-12-2020,169.043
01-01-2021,177.5392
01-02-2021,185.6307
01-03-2021,183.1509
01-04-2021,178.6087
01-05-2021,181.9248
01-06-2021,191.541
01-07-2021,192.5354
01-08-2021,201.9794
01-09-2021,214.7879
01-10-2021,221.0192
01-11-2021,217.3347
01-12-2021,210.7808
