CPI Date,CPI Month Year,Commodity,CPI Index,CPI Weight,CPI Index Previous Month,CPI Index Previous Quarter,CPI Index Previous Year,Population Group,Provisional/Final,Latest Flag,Base Year,Rep Desc
31-01-2019 00:00,Jan-19,Egg,140.2,,138.9,136.7,143.7,Combined,Final,Latest,CPI-2012 = 100,A.1.3) Egg
31-01-2019 00:00,Jan-19,Health,145.1,,145.1,142.83,133.3,Combined,Final,Latest,CPI-2012 = 100,A.6.2) Health
31-01-2019 00:00,Jan-19,Spices,139.4,,141,140.5,137.5,Combined,Final,Latest,CPI-2012 = 100,A.1.10) Spices
31-01-2019 00:00,Jan-19,Clothing,147.6,,148.2,147.73,143.5,Combined,Final,Latest,CPI-2012 = 100,A.3.1) Clothing
31-01-2019 00:00,Jan-19,Education,150.2,,150.1,148.13,139,Combined,Final,Latest,CPI-2012 = 100,A.6.5) Education
31-01-2019 00:00,Jan-19,A.3) Housing,,,146.5,146.6,140.4,Combined,Final,Latest,CPI-2012 = 100,A.4) Housing
31-01-2019 00:00,Jan-19,Meat and fish,151.4,,150.5,148.8,144.2,Combined,Final,Latest,CPI-2012 = 100,A.1.2) Meat and fish
31-01-2019 00:00,Jan-19,A.1.8) Fruits ,135.4,,139.5,141.47,141.3,Combined,Final,Latest,CPI-2012 = 100,A.1.6) Fruits
31-01-2019 00:00,Jan-19,A.4.2) Footwear,139,,139.5,138.97,135.5,Combined,Final,Latest,CPI-2012 = 100,A.3.2) Footwear
31-01-2019 00:00,Jan-19,A) General Index,139.6,,140.2,140.53,136.9,Combined,Final,Latest,CPI-2012 = 100,A) General Index
31-01-2019 00:00,Jan-19,A.1.7) Vegetables,131.3,,135.6,143.77,151.6,Combined,Final,Latest,CPI-2012 = 100,A.1.7) Vegetables
31-01-2019 00:00,Jan-19,A.5) Miscellaneous,136.9,,136.9,136.47,129.1,Combined,Final,Latest,CPI-2012 = 100,A.6) Miscellaneous
31-01-2019 00:00,Jan-19,Food and beverages,137.4,,138.4,139.27,139.2,Combined,Final,Latest,CPI-2012 = 100,A.1) Food and beverages
