"CPI Date","CPI Month Year","Commodity","CPI Index","CPI Weight","CPI Index Previous Month","CPI Index Previous Quarter","CPI Index Previous Year","Population Group","Provisional/Final","Latest Flag","Base Year","Rep Desc"
"2011/01/31 00:00:00","JAN-2011","A.3) Housing","","","","","","Rural","Final","Latest","CPI-2010-11","A.4) Housing"
"2011/01/31 00:00:00","JAN-2011","A.3) Housing","","","","","","Rural","Provisional","Old","CPI-2010-11","A.4) Housing"
"2011/01/31 00:00:00","JAN-2011","A.3) Housing","100.2","22.53","","","","Urban","Final","Latest","CPI-2010-11","A.4) Housing"
"2011/01/31 00:00:00","JAN-2011","A.3) Housing","100","22.53","","","","Urban","Provisional","Old","CPI-2010-11","A.4) Housing"
"2011/01/31 00:00:00","JAN-2011","A.3) Housing","100.2","9.77","","","","Combined","Final","Latest","CPI-2010-11","A.4) Housing"
"2011/01/31 00:00:00","JAN-2011","A.3) Housing","100","9.77","","","","Combined","Provisional","Old","CPI-2010-11","A.4) Housing"
"2011/01/31 00:00:00","JAN-2011","A.5.7) Others","108","1.12","","","","Rural","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.5.7) Others","108","1.12","","","","Rural","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.5.7) Others","105.5","0.99","","","","Urban","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.5.7) Others","105","0.99","","","","Urban","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.5.7) Others","107","1.06","","","","Combined","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.5.7) Others","107","1.06","","","","Combined","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.1.8) Fruits ","114","1.9","","","","Rural","Final","Latest","CPI-2010-11","A.1.6) Fruits"
"2011/01/31 00:00:00","JAN-2011","A.1.8) Fruits ","114","1.9","","","","Rural","Provisional","Old","CPI-2010-11","A.1.6) Fruits"
"2011/01/31 00:00:00","JAN-2011","A.1.8) Fruits ","109.6","1.88","","","","Urban","Final","Latest","CPI-2010-11","A.1.6) Fruits"
"2011/01/31 00:00:00","JAN-2011","A.1.8) Fruits ","110","1.88","","","","Urban","Provisional","Old","CPI-2010-11","A.1.6) Fruits"
"2011/01/31 00:00:00","JAN-2011","A.1.8) Fruits ","112.1","1.89","","","","Combined","Final","Latest","CPI-2010-11","A.1.6) Fruits"
"2011/01/31 00:00:00","JAN-2011","A.1.8) Fruits ","112","1.89","","","","Combined","Provisional","Old","CPI-2010-11","A.1.6) Fruits"
"2011/01/31 00:00:00","JAN-2011","A.4.2) Footwear","106.4","0.77","","","","Rural","Final","Latest","CPI-2010-11","A.3.2) Footwear"
"2011/01/31 00:00:00","JAN-2011","A.4.2) Footwear","106","0.77","","","","Rural","Provisional","Old","CPI-2010-11","A.3.2) Footwear"
"2011/01/31 00:00:00","JAN-2011","A.4.2) Footwear","104","0.57","","","","Urban","Final","Latest","CPI-2010-11","A.3.2) Footwear"
"2011/01/31 00:00:00","JAN-2011","A.4.2) Footwear","104","0.57","","","","Urban","Provisional","Old","CPI-2010-11","A.3.2) Footwear"
"2011/01/31 00:00:00","JAN-2011","A.4.2) Footwear","105.5","0.68","","","","Combined","Final","Latest","CPI-2010-11","A.3.2) Footwear"
"2011/01/31 00:00:00","JAN-2011","A.4.2) Footwear","106","0.68","","","","Combined","Provisional","Old","CPI-2010-11","A.3.2) Footwear"
"2011/01/31 00:00:00","JAN-2011","A) General Index","107.1","100","","","","Rural","Final","Latest","CPI-2010-11","A) General Index"
"2011/01/31 00:00:00","JAN-2011","A) General Index","107","100","","","","Rural","Provisional","Old","CPI-2010-11","A) General Index"
"2011/01/31 00:00:00","JAN-2011","A) General Index","104.2","100","","","","Urban","Final","Latest","CPI-2010-11","A) General Index"
"2011/01/31 00:00:00","JAN-2011","A) General Index","104","100","","","","Urban","Provisional","Old","CPI-2010-11","A) General Index"
"2011/01/31 00:00:00","JAN-2011","A) General Index","105.9","100","","","","Combined","Final","Latest","CPI-2010-11","A) General Index"
"2011/01/31 00:00:00","JAN-2011","A) General Index","106","100","","","","Combined","Provisional","Old","CPI-2010-11","A) General Index"
"2011/01/31 00:00:00","JAN-2011","A.1.7) Vegetables","128.5","6.57","","","","Rural","Final","Latest","CPI-2010-11","A.1.7) Vegetables"
"2011/01/31 00:00:00","JAN-2011","A.1.7) Vegetables","129","6.57","","","","Rural","Provisional","Old","CPI-2010-11","A.1.7) Vegetables"
"2011/01/31 00:00:00","JAN-2011","A.1.7) Vegetables","129.7","3.96","","","","Urban","Final","Latest","CPI-2010-11","A.1.7) Vegetables"
"2011/01/31 00:00:00","JAN-2011","A.1.7) Vegetables","130","3.96","","","","Urban","Provisional","Old","CPI-2010-11","A.1.7) Vegetables"
"2011/01/31 00:00:00","JAN-2011","A.1.7) Vegetables","128.9","5.44","","","","Combined","Final","Latest","CPI-2010-11","A.1.7) Vegetables"
"2011/01/31 00:00:00","JAN-2011","A.1.7) Vegetables","129","5.44","","","","Combined","Provisional","Old","CPI-2010-11","A.1.7) Vegetables"
"2011/01/31 00:00:00","JAN-2011","A.1.9) Sugar etc.","97.9","2.41","","","","Rural","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.1.9) Sugar etc.","98","2.41","","","","Rural","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.1.9) Sugar etc.","97.8","1.26","","","","Urban","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.1.9) Sugar etc.","98","1.26","","","","Urban","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.1.9) Sugar etc.","97.8","1.91","","","","Combined","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.1.9) Sugar etc.","98","1.91","","","","Combined","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.5) Miscellaneous","105","24.91","","","","Rural","Final","Latest","CPI-2010-11","A.6) Miscellaneous"
"2011/01/31 00:00:00","JAN-2011","A.5) Miscellaneous","105","24.91","","","","Rural","Provisional","Old","CPI-2010-11","A.6) Miscellaneous"
"2011/01/31 00:00:00","JAN-2011","A.5) Miscellaneous","102.9","28","","","","Urban","Final","Latest","CPI-2010-11","A.6) Miscellaneous"
"2011/01/31 00:00:00","JAN-2011","A.5) Miscellaneous","103","28","","","","Urban","Provisional","Old","CPI-2010-11","A.6) Miscellaneous"
"2011/01/31 00:00:00","JAN-2011","A.5) Miscellaneous","104.1","26.31","","","","Combined","Final","Latest","CPI-2010-11","A.6) Miscellaneous"
"2011/01/31 00:00:00","JAN-2011","A.5) Miscellaneous","104","26.31","","","","Combined","Provisional","Old","CPI-2010-11","A.6) Miscellaneous"
"2011/01/31 00:00:00","JAN-2011","A.5.1) Medical Care","104.3","6.72","","","","Rural","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.5.1) Medical Care","104","6.72","","","","Rural","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.5.1) Medical Care","102.5","4.34","","","","Urban","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.5.1) Medical Care","103","4.34","","","","Urban","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.5.1) Medical Care","103.7","5.69","","","","Combined","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.5.1) Medical Care","104","5.69","","","","Combined","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.1.3) Oils and Fats","109.1","4.67","","","","Rural","Final","Latest","CPI-2010-11","A.1.5) Oils and fats"
"2011/01/31 00:00:00","JAN-2011","A.1.3) Oils and Fats","109","4.67","","","","Rural","Provisional","Old","CPI-2010-11","A.1.5) Oils and fats"
"2011/01/31 00:00:00","JAN-2011","A.1.3) Oils and Fats","113.8","2.89","","","","Urban","Final","Latest","CPI-2010-11","A.1.5) Oils and fats"
"2011/01/31 00:00:00","JAN-2011","A.1.3) Oils and Fats","114","2.89","","","","Urban","Provisional","Old","CPI-2010-11","A.1.5) Oils and fats"
"2011/01/31 00:00:00","JAN-2011","A.1.3) Oils and Fats","110.6","3.9","","","","Combined","Final","Latest","CPI-2010-11","A.1.5) Oils and fats"
"2011/01/31 00:00:00","JAN-2011","A.1.3) Oils and Fats","111","3.9","","","","Combined","Provisional","Old","CPI-2010-11","A.1.5) Oils and fats"
"2011/01/31 00:00:00","JAN-2011","A.2) Fuel and Light ","106.6","10.42","","","","Rural","Final","Latest","CPI-2010-11","A.5) Fuel and light"
"2011/01/31 00:00:00","JAN-2011","A.2) Fuel and Light ","107","10.42","","","","Rural","Provisional","Old","CPI-2010-11","A.5) Fuel and light"
"2011/01/31 00:00:00","JAN-2011","A.2) Fuel and Light ","104.6","8.4","","","","Urban","Final","Latest","CPI-2010-11","A.5) Fuel and light"
"2011/01/31 00:00:00","JAN-2011","A.2) Fuel and Light ","105","8.4","","","","Urban","Provisional","Old","CPI-2010-11","A.5) Fuel and light"
"2011/01/31 00:00:00","JAN-2011","A.2) Fuel and Light ","105.9","9.49","","","","Combined","Final","Latest","CPI-2010-11","A.5) Fuel and light"
"2011/01/31 00:00:00","JAN-2011","A.2) Fuel and Light ","106","9.49","","","","Combined","Provisional","Old","CPI-2010-11","A.5) Fuel and light"
"2011/01/31 00:00:00","JAN-2011","A.1.5) Milk and Products ","106.4","8.59","","","","Rural","Final","Latest","CPI-2010-11","A.1.4) Milk and products"
"2011/01/31 00:00:00","JAN-2011","A.1.5) Milk and Products ","106","8.59","","","","Rural","Provisional","Old","CPI-2010-11","A.1.4) Milk and products"
"2011/01/31 00:00:00","JAN-2011","A.1.5) Milk and Products ","105.2","6.61","","","","Urban","Final","Latest","CPI-2010-11","A.1.4) Milk and products"
"2011/01/31 00:00:00","JAN-2011","A.1.5) Milk and Products ","105","6.61","","","","Urban","Provisional","Old","CPI-2010-11","A.1.4) Milk and products"
"2011/01/31 00:00:00","JAN-2011","A.1.5) Milk and Products ","105.9","7.73","","","","Combined","Final","Latest","CPI-2010-11","A.1.4) Milk and products"
"2011/01/31 00:00:00","JAN-2011","A.1.5) Milk and Products ","106","7.73","","","","Combined","Provisional","Old","CPI-2010-11","A.1.4) Milk and products"
"2011/01/31 00:00:00","JAN-2011","A.1.4) Egg, Fish and Meat ","106.4","3.38","","","","Rural","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.1.4) Egg, Fish and Meat ","106","3.38","","","","Rural","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.1.4) Egg, Fish and Meat ","105.9","2.26","","","","Urban","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.1.4) Egg, Fish and Meat ","106","2.26","","","","Urban","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.1.4) Egg, Fish and Meat ","106.2","2.89","","","","Combined","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.1.4) Egg, Fish and Meat ","106","2.89","","","","Combined","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.1.1) Cereals and Products","104.7","19.08","","","","Rural","Final","Latest","CPI-2010-11","A.1.1) Cereals and products"
"2011/01/31 00:00:00","JAN-2011","A.1.1) Cereals and Products","105","19.08","","","","Rural","Provisional","Old","CPI-2010-11","A.1.1) Cereals and products"
"2011/01/31 00:00:00","JAN-2011","A.1.1) Cereals and Products","101.5","8.73","","","","Urban","Final","Latest","CPI-2010-11","A.1.1) Cereals and products"
"2011/01/31 00:00:00","JAN-2011","A.1.1) Cereals and Products","102","8.73","","","","Urban","Provisional","Old","CPI-2010-11","A.1.1) Cereals and products"
"2011/01/31 00:00:00","JAN-2011","A.1.1) Cereals and Products","103.9","14.59","","","","Combined","Final","Latest","CPI-2010-11","A.1.1) Cereals and products"
"2011/01/31 00:00:00","JAN-2011","A.1.1) Cereals and Products","104","14.59","","","","Combined","Provisional","Old","CPI-2010-11","A.1.1) Cereals and products"
"2011/01/31 00:00:00","JAN-2011","A.1.2) Pulses and Products ","98.2","3.25","","","","Rural","Final","Latest","CPI-2010-11","A.1.8) Pulses and products"
"2011/01/31 00:00:00","JAN-2011","A.1.2) Pulses and Products ","98","3.25","","","","Rural","Provisional","Old","CPI-2010-11","A.1.8) Pulses and products"
"2011/01/31 00:00:00","JAN-2011","A.1.2) Pulses and Products ","94.9","1.87","","","","Urban","Final","Latest","CPI-2010-11","A.1.8) Pulses and products"
"2011/01/31 00:00:00","JAN-2011","A.1.2) Pulses and Products ","95","1.87","","","","Urban","Provisional","Old","CPI-2010-11","A.1.8) Pulses and products"
"2011/01/31 00:00:00","JAN-2011","A.1.2) Pulses and Products ","97.2","2.65","","","","Combined","Final","Latest","CPI-2010-11","A.1.8) Pulses and products"
"2011/01/31 00:00:00","JAN-2011","A.1.2) Pulses and Products ","97","2.65","","","","Combined","Provisional","Old","CPI-2010-11","A.1.8) Pulses and products"
"2011/01/31 00:00:00","JAN-2011","A.4.1) Clothing and Bedding","107.6","4.6","","","","Rural","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.4.1) Clothing and Bedding","108","4.6","","","","Rural","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.4.1) Clothing and Bedding","107.8","3.34","","","","Urban","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.4.1) Clothing and Bedding","108","3.34","","","","Urban","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.4.1) Clothing and Bedding","107.7","4.05","","","","Combined","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.4.1) Clothing and Bedding","108","4.05","","","","Combined","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.5.6) Household Requisites","106.1","4.48","","","","Rural","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.5.6) Household Requisites","106","4.48","","","","Rural","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.5.6) Household Requisites","102.9","3.92","","","","Urban","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.5.6) Household Requisites","103","3.92","","","","Urban","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.5.6) Household Requisites","104.8","4.3","","","","Combined","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.5.6) Household Requisites","105","4.3","","","","Combined","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.1.6) Condiments and Spices","110.1","2.13","","","","Rural","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.1.6) Condiments and Spices","110","2.13","","","","Rural","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.1.6) Condiments and Spices","109.4","1.16","","","","Urban","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.1.6) Condiments and Spices","109","1.16","","","","Urban","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.1.6) Condiments and Spices","109.9","1.71","","","","Combined","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.1.6) Condiments and Spices","110","1.71","","","","Combined","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.5.3) Recreation and Amusement","103.5","1","","","","Rural","Final","Latest","CPI-2010-11","A.6.4) Recreation and amusement"
"2011/01/31 00:00:00","JAN-2011","A.5.3) Recreation and Amusement","104","1","","","","Rural","Provisional","Old","CPI-2010-11","A.6.4) Recreation and amusement"
"2011/01/31 00:00:00","JAN-2011","A.5.3) Recreation and Amusement","101.1","1.99","","","","Urban","Final","Latest","CPI-2010-11","A.6.4) Recreation and amusement"
"2011/01/31 00:00:00","JAN-2011","A.5.3) Recreation and Amusement","101","1.99","","","","Urban","Provisional","Old","CPI-2010-11","A.6.4) Recreation and amusement"
"2011/01/31 00:00:00","JAN-2011","A.5.3) Recreation and Amusement","102.1","1.43","","","","Combined","Final","Latest","CPI-2010-11","A.6.4) Recreation and amusement"
"2011/01/31 00:00:00","JAN-2011","A.5.3) Recreation and Amusement","102","1.43","","","","Combined","Provisional","Old","CPI-2010-11","A.6.4) Recreation and amusement"
"2011/01/31 00:00:00","JAN-2011","A.1) Food, Beverages and Tobacco","108.1","59.31","","","","Rural","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.1) Food, Beverages and Tobacco","108","59.31","","","","Rural","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.1) Food, Beverages and Tobacco","107.2","37.15","","","","Urban","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.1) Food, Beverages and Tobacco","107","37.15","","","","Urban","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.1) Food, Beverages and Tobacco","107.8","49.71","","","","Combined","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.1) Food, Beverages and Tobacco","108","49.71","","","","Combined","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.1.10) Non-Alcoholic Beverages ","105.8","2.04","","","","Rural","Final","Latest","CPI-2010-11","A.1.11) Non-alcoholic beverages"
"2011/01/31 00:00:00","JAN-2011","A.1.10) Non-Alcoholic Beverages ","106","2.04","","","","Rural","Provisional","Old","CPI-2010-11","A.1.11) Non-alcoholic beverages"
"2011/01/31 00:00:00","JAN-2011","A.1.10) Non-Alcoholic Beverages ","103.9","2.02","","","","Urban","Final","Latest","CPI-2010-11","A.1.11) Non-alcoholic beverages"
"2011/01/31 00:00:00","JAN-2011","A.1.10) Non-Alcoholic Beverages ","104","2.02","","","","Urban","Provisional","Old","CPI-2010-11","A.1.11) Non-alcoholic beverages"
"2011/01/31 00:00:00","JAN-2011","A.1.10) Non-Alcoholic Beverages ","105","2.03","","","","Combined","Final","Latest","CPI-2010-11","A.1.11) Non-alcoholic beverages"
"2011/01/31 00:00:00","JAN-2011","A.1.10) Non-Alcoholic Beverages ","105","2.03","","","","Combined","Provisional","Old","CPI-2010-11","A.1.11) Non-alcoholic beverages"
"2011/01/31 00:00:00","JAN-2011","A.5.5) Personal Care and Effects","104.2","3.05","","","","Rural","Final","Latest","CPI-2010-11","A.6.6) Personal Care and Effects"
"2011/01/31 00:00:00","JAN-2011","A.5.5) Personal Care and Effects","104","3.05","","","","Rural","Provisional","Old","CPI-2010-11","A.6.6) Personal Care and Effects"
"2011/01/31 00:00:00","JAN-2011","A.5.5) Personal Care and Effects","101.9","2.74","","","","Urban","Final","Latest","CPI-2010-11","A.6.6) Personal Care and Effects"
"2011/01/31 00:00:00","JAN-2011","A.5.5) Personal Care and Effects","102","2.74","","","","Urban","Provisional","Old","CPI-2010-11","A.6.6) Personal Care and Effects"
"2011/01/31 00:00:00","JAN-2011","A.5.5) Personal Care and Effects","103.2","2.92","","","","Combined","Final","Latest","CPI-2010-11","A.6.6) Personal Care and Effects"
"2011/01/31 00:00:00","JAN-2011","A.5.5) Personal Care and Effects","103","2.92","","","","Combined","Provisional","Old","CPI-2010-11","A.6.6) Personal Care and Effects"
"2011/01/31 00:00:00","JAN-2011","A.5.2) Education, Stationary etc.","103.7","2.71","","","","Rural","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.5.2) Education, Stationary etc.","103","2.71","","","","Rural","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.5.2) Education, Stationary etc.","102","4.18","","","","Urban","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.5.2) Education, Stationary etc.","102","4.18","","","","Urban","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.5.2) Education, Stationary etc.","102.8","3.35","","","","Combined","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.5.2) Education, Stationary etc.","103","3.35","","","","Combined","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.5.4) Transport and Communication","105.8","5.83","","","","Rural","Final","Latest","CPI-2010-11","A.6.3) Transport and communication"
"2011/01/31 00:00:00","JAN-2011","A.5.4) Transport and Communication","106","5.83","","","","Rural","Provisional","Old","CPI-2010-11","A.6.3) Transport and communication"
"2011/01/31 00:00:00","JAN-2011","A.5.4) Transport and Communication","103.9","9.84","","","","Urban","Final","Latest","CPI-2010-11","A.6.3) Transport and communication"
"2011/01/31 00:00:00","JAN-2011","A.5.4) Transport and Communication","104","9.84","","","","Urban","Provisional","Old","CPI-2010-11","A.6.3) Transport and communication"
"2011/01/31 00:00:00","JAN-2011","A.5.4) Transport and Communication","104.7","7.57","","","","Combined","Final","Latest","CPI-2010-11","A.6.3) Transport and communication"
"2011/01/31 00:00:00","JAN-2011","A.5.4) Transport and Communication","105","7.57","","","","Combined","Provisional","Old","CPI-2010-11","A.6.3) Transport and communication"
"2011/01/31 00:00:00","JAN-2011","A.4) Clothing, Bedding and Footwear","107.4","5.36","","","","Rural","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.4) Clothing, Bedding and Footwear","107","5.36","","","","Rural","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.4) Clothing, Bedding and Footwear","107.2","3.91","","","","Urban","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.4) Clothing, Bedding and Footwear","107","3.91","","","","Urban","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.4) Clothing, Bedding and Footwear","107.4","4.73","","","","Combined","Final","Latest","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.4) Clothing, Bedding and Footwear","107","4.73","","","","Combined","Provisional","Old","CPI-2010-11",""
"2011/01/31 00:00:00","JAN-2011","A.1.12) Pan, Tobacco and Intoxicants","106.5","2.73","","","","Rural","Final","Latest","CPI-2010-11","A.2) Pan, tobacco and intoxicants"
"2011/01/31 00:00:00","JAN-2011","A.1.12) Pan, Tobacco and Intoxicants","106","2.73","","","","Rural","Provisional","Old","CPI-2010-11","A.2) Pan, tobacco and intoxicants"
"2011/01/31 00:00:00","JAN-2011","A.1.12) Pan, Tobacco and Intoxicants","104.6","1.35","","","","Urban","Final","Latest","CPI-2010-11","A.2) Pan, tobacco and intoxicants"
"2011/01/31 00:00:00","JAN-2011","A.1.12) Pan, Tobacco and Intoxicants","105","1.35","","","","Urban","Provisional","Old","CPI-2010-11","A.2) Pan, tobacco and intoxicants"
"2011/01/31 00:00:00","JAN-2011","A.1.12) Pan, Tobacco and Intoxicants","105.9","2.13","","","","Combined","Final","Latest","CPI-2010-11","A.2) Pan, tobacco and intoxicants"
