Date,stock_open,stock_high,stock_low,stock_close,stock_adjclose_target,stock_volume,SMA,EMA,nifty50_price,nifty50_open,nifty50_high,nifty50_low,nifty50_volume,nifty50_Chg%,niftyauto_price,niftyauto_open,niftyauto_high,niftyauto_low,niftyauto_volume,niftyauto_Chg%,Sales,Expenses,Material Cost,Employee Cost,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,"Agriculture, Forestry and Fishing ",Mining & Quarrying,Manufacturing,"Electricity, Gas, Water Supply & Other Utility",Construction,"Trade, Hotels, Transport, Communication and Services Related to Broadcasting","Financial, Real Estate and Professional Services","Public Administration, Defence and Other Services",Total Gross Value Added at Basic Price,CPI Index,CPI Index Previous Month,CPI Index Previous Quarter,CPI Index Previous Year,by_Closing_Price,by_Open,by_High,by_Low,by_Change%,Per_chg_qgdp,CPI_monthly_oecd,cli_monthly,ShPrice_monthly,target_lag
2019-01-01,7449.75,7494.0,7395.0,7476.799805,7261.906738,625360.0,7387.3402,7326.7067,10910.1,10881.7,10923.6,10807.1,159400000.0,0.44,9182.45,9244.0,9244.0,9139.45,31140.0,-0.57,21473.0,19208.0,71.0,4.0,2265.0,11.0,909.0,8.0,811.0,2355.0,22.0,1830.0,60.59,592114.9268,80276.72475,563029.3515,72791.51775,260461.6199,620292.0437,587988.538,419392.0031,3196346.726,139.6,140.2,140.53,136.9,7.418,7.401,7.447,7.385,0.65,1.56202,6.597222,101.1468,131.7876,7225.679199
2019-01-02,7445.0,7460.0,7244.0,7267.850098,7058.962891,891844.0,7340.2101,7278.8306,10792.5,10868.85,10895.35,10735.05,309670000.0,-1.08,8902.65,9121.95,9121.95,8885.3,80070.0,-3.05,21473.0,19208.0,71.0,4.0,2265.0,11.0,909.0,8.0,811.0,2355.0,22.0,1830.0,60.59,592114.9268,80276.72475,563029.3515,72791.51775,260461.6199,620292.0437,587988.538,419392.0031,3196346.726,139.6,140.2,140.53,136.9,7.354,7.409,7.415,7.35,-0.86,1.56202,6.597222,101.1468,131.7876,7277.544434
2019-01-03,7280.0,7350.0,7185.600098,7203.950195,6996.899902,715168.0,7271.0326,7227.554,10672.25,10796.8,10814.05,10661.25,286240000.0,-1.11,8767.35,8900.05,8959.35,8755.75,57990.0,-1.52,21473.0,19208.0,71.0,4.0,2265.0,11.0,909.0,8.0,811.0,2355.0,22.0,1830.0,60.59,592114.9268,80276.72475,563029.3515,72791.51775,260461.6199,620292.0437,587988.538,419392.0031,3196346.726,139.6,140.2,140.53,136.9,7.427,7.397,7.433,7.381,0.99,1.56202,6.597222,101.1468,131.7876,7179.155762
2019-01-04,7239.0,7309.0,7161.200195,7234.5,7026.571289,774445.0,7215.5207,7191.5162,10727.35,10699.7,10741.05,10628.65,296600000.0,0.52,8809.35,8807.4,8871.1,8754.05,65040.0,0.48,21473.0,19208.0,71.0,4.0,2265.0,11.0,909.0,8.0,811.0,2355.0,22.0,1830.0,60.59,592114.9268,80276.72475,563029.3515,72791.51775,260461.6199,620292.0437,587988.538,419392.0031,3196346.726,139.6,140.2,140.53,136.9,7.448,7.407,7.475,7.406,0.28,1.56202,6.597222,101.1468,131.7876,7110.099609
2019-01-07,7310.0,7407.0,7300.0,7362.049805,7150.45459,687845.0,7197.2854,7181.7383,10771.8,10804.85,10835.95,10750.15,269370000.0,0.41,8820.0,8891.9,8901.6,8809.9,74850.0,0.12,21473.0,19208.0,71.0,4.0,2265.0,11.0,909.0,8.0,811.0,2355.0,22.0,1830.0,60.59,592114.9268,80276.72475,563029.3515,72791.51775,260461.6199,620292.0437,587988.538,419392.0031,3196346.726,139.6,140.2,140.53,136.9,7.508,7.467,7.519,7.439,0.81,1.56202,6.597222,101.1468,131.7876,7195.764648
2019-01-08,7380.0,7454.799805,7322.100098,7439.5,7225.679199,516841.0,7188.3159,7186.5146,10802.15,10786.25,10818.45,10733.25,277700000.0,0.28,8859.65,8813.9,8882.3,8781.8,69840.0,0.45,21473.0,19208.0,71.0,4.0,2265.0,11.0,909.0,8.0,811.0,2355.0,22.0,1830.0,60.59,592114.9268,80276.72475,563029.3515,72791.51775,260461.6199,620292.0437,587988.538,419392.0031,3196346.726,139.6,140.2,140.53,136.9,7.454,7.503,7.534,7.439,-0.72,1.56202,6.597222,101.1468,131.7876,7143.753418
2019-01-09,7460.5,7529.0,7414.0,7492.899902,7277.544434,740580.0,7178.1274,7198.2808,10855.15,10862.4,10870.4,10749.4,333010000.0,0.49,8907.1,8893.9,8925.6,8827.9,63920.0,0.54,21473.0,19208.0,71.0,4.0,2265.0,11.0,909.0,8.0,811.0,2355.0,22.0,1830.0,60.59,592114.9268,80276.72475,563029.3515,72791.51775,260461.6199,620292.0437,587988.538,419392.0031,3196346.726,139.6,140.2,140.53,136.9,7.47,7.476,7.482,7.444,0.21,1.56202,6.597222,101.1468,131.7876,7100.144043
2019-01-10,7500.0,7511.0,7360.149902,7391.600098,7179.155762,452699.0,7166.5355,7193.7981,10821.6,10859.35,10859.35,10801.8,254360000.0,-0.31,8933.35,8924.65,8964.15,8908.05,65220.0,0.29,21473.0,19208.0,71.0,4.0,2265.0,11.0,909.0,8.0,811.0,2355.0,22.0,1830.0,60.59,592114.9268,80276.72475,563029.3515,72791.51775,260461.6199,620292.0437,587988.538,419392.0031,3196346.726,139.6,140.2,140.53,136.9,7.476,7.488,7.516,7.466,0.08,1.56202,6.597222,101.1468,131.7876,7125.396973
2019-01-11,7382.700195,7400.0,7282.0,7320.5,7110.099609,488399.0,7147.9943,7178.4488,10794.95,10834.75,10850.15,10739.4,260790000.0,-0.25,8862.35,8942.05,8950.3,8816.9,55530.0,-0.79,21473.0,19208.0,71.0,4.0,2265.0,11.0,909.0,8.0,811.0,2355.0,22.0,1830.0,60.59,592114.9268,80276.72475,563029.3515,72791.51775,260461.6199,620292.0437,587988.538,419392.0031,3196346.726,139.6,140.2,140.53,136.9,7.503,7.479,7.519,7.449,0.36,1.56202,6.597222,101.1468,131.7876,7146.473145
2019-01-14,7330.0,7433.350098,7257.0,7408.700195,7195.764648,424152.0,7142.1911,7180.5033,10737.6,10807.0,10808.0,10692.35,298770000.0,-0.53,8849.7,8859.1,8863.55,8752.1,42620.0,-0.14,21473.0,19208.0,71.0,4.0,2265.0,11.0,909.0,8.0,811.0,2355.0,22.0,1830.0,60.59,592114.9268,80276.72475,563029.3515,72791.51775,260461.6199,620292.0437,587988.538,419392.0031,3196346.726,139.6,140.2,140.53,136.9,7.431,7.474,7.474,7.423,-0.96,1.56202,6.597222,101.1468,131.7876,7001.221191
