"Date","Open","High","Low","Close"
"10 Dec 2021","11002.80","11127.50","10997.45","11080.05"
"09 Dec 2021","11095.45","11095.85","10942.10","11058.75"
"08 Dec 2021","10822.85","11018.40","10807.30","11007.70"
"07 Dec 2021","10698.60","10812.55","10653.65","10759.00"
"06 Dec 2021","10788.50","10793.35","10570.35","10589.80"
"03 Dec 2021","10880.10","10929.00","10757.30","10788.75"
"02 Dec 2021","10787.15","10891.60","10752.80","10873.15"
"01 Dec 2021","10725.75","10802.65","10670.10","10758.15"
"30 Nov 2021","10725.95","10868.75","10554.25","10603.55"
"29 Nov 2021","10705.65","10807.65","10448.15","10704.15"
"26 Nov 2021","11159.60","11159.60","10721.35","10759.60"
"25 Nov 2021","11312.95","11366.20","11193.00","11247.75"
"24 Nov 2021","11521.05","11532.65","11266.95","11308.85"
"23 Nov 2021","11339.20","11497.00","11275.25","11455.70"
"22 Nov 2021","11788.80","11788.80","11270.35","11379.75"
"18 Nov 2021","12061.90","12067.25","11690.90","11747.45"
"17 Nov 2021","11982.75","12139.75","11958.50","12061.80"
"16 Nov 2021","11717.95","12078.80","11692.05","11977.30"
"15 Nov 2021","11716.10","11840.95","11645.30","11687.65"
"12 Nov 2021","11791.35","11795.25","11635.70","11706.50"
"11 Nov 2021","11818.75","11848.75","11645.00","11690.15"
"10 Nov 2021","11776.25","11855.80","11718.70","11829.15"
"09 Nov 2021","11701.25","11824.90","11691.35","11766.25"
"08 Nov 2021","11645.85","11684.25","11602.50","11645.75"
"04 Nov 2021","11480.80","11590.20","11471.00","11569.80"
"03 Nov 2021","11515.10","11560.95","11366.95","11401.20"
"02 Nov 2021","11534.40","11610.35","11487.50","11521.25"
"01 Nov 2021","11306.45","11460.15","11205.25","11421.00"
"29 Oct 2021","11262.95","11413.15","11070.65","11297.45"
"28 Oct 2021","11380.80","11449.10","11223.45","11260.90"
"27 Oct 2021","11466.95","11491.15","11364.45","11395.15"
"26 Oct 2021","11269.70","11466.80","11258.85","11452.25"
"25 Oct 2021","11417.85","11445.65","11177.75","11228.20"
"22 Oct 2021","11634.65","11641.35","11380.80","11433.95"
"21 Oct 2021","11588.05","11602.05","11392.50","11557.40"
"20 Oct 2021","11598.65","11648.90","11388.85","11493.30"
"19 Oct 2021","11859.20","11892.05","11580.75","11626.85"
"18 Oct 2021","11862.80","11964.55","11796.85","11814.80"
"14 Oct 2021","12005.95","12014.50","11775.50","11800.30"
"13 Oct 2021","11687.55","12001.90","11603.10","11870.00"
"12 Oct 2021","11400.15","11525.50","11374.10","11476.10"
"11 Oct 2021","11136.55","11444.70","11125.05","11375.55"
"08 Oct 2021","11147.75","11206.95","11054.65","11079.35"
"07 Oct 2021","10659.70","11091.45","10639.45","11031.80"
"06 Oct 2021","10722.65","10766.90","10535.10","10567.55"
"05 Oct 2021","10624.45","10728.10","10599.95","10692.00"
"04 Oct 2021","10649.40","10695.45","10616.40","10641.15"
"01 Oct 2021","10544.85","10617.85","10437.10","10596.95"
"30 Sep 2021","10652.15","10676.15","10561.75","10598.45"
"29 Sep 2021","10640.10","10715.65","10559.40","10655.50"
"28 Sep 2021","10824.45","10842.35","10608.75","10695.95"
"27 Sep 2021","10513.05","10801.00","10501.05","10765.15"
"24 Sep 2021","10403.40","10473.90","10341.75","10429.05"
"23 Sep 2021","10337.75","10404.45","10333.25","10372.95"
"22 Sep 2021","10179.50","10314.00","10174.15","10284.60"
"21 Sep 2021","10196.95","10226.40","10021.35","10155.95"
"20 Sep 2021","10286.95","10348.05","10176.40","10202.65"
"17 Sep 2021","10392.10","10469.85","10284.45","10351.45"
"16 Sep 2021","10343.20","10358.70","10300.45","10351.45"
"15 Sep 2021","10239.95","10309.60","10222.95","10297.00"
"14 Sep 2021","10151.25","10246.75","10149.35","10209.60"
"13 Sep 2021","10119.95","10125.80","10045.00","10120.15"
"09 Sep 2021","10070.95","10144.30","10054.35","10112.60"
"08 Sep 2021","10152.10","10154.45","10047.15","10100.40"
"07 Sep 2021","10189.35","10204.05","10115.55","10152.70"
"06 Sep 2021","10185.20","10214.40","10156.10","10167.25"
"03 Sep 2021","10054.05","10195.90","10042.55","10124.75"
"02 Sep 2021","10082.95","10083.50","9981.30","10022.45"
"01 Sep 2021","10049.10","10088.65","10010.60","10043.90"
"31 Aug 2021","9972.70","10044.35","9893.85","10034.45"
"30 Aug 2021","9867.70","9968.75","9863.45","9957.90"
"27 Aug 2021","9768.35","9812.00","9718.25","9793.85"
"26 Aug 2021","9801.65","9812.95","9745.95","9763.10"
"25 Aug 2021","9874.45","9899.25","9799.10","9808.65"
"24 Aug 2021","9779.00","9851.55","9704.60","9832.80"
"23 Aug 2021","9982.55","10007.65","9744.50","9759.15"
"20 Aug 2021","9972.55","10032.55","9876.60","9904.70"
"18 Aug 2021","10123.75","10134.15","10045.6","10067.95"
"17 Aug 2021","10073.4","10100.45","9963.25","10088.30"
"16 Aug 2021","10182.30","10209.20","10071.10","10088.80"
"13 Aug 2021","10218.65","10240.85","10151.60","10178.30"
"12 Aug 2021","10177.35","10223.75","10137.10","10180.55"
"11 Aug 2021","10173.80","10225.35","10000.95","10140.40"
"10 Aug 2021","10247.10","10271.80","10095.10","10158.75"
"09 Aug 2021","10274.75","10348.80","10200.45","10239.00"
"06 Aug 2021","10263.30","10316.40","10235.55","10249.50"
"05 Aug 2021","10237.65","10240.00","10157.70","10224.90"
"04 Aug 2021","10378.90","10408.00","10203.20","10246.80"
"03 Aug 2021","10220.10","10355.65","10206.45","10342.60"
"02 Aug 2021","10162.75","10190.30","10114.10","10183.45"
"30 Jul 2021","9990.70","10179.60","9976.90","10048.50"
"29 Jul 2021","10021.00","10027.95","9945.80","9956.65"
"28 Jul 2021","10119.10","10122.55","9947.95","10000.40"
"27 Jul 2021","10153.15","10217.10","10047.65","10094.35"
"26 Jul 2021","10204.65","10212.65","10127.15","10137.95"
"23 Jul 2021","10249.30","10297.60","10190.80","10201.35"
"22 Jul 2021","10296.40","10303.25","10189.15","10235.80"
"20 Jul 2021","10318.40","10341.30","10175.60","10222.20"
"19 Jul 2021","10372.30","10379.70","10268.40","10310.90"
"16 Jul 2021","10458.95","10459.60","10400.35","10428.45"
"15 Jul 2021","10480.95","10488.25","10404.25","10426.00"
"14 Jul 2021","10503.75","10510.65","10455.75","10467.90"
"13 Jul 2021","10505.70","10531.25","10463.60","10497.80"
"12 Jul 2021","10496.50","10523.00","10422.75","10438.20"
"09 Jul 2021","10444.00","10456.05","10386.05","10420.30"
"08 Jul 2021","10510.35","10558.25","10425.95","10456.00"
"07 Jul 2021","10565.30","10598.00","10493.65","10552.50"
"06 Jul 2021","10755.15","10816.85","10527.50","10559.70"
"05 Jul 2021","10731.55","10810.25","10710.80","10746.45"
"02 Jul 2021","10741.45","10743.80","10646.20","10685.50"
"01 Jul 2021","10620.15","10744.10","10619.55","10687.70"
"30 Jun 2021","10637.75","10699.50","10583.00","10600.35"
"29 Jun 2021","10712.15","10754.95","10588.25","10612.25"
"28 Jun 2021","10746.10","10746.10","10676.90","10709.90"
"25 Jun 2021","10644.65","10754.90","10643.90","10706.80"
"24 Jun 2021","10604.55","10638.25","10550.85","10618.45"
"23 Jun 2021","10599.50","10684.95","10551.15","10588.50"
"22 Jun 2021","10456.00","10614.30","10451.50","10540.45"
"21 Jun 2021","10319.10","10420.65","10276.10","10401.15"
"18 Jun 2021","10540.75","10552.05","10229.10","10443.75"
"17 Jun 2021","10618.70","10664.95","10484.95","10523.00"
"16 Jun 2021","10742.50","10772.25","10644.55","10669.45"
"15 Jun 2021","10768.20","10803.25","10739.40","10754.40"
"14 Jun 2021","10755.35","10767.80","10570.85","10753.10"
"11 Jun 2021","10772.35","10807.15","10717.25","10765.50"
"10 Jun 2021","10773.85","10781.50","10681.90","10722.70"
"09 Jun 2021","10889.15","10913.95","10670.55","10734.40"
"08 Jun 2021","10836.05","10889.65","10762.15","10873.90"
"07 Jun 2021","10814.25","10888.25","10791.20","10806.55"
"04 Jun 2021","10672.85","10749.15","10634.90","10735.75"
"03 Jun 2021","10683.25","10690.45","10600.65","10647.65"
"02 Jun 2021","10431.55","10671.60","10413.30","10647.75"
"01 Jun 2021","10507.30","10619.00","10443.75","10457.85"
"31 May 2021","10467.00","10513.10","10344.95","10491.85"
"28 May 2021","10537.60","10573.95","10429.40","10510.25"
"27 May 2021","10467.25","10561.30","10441.35","10486.00"
"26 May 2021","10423.45","10473.45","10399.10","10437.80"
"25 May 2021","10398.65","10424.25","10363.55","10384.30"
"24 May 2021","10347.95","10390.3","10299.25","10315.75"
"21 May 2021","10276.10","10332.00","10215.10","10312.40"
"20 May 2021","10253.60","10297.15","10158.90","10226.40"
"19 May 2021","10231.85","10303.00","10179.45","10249.10"
"18 May 2021","10102.40","10344.50","10070.25","10324.00"
"17 May 2021","9844.15","10037.80","9785.90","10001.70"
