"Date","Open","High","Low","Close"
"10 Dec 2021","18164.70","18209.80","18037.15","18165.55"
"09 Dec 2021","18329.75","18355.15","18115.45","18202.45"
"08 Dec 2021","18140.50","18317.95","18115.45","18284.95"
"07 Dec 2021","17769.55","18071.45","17700.00","17979.35"
"06 Dec 2021","17802.30","17843.65","17576.90","17596.70"
"03 Dec 2021","17956.70","18100.35","17737.95","17779.50"
"02 Dec 2021","17739.65","18012.85","17708.15","17982.90"
"01 Dec 2021","17654.15","17808.75","17612.65","17758.85"
"30 Nov 2021","17558.30","18007.15","17477.90","17534.75"
"29 Nov 2021","17661.25","17762.65","17282.85","17629.95"
"26 Nov 2021","17998.00","18042.40","17575.15","17614.70"
"25 Nov 2021","18278.25","18323.85","18148.80","18264.45"
"24 Nov 2021","18300.60","18521.60","18233.05","18304.35"
"23 Nov 2021","17995.40","18331.90","17959.95","18261.50"
"22 Nov 2021","18667.80","18691.15","17998.45","18177.20"
"18 Nov 2021","18677.10","18771.90","18546.75","18606.35"
"17 Nov 2021","18707.85","18866.40","18653.50","18679.95"
"16 Nov 2021","18945.00","18964.00","18768.15","18805.75"
"15 Nov 2021","19031.75","19122.95","18894.30","18955.25"
"12 Nov 2021","18855.85","18996.05","18764.50","18976.20"
"11 Nov 2021","18948.10","18956.55","18688.10","18772.80"
"10 Nov 2021","18995.20","19054.85","18874.25","19010.25"
"09 Nov 2021","19212.30","19226.10","19014.15","19085.30"
"08 Nov 2021","19102.65","19258.45","18938.60","19216.20"
"04 Nov 2021","19031.60","19056.80","18971.20","18994.20"
"03 Nov 2021","19126.45","19220.50","18853.60","18930.10"
"02 Nov 2021","19040.20","19148.20","18955.05","19074.85"
"01 Nov 2021","18931.45","19095.20","18724.55","19009.65"
"29 Oct 2021","18954.50","19041.90","18568.85","18792.85"
"28 Oct 2021","19493.45","19504.95","18917.15","18987.55"
"27 Oct 2021","19664.75","19715.30","19444.75","19504.75"
"26 Oct 2021","19517.50","19696.30","19463.85","19651.10"
"25 Oct 2021","19525.95","19778.95","19312.85","19559.50"
"22 Oct 2021","19263.30","19508.80","19234.85","19302.95"
"21 Oct 2021","19049.25","19247.65","18925.55","19188.85"
"20 Oct 2021","19084.60","19109.90","18878.90","18957.55"
"19 Oct 2021","19143.55","19175.40","18957.40","19068.45"
"18 Oct 2021","19194.60","19196.65","19001.30","19034.30"
"14 Oct 2021","18668.90","18965.20","18653.70","18947.65"
"13 Oct 2021","18693.35","18720.90","18601.20","18652.50"
"12 Oct 2021","18483.25","18632.40","18455.55","18589.50"
"11 Oct 2021","18315.75","18621.70","18299.80","18527.65"
"08 Oct 2021","18392.30","18451.10","18258.15","18274.10"
"07 Oct 2021","18479.30","18487.15","18320.20","18336.95"
"06 Oct 2021","18378.60","18562.00","18274.90","18309.15"
"05 Oct 2021","18275.60","18388.45","18230.30","18367.05"
"04 Oct 2021","18239.20","18406.05","18217.55","18312.45"
"01 Oct 2021","18181.75","18197.20","18041.60","18137.80"
"30 Sep 2021","18338.40","18465.80","18264.60","18303.80"
"29 Sep 2021","18382.50","18447.80","18270.65","18371.30"
"28 Sep 2021","18779.00","18794.20","18261.55","18534.75"
"27 Sep 2021","18720.70","18822.05","18663.60","18706.85"
"24 Sep 2021","18644.65","18692.10","18521.15","18630.00"
"23 Sep 2021","18300.35","18590.85","18259.40","18566.20"
"22 Sep 2021","18312.55","18330.05","18129.60","18152.10"
"21 Sep 2021","18239.35","18342.10","17958.45","18310.05"
"20 Sep 2021","18278.05","18472.55","18138.85","18177.95"
"17 Sep 2021","18477.45","18634.25","18305.75","18476.25"
"16 Sep 2021","18160.15","18379.30","18116.75","18356.75"
"15 Sep 2021","18067.95","18201.95","18063.95","18158.25"
"14 Sep 2021","18212.75","18230.00","18090.90","18103.85"
"13 Sep 2021","18146.35","18198.00","18009.15","18126.60"
"09 Sep 2021","18167.75","18243.20","18095.25","18160.55"
"08 Sep 2021","18115.80","18244.80","18060.00","18207.45"
"07 Sep 2021","18074.40","18185.50","17899.95","18103.95"
"06 Sep 2021","18193.55","18201.55","18048.30","18077.20"
"03 Sep 2021","18180.30","18286.80","18030.15","18130.55"
"02 Sep 2021","18047.20","18203.40","17995.80","18181.80"
"01 Sep 2021","18106.70","18248.15","17999.05","18036.00"
"31 Aug 2021","17832.60","18096.60","17802.50","18070.70"
"30 Aug 2021","17612.35","17870.85","17597.55","17843.90"
"27 Aug 2021","17424.50","17541.35","17325.65","17520.25"
"26 Aug 2021","17383.70","17486.90","17335.05","17441.40"
"25 Aug 2021","17502.60","17574.95","17376.75","17403.65"
"24 Aug 2021","17261.35","17487.00","17160.75","17461.10"
"23 Aug 2021","17330.10","17331.90","17086.65","17220.95"
"20 Aug 2021","17096.75","17218.55","17052.70","17152.55"
"18 Aug 2021","17516.65","17534.85","17226.2","17273.00"
"17 Aug 2021","17369.55","17397.05","17224.95","17371.15"
"16 Aug 2021","17315.45","17442.00","17288.35","17421.30"
"13 Aug 2021","17252.65","17382.30","17247.40","17350.15"
"12 Aug 2021","17151.50","17251.15","17108.40","17233.50"
"11 Aug 2021","17325.15","17329.15","17022.50","17147.65"
"10 Aug 2021","17200.35","17345.05","17185.50","17254.45"
"09 Aug 2021","17143.50","17284.65","17078.85","17202.55"
"06 Aug 2021","17202.35","17263.40","17111.15","17136.15"
"05 Aug 2021","17299.05","17309.25","17131.45","17193.30"
"04 Aug 2021","16898.55","17311.40","16868.95","17253.05"
"03 Aug 2021","16586.45","16833.65","16555.80","16818.05"
