"Date","Open","High","Low","Close"
"10 Dec 2021","38287.15","38337.40","37986.85","38189.55"
"09 Dec 2021","37632.75","38264.30","37511.55","38201.65"
"08 Dec 2021","37200.80","37695.80","37200.80","37659.95"
"07 Dec 2021","37078.30","37347.05","36907.10","37175.85"
"06 Dec 2021","37527.55","37629.15","36745.30","36821.85"
"03 Dec 2021","37843.25","37896.90","37473.75","37498.10"
"02 Dec 2021","37547.45","37930.30","37434.80","37892.60"
"01 Dec 2021","37612.35","37727.45","37341.85","37457.85"
"30 Nov 2021","37276.15","37769.45","37275.05","37386.95"
"29 Nov 2021","37359.05","37463.70","36808.70","37324.85"
"26 Nov 2021","38050.55","38097.20","37457.85","37547.15"
"25 Nov 2021","38206.05","38307.85","37837.95","38259.75"
"24 Nov 2021","38677.90","38683.95","38066.65","38178.20"
"23 Nov 2021","38190.05","38619.95","38059.90","38560.10"
"22 Nov 2021","38998.70","39026.25","38147.05","38351.65"
"18 Nov 2021","39042.75","39204.60","38646.25","38866.50"
"17 Nov 2021","38992.50","39346.65","38953.40","39013.45"
"16 Nov 2021","39396.40","39407.15","38951.90","39014.65"
"15 Nov 2021","39014.75","39353.70","38937.85","39278.30"
"12 Nov 2021","38743.90","38997.75","38587.45","38912.75"
"11 Nov 2021","38922.85","38922.85","38419.30","38542.55"
"10 Nov 2021","38808.95","39018.30","38709.90","38917.35"
"09 Nov 2021","39064.20","39126.35","38860.95","38964.25"
"08 Nov 2021","39045.60","39141.05","38434.65","39094.75"
"04 Nov 2021","38695.60","38769.10","38627.70","38710.10"
"03 Nov 2021","38762.65","38780.80","38146.95","38370.10"
"02 Nov 2021","38758.65","38875.45","38499.65","38616.20"
"01 Nov 2021","38383.60","38733.95","38082.45","38663.65"
"29 Oct 2021","38253.80","38451.80","37878.85","38222.10"
"28 Oct 2021","38899.30","38966.55","38098.30","38208.55"
"27 Oct 2021","39090.55","39177.50","38845.55","38946.10"
"26 Oct 2021","38569.25","38955.20","38426.15","38826.85"
"25 Oct 2021","38774.50","38849.45","38028.50","38491.00"
"22 Oct 2021","39502.90","39684.05","38563.65","38874.80"
"21 Oct 2021","40008.35","40035.65","39163.80","39354.45"
"20 Oct 2021","40343.35","40593.10","39589.40","39696.35"
"19 Oct 2021","41653.35","41704.50","40171.30","40237.30"
"18 Oct 2021","42021.45","42021.45","41488.00","41564.15"
"14 Oct 2021","41446.20","41789.30","41277.35","41377.20"
"13 Oct 2021","41004.15","41244.25","40697.30","41149.40"
"12 Oct 2021","40262.60","40892.60","40239.25","40808.75"
"11 Oct 2021","40070.25","40434.05","40061.90","40318.05"
"08 Oct 2021","40363.30","40399.50","39915.00","39993.35"
"07 Oct 2021","40399.25","40480.55","40210.55","40226.40"
"06 Oct 2021","40496.85","40754.45","40079.90","40167.45"
"05 Oct 2021","40440.55","40606.45","40373.60","40427.50"
"04 Oct 2021","40465.45","40686.00","40319.40","40445.45"
"01 Oct 2021","40400.85","40465.85","40036.45","40399.00"
"30 Sep 2021","40558.65","40646.55","40338.40","40426.55"
"29 Sep 2021","40570.05","40830.70","40413.65","40472.15"
"28 Sep 2021","40872.15","41085.90","40537.80","40682.95"
"27 Sep 2021","41268.20","41273.00","40657.85","40720.60"
"24 Sep 2021","41614.40","41649.05","41034.60","41090.90"
"23 Sep 2021","41743.45","41775.75","41502.05","41548.80"
"22 Sep 2021","41801.80","41821.90","41429.85","41507.25"
"21 Sep 2021","41239.40","41676.80","41108.20","41619.95"
"20 Sep 2021","40716.35","41535.00","40631.95","41169.70"
"17 Sep 2021","41187.35","41406.10","40704.10","40798.90"
"16 Sep 2021","40494.25","41402.30","40453.70","41007.60"
"15 Sep 2021","40626.85","40645.40","40404.30","40504.50"
"14 Sep 2021","40718.80","40750.60","40444.05","40469.55"
"13 Sep 2021","40569.90","40754.80","40474.65","40592.35"
"09 Sep 2021","40122.00","40610.40","40120.30","40577.95"
"08 Sep 2021","40377.55","40434.70","39910.70","40263.45"
"07 Sep 2021","40296.35","40642.65","40237.85","40289.85"
"06 Sep 2021","40388.10","40514.00","40130.85","40169.05"
"03 Sep 2021","40371.15","40441.85","40103.10","40226.25"
"02 Sep 2021","39713.55","40323.65","39648.80","40296.40"
"01 Sep 2021","39701.45","39821.15","39464.90","39644.70"
"31 Aug 2021","39168.55","39615.00","39105.70","39529.70"
"30 Aug 2021","38945.15","39172.95","38915.40","39150.20"
"27 Aug 2021","38743.25","38884.55","38549.15","38819.50"
"26 Aug 2021","38403.50","38864.20","38398.75","38670.70"
"25 Aug 2021","38271.70","38663.30","38264.30","38448.10"
"24 Aug 2021","38578.85","38675.05","38124.60","38232.80"
"23 Aug 2021","38780.30","38913.75","38311.70","38489.50"
"20 Aug 2021","37469.25","38741.45","37401.30","38596.05"
"18 Aug 2021","37571.65","37878.85","37538.9","37738.30"
"17 Aug 2021","37014.45","37514","36979.6","37478.55"
"16 Aug 2021","36844.15","37063.30","36703.35","36954.25"
"13 Aug 2021","36674.85","36907.85","36575.80","36842.05"
"12 Aug 2021","36537.00","36696.05","36457.00","36521.85"
"11 Aug 2021","36597.25","36641.70","36088.25","36425.85"
"10 Aug 2021","36784.35","36790.40","36286.15","36537.25"
"09 Aug 2021","36816.65","37016.95","36521.30","36691.90"
"06 Aug 2021","36724.15","36813.35","36596.95","36669.80"
"05 Aug 2021","36626.90","36781.55","36320.90","36701.45"
"04 Aug 2021","36909.05","36935.65","36429.40","36482.45"
"03 Aug 2021","36264.10","36885.55","36196.30","36826.05"
"02 Aug 2021","36250.15","36385.45","36123.70","36199.95"
"30 Jul 2021","36055.70","36246.10","35859.90","36051.90"
"29 Jul 2021","36372.60","36469.20","35955.85","35990.05"
"28 Jul 2021","36418.15","36489.05","36194.65","36360.35"
"27 Jul 2021","36551.45","36620.30","36307.35","36360.80"
"26 Jul 2021","36639.15","36746.50","36459.05","36486.75"
"23 Jul 2021","36327.80","36683.60","36210.50","36558.65"
"22 Jul 2021","36429.20","36734.00","36205.55","36263.60"
"20 Jul 2021","36189.80","36403.15","36110.65","36230.25"
"19 Jul 2021","36073.35","36295.35","36054.75","36180.40"
"16 Jul 2021","36300.35","36418.70","36139.60","36253.55"
"15 Jul 2021","36181.15","36223.20","35948.40","36182.95"
"14 Jul 2021","36124.75","36153.20","35912.25","36073.20"
"13 Jul 2021","36320.65","36329.05","36066.10","36110.30"
"12 Jul 2021","36301.10","36339.70","36086.90","36176.65"
"09 Jul 2021","36135.60","36316.55","36083.20","36184.40"
"08 Jul 2021","36337.65","36440.35","36120.60","36179.10"
"07 Jul 2021","36163.10","36503.95","36105.40","36447.05"
"06 Jul 2021","36364.45","36413.60","36198.80","36238.50"
"05 Jul 2021","36379.00","36472.40","36292.05","36390.90"
"02 Jul 2021","36298.55","36328.25","36053.35","36216.70"
"01 Jul 2021","36197.35","36283.00","36097.20","36234.90"
"30 Jun 2021","36355.45","36425.45","36033.60","36093.20"
"29 Jun 2021","36059.45","36336.15","36035.35","36234.55"
"28 Jun 2021","36104.20","36159.75","35955.90","36054.45"
"25 Jun 2021","36298.10","36329.25","35975.65","36006.55"
"24 Jun 2021","36278.35","36302.55","36130.55","36242.55"
"23 Jun 2021","36418.65","36437.35","36111.15","36188.75"
"22 Jun 2021","36534.00","36565.25","36244.45","36299.65"
"21 Jun 2021","36056.90","36456.15","36034.40","36377.60"
"18 Jun 2021","36251.30","36360.60","35796.60","36287.15"
"17 Jun 2021","35983.80","36287.50","35935.45","36183.55"
"16 Jun 2021","35953.95","36244.15","35937.95","36131.25"
"15 Jun 2021","35691.40","35953.65","35673.90","35921.50"
"14 Jun 2021","35620.35","35707.65","35258.00","35659.95"
"11 Jun 2021","35858.20","35869.65","35589.05","35646.95"
"10 Jun 2021","35564.45","35901.75","35448.60","35731.30"
"09 Jun 2021","35721.35","35785.15","35454.15","35588.95"
"08 Jun 2021","35463.65","35716.40","35398.95","35672.45"
"07 Jun 2021","35336.10","35428.80","35199.50","35375.35"
"04 Jun 2021","35330.65","35330.65","35092.10","35138.00"
"03 Jun 2021","35216.05","35300.15","35090.35","35266.50"
"02 Jun 2021","34996.25","35220.45","34953.15","35058.60"
"01 Jun 2021","35357.45","35378.80","35172.85","35241.20"
"31 May 2021","35022.50","35296.80","34983.65","35243.10"
"28 May 2021","34947.85","35084.20","34870.55","34890.50"
"27 May 2021","34878.60","34957.75","34741.80","34812.30"
"26 May 2021","34929.10","34982.45","34782.80","34815.70"
"25 May 2021","34794.35","34992.30","34704.15","34780.85"
"24 May 2021","34722.5","34748.7","34487.55","34572.50"
"21 May 2021","34556.60","34727.05","34522.70","34690.55"
"20 May 2021","34752.55","34779.35","34446.05","34475.60"
"19 May 2021","34704.20","34844.55","34635.15","34729.70"
"18 May 2021","35083.90","35125.60","34655.95","34741.45"
"17 May 2021","35050.60","35097.55","34755.20","34807.40"
"14 May 2021","34158.20","34835.00","34094.40","34781.50"
"12 May 2021","34197.25","34258.65","33988.45","34057.40"
"11 May 2021","34066.50","34299.35","34010.95","34129.30"
"10 May 2021","34273.95","34332.10","34067.45","34204.25"
"07 May 2021","34153.50","34221.60","34049.85","34123.50"
"06 May 2021","34003.85","34233.55","33897.70","34048.50"
"05 May 2021","34073.95","34073.95","33663.45","33898.00"
"04 May 2021","34074.25","34166.90","33691.70","33822.75"
"03 May 2021","33515.65","34072.70","33505.20","33994.20"
"30 Apr 2021","33970.25","34098.90","33544.85","33623.45"
"29 Apr 2021","34400.70","34455.00","33944.90","34009.00"
"28 Apr 2021","34060.45","34398.50","33999.85","34129.15"
"27 Apr 2021","33949.90","34037.20","33888.35","34009.35"
"26 Apr 2021","33874.75","33952.60","33726.05","33865.70"
"23 Apr 2021","33938.10","34002.85","33631.70","33726.10"
"22 Apr 2021","34212.20","34222.80","33894.05","34043.05"
"20 Apr 2021","34772.05","34772.05","34087.10","34296.50"
"19 Apr 2021","34463.45","34623.95","34218.10","34519.00"
"16 Apr 2021","34816.90","34957.15","34699.00","34853.15"
"15 Apr 2021","34972.50","35046.75","34349.65","34658.60"
"13 Apr 2021","34698.95","35045.45","34591.10","34720.35"
"12 Apr 2021","34865.10","34979.90","34472.90","34561.35"
"09 Apr 2021","35064.70","35442.85","34999.40","35253.10"
"08 Apr 2021","34899.50","35105.65","34869.15","34983.05"
"07 Apr 2021","34682.15","35050.45","34613.20","34835.30"
"06 Apr 2021","34439.55","34697.10","34221.10","34619.85"
"05 Apr 2021","34800.55","34892.60","34024.15","34304.55"
"01 Apr 2021","35081.10","35102.70","34754.85","34874.55"
"31 Mar 2021","34538.55","34980.15","34448.30","34931.70"
"30 Mar 2021","34023.35","34628.15","33981.25","34578.85"
"26 Mar 2021","33495.75","33887.35","33444.15","33818.45"
"25 Mar 2021","34024.25","34044.40","33071.70","33213.15"
"26 Feb 2021","-","-","-","32443.15"
"25 Feb 2021","-","-","-","33001.80"
"24 Feb 2021","-","-","-","33091.70"
"23 Feb 2021","-","-","-","33025.95"
"22 Feb 2021","-","-","-","32891.70"
"19 Feb 2021","-","-","-","33336.80"
"18 Feb 2021","-","-","-","33373.90"
"17 Feb 2021","-","-","-","33519.55"
"16 Feb 2021","-","-","-","33724.50"
"15 Feb 2021","-","-","-","33959.90"
"12 Feb 2021","-","-","-","33928.30"
"11 Feb 2021","-","-","-","34463.75"
"10 Feb 2021","-","-","-","34188.00"
"09 Feb 2021","-","-","-","34231.30"
"08 Feb 2021","-","-","-","34452.00"
"05 Feb 2021","-","-","-","34644.50"
"04 Feb 2021","-","-","-","34507.65"
"03 Feb 2021","-","-","-","33682.35"
"02 Feb 2021","-","-","-","33730.85"
"01 Feb 2021","-","-","-","33689.00"
"29 Jan 2021","-","-","-","33121.05"
"28 Jan 2021","-","-","-","33625.85"
"27 Jan 2021","-","-","-","34281.40"
"25 Jan 2021","-","-","-","34178.60"
"22 Jan 2021","-","-","-","34430.30"
"21 Jan 2021","-","-","-","34494.40"
"20 Jan 2021","-","-","-","34605.35"
"19 Jan 2021","-","-","-","34659.85"
"18 Jan 2021","-","-","-","34502.85"
"15 Jan 2021","-","-","-","34630.05"
"14 Jan 2021","-","-","-","34885.70"
"13 Jan 2021","-","-","-","34617.60"
"12 Jan 2021","-","-","-","34488.65"
"11 Jan 2021","-","-","-","34681.25"
"08 Jan 2021","-","-","-","34276.75"
"07 Jan 2021","-","-","-","34032.35"
"06 Jan 2021","-","-","-","34327.35"
"05 Jan 2021","-","-","-","34720.25"
"04 Jan 2021","-","-","-","34619.70"
"01 Jan 2021","-","-","-","34391.85"
"15 Oct 2020","30006","30107","29554.35","29644.00"
"18 Aug 2020","31626.75","31762.65","31559.7","31726.00"
"24 Jul 2020","31009.95","31138.55","30653.40","31018.00"
"23 Jul 2020","31177.90","31326.45","31052.40","31101.00"
"22 Jul 2020","31420.85","31422.30","30946.35","31051.00"
"17 Jul 2020","31217.30","31528.40","31191.50","31439.00"
"13 Jul 2020","31011.90","31283.15","30977.15","31214.00"
"10 Jul 2020","30618.20","30860.55","30575.75","30821.00"
"07 Jul 2020","30772.85","30797.25","30420.75","30518.00"
"03 Jul 2020","30501.95","30632.30","30428.35","30529.00"
"01 Jul 2020","30093.90","30286.10","29983.65","30232.00"
"30 Jun 2020","30170.45","30219.80","30019.75","30063.00"
"26 Jun 2020","30369.75","30505.15","29655.50","29757.00"
"25 Jun 2020","29378.25","30174.60","29338.35","30113.00"
"24 Jun 2020","29568.20","29942.70","29433.60","29487.00"
"18 Jun 2020","28402.30","28730.20","28393.80","28648.00"
"12 Jun 2020","28356.65","29227.25","28319.10","29145.00"
"10 Jun 2020","29645.20","29770.75","29379.90","29503.00"
"09 Jun 2020","29507.25","30117.65","29455.05","29524.00"
"08 Jun 2020","29891.30","29891.30","29447.55","29502.00"
"05 Jun 2020","29789.35","29802.75","29428.25","29542.00"
"03 Jun 2020","29704.10","29887.80","29431.50","29527.00"
"02 Jun 2020","29751.55","29752.05","29326.20","29359.00"
"29 May 2020","28374.75","29384.90","28297.90","29296.00"
"28 May 2020","28223.10","28524.25","28096.75","28451.00"
"26 May 2020","28071.70","28403.75","27957.60","28122.00"
"22 May 2020","27843.25","28051.25","27658.10","27786.00"
"18 May 2020","27057.50","27092.50","26653.95","26694.00"
"15 May 2020","26969.40","27028.95","26795.85","26958.00"
"14 May 2020","26618.10","27090.80","26587.00","26933.00"
"13 May 2020","27761.90","27765.90","26680.75","26746.00"
"12 May 2020","26571.05","26913.65","26321.90","26857.00"
"11 May 2020","26895.65","27149.05","26608.20","26667.00"
