Date,Price,Open,High,Low,Volume,Chg%
"Jan 14, 2022","38,826.85","38,351.35","38,892.65","38,049.60",35.68M,0.57%
"Jan 13, 2022","38,607.00","38,768.85","38,886.85","38,151.05",61.24M,0.01%
"Jan 12, 2022","38,604.75","38,857.75","38,902.80","38,424.75",28.08M,0.00%
"Jan 11, 2022","38,605.45","38,186.95","38,664.40","38,138.00",26.60M,1.03%
"Jan 10, 2022","38,212.20","38,596.75","38,621.90","37,991.30",32.78M,0.19%
"Jan 07, 2022","38,139.85","38,140.15","38,394.80","38,003.15",21.59M,0.34%
"Jan 06, 2022","38,009.00","38,181.35","38,206.60","37,757.20",25.87M,-1.55%
"Jan 05, 2022","38,609.15","39,261.55","39,293.15","38,409.25",25.22M,-1.93%
"Jan 04, 2022","39,370.70","39,243.50","39,446.70","38,828.60",19.91M,0.63%
"Jan 03, 2022","39,123.80","38,752.60","39,286.35","38,752.55",16.72M,1.09%
"Dec 31, 2021","38,701.05","38,708.15","38,861.10","38,468.40",16.31M,0.11%
"Dec 30, 2021","38,658.80","38,231.15","38,897.60","38,153.35",27.15M,1.00%
"Dec 29, 2021","38,274.65","38,269.10","38,484.90","38,181.90",14.16M,-0.22%
"Dec 28, 2021","38,357.80","38,184.60","38,500.25","38,164.45",19.04M,0.97%
"Dec 27, 2021","37,988.50","37,722.90","38,029.30","37,431.00",19.02M,0.69%
"Dec 24, 2021","37,727.80","37,657.15","37,822.15","37,417.65",34.39M,0.98%
"Dec 23, 2021","37,362.85","37,190.30","37,528.00","37,086.90",18.53M,1.01%
"Dec 22, 2021","36,989.15","36,853.85","37,014.75","36,669.00",18.91M,0.99%
"Dec 21, 2021","36,627.15","36,159.20","36,970.55","36,147.60",32.35M,1.98%
"Dec 20, 2021","35,916.45","36,411.85","36,598.35","35,559.30",29.33M,-2.00%
"Dec 17, 2021","36,647.90","36,704.20","37,013.25","36,497.95",89.15M,1.35%
"Dec 16, 2021","36,160.30","36,078.30","36,354.85","35,979.15",18.93M,1.18%
"Dec 15, 2021","35,737.20","36,033.90","36,060.00","35,536.15",13.15M,-1.01%
"Dec 14, 2021","36,102.55","35,946.75","36,252.05","35,637.85",17.36M,0.14%
"Dec 13, 2021","36,050.55","36,104.35","36,507.30","35,984.55",20.41M,0.31%
"Dec 10, 2021","35,939.60","35,820.05","35,974.75","35,652.20",11.77M,-0.02%
"Dec 09, 2021","35,946.35","35,963.70","36,114.00","35,573.35",12.35M,-0.04%
"Dec 08, 2021","35,959.05","35,584.80","36,131.95","35,576.85",18.55M,1.95%
"Dec 07, 2021","35,272.30","35,136.55","35,384.00","34,756.60",16.18M,1.13%
"Dec 06, 2021","34,879.40","35,835.45","35,953.75","34,828.15",17.54M,-2.70%
"Dec 03, 2021","35,848.05","36,314.80","36,518.80","35,784.15",22.49M,-0.86%
"Dec 02, 2021","36,157.85","35,504.80","36,195.65","35,418.25",23.59M,2.06%
"Dec 01, 2021","35,429.00","35,143.00","35,652.20","35,123.95",20.21M,1.10%
"Nov 30, 2021","35,043.75","35,018.90","35,654.20","34,918.60",68.20M,0.50%
"Nov 29, 2021","34,870.75","34,382.40","35,104.35","33,953.90",20.99M,0.76%
"Nov 26, 2021","34,606.15","35,024.70","35,190.10","34,512.60",17.37M,-1.97%
"Nov 25, 2021","35,300.25","34,978.00","35,365.75","34,934.55",16.93M,0.96%
"Nov 24, 2021","34,966.25","35,627.95","35,662.60","34,828.30",20.21M,-1.52%
"Nov 23, 2021","35,504.40","35,206.00","35,645.45","34,707.85",24.09M,0.07%
"Nov 22, 2021","35,478.95","36,097.00","36,097.00","35,224.55",24.25M,-1.47%
"Nov 18, 2021","36,007.00","36,641.55","36,702.40","35,867.30",21.99M,-1.78%
"Nov 17, 2021","36,660.90","36,623.75","36,835.95","36,431.25",19.69M,0.05%
"Nov 16, 2021","36,643.90","36,555.25","36,794.25","36,429.90",23.78M,0.49%
"Nov 15, 2021","36,465.30","36,391.10","36,646.25","36,302.95",18.65M,0.37%
"Nov 12, 2021","36,332.30","35,860.10","36,378.05","35,732.75",23.46M,2.10%
"Nov 11, 2021","35,583.65","35,626.65","35,697.00","35,141.30",19.63M,-0.39%
"Nov 10, 2021","35,722.95","35,635.05","35,862.45","35,576.20",15.50M,-0.26%
"Nov 09, 2021","35,815.10","35,839.20","36,117.95","35,763.85",18.28M,0.09%
"Nov 08, 2021","35,782.35","35,606.00","35,852.50","35,177.95",22.09M,1.27%
"Nov 04, 2021","35,334.25","35,403.00","35,452.35","35,302.45",2.23M,0.45%
"Nov 03, 2021","35,177.10","35,351.45","35,525.75","35,093.05",14.98M,0.00%
"Nov 02, 2021","35,177.35","35,334.25","35,522.35","35,076.15",17.67M,-0.32%
"Nov 01, 2021","35,290.00","34,677.30","35,328.55","34,654.95",19.65M,2.56%
"Oct 29, 2021","34,408.75","34,820.30","35,178.75","34,288.55",26.86M,-1.45%
"Oct 28, 2021","34,913.60","35,575.65","35,575.65","34,787.10",22.63M,-1.66%
"Oct 27, 2021","35,503.90","35,245.05","35,578.00","35,163.05",23.64M,0.97%
"Oct 26, 2021","35,162.35","35,181.70","35,699.85","34,957.75",40.79M,0.45%
"Oct 25, 2021","35,005.40","35,467.10","35,521.05","34,529.85",32.12M,-1.10%
"Oct 22, 2021","35,394.65","35,892.65","36,297.20","35,098.20",30.43M,-1.45%
"Oct 21, 2021","35,913.60","36,988.90","36,988.90","35,624.50",38.32M,-2.53%
"Oct 20, 2021","36,846.80","37,188.15","37,463.90","36,534.50",37.45M,-0.70%
"Oct 19, 2021","37,106.35","36,841.60","37,491.85","36,720.00",53.75M,2.20%
"Oct 18, 2021","36,306.35","36,012.00","36,400.60","35,863.40",58.76M,1.57%
"Oct 14, 2021","35,744.85","35,921.45","36,412.45","35,571.40",111.66M,1.30%
"Oct 13, 2021","35,285.60","35,053.70","35,324.45","34,872.40",29.44M,1.19%
"Oct 12, 2021","34,869.75","35,179.20","35,294.15","34,512.80",41.08M,-0.88%
"Oct 11, 2021","35,179.95","35,494.40","35,690.40","34,768.95",43.09M,-3.36%
"Oct 08, 2021","36,402.00","35,920.55","36,703.55","35,786.30",31.05M,1.96%
"Oct 07, 2021","35,703.85","35,323.60","35,903.95","35,233.30",17.78M,1.79%
"Oct 06, 2021","35,075.80","35,689.55","35,801.50","35,003.05",18.52M,-1.32%
"Oct 05, 2021","35,544.30","34,978.40","35,650.85","34,781.60",20.63M,1.19%
"Oct 04, 2021","35,126.15","34,923.80","35,184.55","34,778.25",16.78M,0.99%
"Oct 01, 2021","34,780.60","34,955.50","35,100.90","34,719.80",20.01M,-0.71%
"Sep 30, 2021","35,028.00","35,394.90","35,408.10","34,975.60",25.37M,-0.72%
"Sep 29, 2021","35,282.65","34,894.90","35,578.30","34,733.95",36.96M,0.12%
"Sep 28, 2021","35,239.95","36,082.00","36,082.00","34,924.55",34.16M,-2.20%
"Sep 27, 2021","36,034.40","37,335.90","37,345.05","35,968.75",29.88M,-2.88%
"Sep 24, 2021","37,103.25","37,128.75","37,823.15","37,055.00",39.37M,0.78%
"Sep 23, 2021","36,816.90","36,691.95","36,867.45","36,532.45",16.66M,1.08%
"Sep 22, 2021","36,422.45","36,154.05","36,713.15","36,145.95",25.69M,0.93%
"Sep 21, 2021","36,086.05","35,609.10","36,127.80","35,332.85",19.56M,1.94%
"Sep 20, 2021","35,400.05","35,462.40","36,130.55","35,346.20",22.52M,-0.69%
"Sep 17, 2021","35,646.50","35,915.40","36,131.25","35,527.00",30.26M,-0.57%
"Sep 16, 2021","35,852.45","36,151.35","36,310.75","35,694.85",19.54M,-0.62%
"Sep 15, 2021","36,075.20","35,462.35","36,200.00","35,375.35",23.14M,1.82%
"Sep 14, 2021","35,431.50","35,224.25","35,476.90","35,020.70",20.16M,0.86%
"Sep 13, 2021","35,129.60","34,688.30","35,242.50","34,573.70",21.06M,0.94%
"Sep 09, 2021","34,802.30","34,676.20","34,862.85","34,530.00",18.04M,0.36%
"Sep 08, 2021","34,678.20","34,973.90","34,979.30","34,515.45",22.67M,-0.78%
"Sep 07, 2021","34,951.30","35,549.30","35,581.55","34,906.85",19.44M,-1.31%
"Sep 06, 2021","35,415.10","34,992.05","35,464.40","34,855.95",27.58M,1.50%
"Sep 03, 2021","34,891.20","34,744.45","34,997.70","34,490.65",20.85M,0.61%
"Sep 02, 2021","34,680.30","34,218.25","34,846.90","34,051.90",27.51M,1.67%
"Sep 01, 2021","34,110.50","34,698.75","34,780.00","34,037.15",22.27M,-1.33%
"Aug 31, 2021","34,570.25","34,205.80","34,680.65","34,043.60",39.99M,1.35%
"Aug 30, 2021","34,109.25","34,338.75","34,480.15","34,027.50",21.15M,-0.58%
"Aug 27, 2021","34,309.80","34,036.45","34,392.85","33,799.05",26.17M,0.79%
"Aug 26, 2021","34,041.10","34,092.90","34,375.95","33,929.70",21.02M,-0.13%
"Aug 25, 2021","34,083.95","33,887.75","34,399.85","33,764.10",25.30M,0.73%
"Aug 24, 2021","33,838.40","34,145.25","34,262.60","33,634.75",28.62M,-0.24%
"Aug 23, 2021","33,919.80","33,582.15","34,153.40","33,567.35",36.62M,1.70%
"Aug 20, 2021","33,351.35","32,954.20","33,652.40","32,949.90",28.47M,-0.29%
"Aug 18, 2021","33,448.90","33,482.85","33,840.45","33,268.60",29.40M,0.10%
"Aug 17, 2021","33,414.75","32,614.00","33,487.10","32,449.65",42.30B,2.57%
"Aug 16, 2021","32,577.95","32,671.75","32,905.35","32,438.25",17.95B,-0.31%
"Aug 13, 2021","32,678.80","32,308.85","32,821.90","32,264.15",32.23B,1.35%
"Aug 12, 2021","32,245.10","31,667.35","32,289.85","31,667.35",29.07B,1.82%
"Aug 11, 2021","31,670.00","31,767.90","31,799.75","31,522.40",21.18B,-0.14%
"Aug 10, 2021","31,713.40","31,489.95","31,812.75","31,431.15",29.86M,0.87%
"Aug 09, 2021","31,441.00","31,523.50","31,685.40","31,324.75",25.41M,0.44%
"Aug 06, 2021","31,303.30","31,251.20","31,460.30","31,057.60",28.20M,0.30%
"Aug 05, 2021","31,211.20","31,025.15","31,560.20","30,980.90",36.24M,0.76%
"Aug 04, 2021","30,977.15","31,296.80","31,338.80","30,895.45",28.17M,-0.61%
"Aug 03, 2021","31,165.85","30,974.75","31,196.45","30,872.35",22.71M,1.18%
