Date,Price,Open,High,Low,Volume,Chg%
"Jan 14, 2022","18,255.75","18,185.00","18,286.95","18,119.65",229.45M,-0.01%
"Jan 13, 2022","18,257.80","18,257.00","18,272.25","18,163.80",303.70M,0.25%
"Jan 12, 2022","18,212.35","18,170.40","18,227.95","18,128.80",244.97M,0.87%
"Jan 11, 2022","18,055.75","17,997.75","18,081.25","17,964.40",220.24M,0.29%
"Jan 10, 2022","18,003.30","17,913.30","18,017.45","17,879.15",232.42M,1.07%
"Jan 07, 2022","17,812.70","17,797.60","17,905.00","17,704.55",239.34M,0.38%
"Jan 06, 2022","17,745.90","17,768.50","17,797.95","17,655.55",236.46M,-1.00%
"Jan 05, 2022","17,925.25","17,820.10","17,944.70","17,748.85",251.46M,0.67%
"Jan 04, 2022","17,805.25","17,681.40","17,827.60","17,593.55",247.44M,1.02%
"Jan 03, 2022","17,625.70","17,387.15","17,646.65","17,383.30",200.46M,1.57%
"Dec 31, 2021","17,354.05","17,244.50","17,400.80","17,238.50",167.03M,0.87%
"Dec 30, 2021","17,203.95","17,201.45","17,264.05","17,146.35",320.83M,-0.06%
"Dec 29, 2021","17,213.60","17,220.10","17,285.95","17,176.65",161.68M,-0.11%
"Dec 28, 2021","17,233.25","17,177.60","17,250.25","17,161.15",176.03M,0.86%
"Dec 27, 2021","17,086.25","16,937.75","17,112.05","16,833.20",144.78M,0.49%
"Dec 24, 2021","17,003.75","17,149.50","17,155.60","16,909.60",182.56M,-0.40%
"Dec 23, 2021","17,072.60","17,066.80","17,118.65","17,015.55",196.96M,0.69%
"Dec 22, 2021","16,955.45","16,865.55","16,971.00","16,819.50",207.95M,1.10%
"Dec 21, 2021","16,770.85","16,773.15","16,936.40","16,688.25",241.03M,0.94%
"Dec 20, 2021","16,614.20","16,824.25","16,840.10","16,410.20",330.61M,-2.18%
"Dec 17, 2021","16,985.20","17,276.00","17,298.15","16,966.45",354.59M,-1.53%
"Dec 16, 2021","17,248.40","17,373.00","17,379.35","17,184.95",219.50M,0.16%
"Dec 15, 2021","17,221.40","17,323.65","17,351.20","17,192.20",214.97M,-0.60%
"Dec 14, 2021","17,324.90","17,283.20","17,376.20","17,225.80",270.97M,-0.25%
"Dec 13, 2021","17,368.25","17,619.10","17,639.50","17,355.95",256.56M,-0.82%
"Dec 10, 2021","17,511.30","17,476.05","17,534.35","17,405.25",204.47M,-0.03%
"Dec 09, 2021","17,516.85","17,524.40","17,543.25","17,379.60",237.17M,0.27%
"Dec 08, 2021","17,469.75","17,315.25","17,484.60","17,308.95",257.79M,1.71%
"Dec 07, 2021","17,176.70","17,044.10","17,251.65","16,987.75",254.14M,1.56%
"Dec 06, 2021","16,912.25","17,209.05","17,216.75","16,891.70",231.72M,-1.65%
"Dec 03, 2021","17,196.70","17,424.90","17,489.80","17,180.80",292.53M,-1.18%
"Dec 02, 2021","17,401.65","17,183.20","17,420.35","17,149.30",279.87M,1.37%
"Dec 01, 2021","17,166.90","17,104.40","17,213.05","17,064.25",295.54M,1.08%
"Nov 30, 2021","16,983.20","17,051.15","17,324.65","16,931.40",498.00M,-0.41%
"Nov 29, 2021","17,053.95","17,055.80","17,160.70","16,782.40",348.89M,0.16%
"Nov 26, 2021","17,026.45","17,338.75","17,355.40","16,985.70",356.33M,-2.91%
"Nov 25, 2021","17,536.25","17,417.30","17,564.35","17,351.70",255.95M,0.70%
"Nov 24, 2021","17,415.05","17,550.05","17,600.60","17,354.00",298.05M,-0.50%
"Nov 23, 2021","17,503.35","17,281.75","17,553.70","17,216.10",308.84M,0.50%
"Nov 22, 2021","17,416.55","17,796.25","17,805.25","17,280.45",356.40M,-1.96%
