Date,Price,Open,High,Low,Volume,Chg%
"Jan 14, 2022","11,643.05","11,618.35","11,728.65","11,592.15",33.78M,-0.37%
"Jan 13, 2022","11,686.15","11,642.70","11,697.10","11,507.50",50.28M,0.35%
"Jan 12, 2022","11,645.90","11,526.25","11,660.65","11,484.75",46.63M,1.45%
"Jan 11, 2022","11,479.70","11,476.95","11,542.35","11,439.50",30.95M,-0.19%
"Jan 10, 2022","11,501.70","11,341.35","11,524.30","11,327.20",42.18M,1.87%
"Jan 07, 2022","11,290.90","11,341.75","11,384.55","11,216.25",30.35M,-0.23%
"Jan 06, 2022","11,316.60","11,186.60","11,334.90","11,122.05",41.42M,0.53%
"Jan 05, 2022","11,256.85","11,133.10","11,277.80","11,103.20",42.99M,1.05%
"Jan 04, 2022","11,139.40","11,165.00","11,171.05","11,058.25",44.79M,0.22%
"Jan 03, 2022","11,114.55","11,001.30","11,145.95","10,998.35",63.90M,1.62%
"Dec 31, 2021","10,936.90","10,788.40","10,950.45","10,774.70",31.97M,1.69%
"Dec 30, 2021","10,755.65","10,844.15","10,850.55","10,741.75",28.08M,-0.68%
"Dec 29, 2021","10,829.55","10,799.95","10,850.65","10,740.75",29.59M,0.42%
"Dec 28, 2021","10,783.85","10,698.00","10,796.65","10,671.35",38.35M,1.34%
"Dec 27, 2021","10,641.65","10,582.15","10,656.85","10,505.75",27.71M,0.20%
"Dec 24, 2021","10,620.75","10,787.40","10,792.70","10,561.20",29.40M,-1.03%
"Dec 23, 2021","10,731.05","10,737.55","10,769.55","10,700.35",28.07M,0.74%
"Dec 22, 2021","10,652.55","10,534.25","10,686.35","10,534.05",39.38M,1.61%
"Dec 21, 2021","10,483.90","10,466.95","10,589.50","10,412.90",41.50M,0.76%
"Dec 20, 2021","10,405.30","10,536.10","10,543.50","10,197.20",64.03M,-2.56%
"Dec 17, 2021","10,678.65","10,927.00","10,931.60","10,661.40",50.92M,-2.44%
"Dec 16, 2021","10,945.75","11,091.70","11,094.75","10,905.20",37.01M,-0.73%
"Dec 15, 2021","11,026.00","10,973.60","11,102.15","10,961.20",44.51M,0.49%
"Dec 14, 2021","10,972.15","11,010.50","11,012.45","10,888.35",35.40M,-0.68%
"Dec 13, 2021","11,047.15","11,176.55","11,212.20","11,032.05",42.00M,-0.30%
"Dec 10, 2021","11,080.05","11,002.80","11,127.50","10,997.45",33.01M,0.19%
"Dec 09, 2021","11,058.75","11,095.45","11,095.85","10,942.10",43.24M,0.46%
"Dec 08, 2021","11,007.70","10,822.85","11,018.40","10,807.30",48.19M,2.31%
"Dec 07, 2021","10,759.00","10,698.60","10,812.55","10,653.65",41.37M,1.60%
"Dec 06, 2021","10,589.80","10,788.50","10,793.35","10,570.35",38.54M,-1.84%
"Dec 03, 2021","10,788.75","10,880.10","10,929.00","10,757.30",46.34M,-0.78%
"Dec 02, 2021","10,873.15","10,787.15","10,891.60","10,752.80",50.62M,1.07%
"Dec 01, 2021","10,758.15","10,725.75","10,802.65","10,670.10",60.18M,1.46%
"Nov 30, 2021","10,603.55","10,725.95","10,868.75","10,554.25",74.16M,-0.94%
"Nov 29, 2021","10,704.15","10,705.65","10,807.65","10,448.15",79.31M,-0.52%
"Nov 26, 2021","10,759.60","11,159.60","11,159.60","10,721.35",94.29M,-4.34%
"Nov 25, 2021","11,247.75","11,312.95","11,366.20","11,193.00",36.10M,-0.54%
"Nov 24, 2021","11,308.85","11,521.05","11,532.65","11,266.95",44.65M,-1.28%
"Nov 23, 2021","11,455.70","11,339.20","11,497.00","11,275.25",70.57M,0.67%
"Nov 22, 2021","11,379.75","11,788.80","11,788.80","11,270.35",75.57M,-3.13%
"Nov 18, 2021","11,747.45","12,061.90","12,067.25","11,690.90",82.69M,-2.61%
"Nov 17, 2021","12,061.80","11,982.75","12,139.75","11,958.50",81.89M,0.71%
"Nov 16, 2021","11,977.30","11,717.95","12,078.80","11,692.05",119.93M,2.48%
"Nov 15, 2021","11,687.65","11,716.10","11,840.95","11,645.30",59.39M,-0.16%
"Nov 12, 2021","11,706.50","11,791.35","11,795.25","11,635.70",52.28M,0.14%
"Nov 11, 2021","11,690.15","11,818.75","11,848.75","11,645.00",55.43M,-1.18%
"Nov 10, 2021","11,829.15","11,776.25","11,855.80","11,718.70",65.17M,0.53%
"Nov 09, 2021","11,766.25","11,701.25","11,824.90","11,691.35",131.43M,1.03%
"Nov 08, 2021","11,645.75","11,645.85","11,684.25","11,602.50",72.29M,0.66%
"Nov 04, 2021","11,569.80","11,480.80","11,590.20","11,471.00",11.35M,1.48%
"Nov 03, 2021","11,401.20","11,515.10","11,560.95","11,366.95",47.05M,-1.04%
"Nov 02, 2021","11,521.25","11,534.40","11,610.35","11,487.50",85.00M,0.88%
"Nov 01, 2021","11,421.00","11,306.45","11,460.15","11,205.25",66.11M,1.09%
"Oct 29, 2021","11,297.45","11,262.95","11,413.15","11,070.65",64.00M,0.32%
"Oct 28, 2021","11,260.90","11,380.80","11,449.10","11,223.45",62.61M,-1.18%
"Oct 27, 2021","11,395.15","11,466.95","11,491.15","11,364.45",53.00M,-0.50%
"Oct 26, 2021","11,452.25","11,269.70","11,466.80","11,258.85",82.84M,2.00%
"Oct 25, 2021","11,228.20","11,417.85","11,445.65","11,177.75",60.61M,-1.80%
"Oct 22, 2021","11,433.95","11,634.65","11,641.35","11,380.80",90.38M,-1.07%
"Oct 21, 2021","11,557.40","11,588.05","11,602.05","11,392.50",78.61M,0.56%
"Oct 20, 2021","11,493.30","11,598.65","11,648.90","11,388.85",87.65M,-1.15%
"Oct 19, 2021","11,626.85","11,859.20","11,892.05","11,580.75",91.66M,-1.59%
"Oct 18, 2021","11,814.80","11,862.80","11,964.55","11,796.85",120.26M,0.12%
"Oct 14, 2021","11,800.30","12,005.95","12,014.50","11,775.50",135.10M,-0.59%
"Oct 13, 2021","11,870.00","11,687.55","12,001.90","11,603.10",289.50M,3.43%
"Oct 12, 2021","11,476.10","11,400.15","11,525.50","11,374.10",132.05M,0.88%
"Oct 11, 2021","11,375.55","11,136.55","11,444.70","11,125.05",152.20M,2.67%
"Oct 08, 2021","11,079.35","11,147.75","11,206.95","11,054.65",125.06M,0.43%
"Oct 07, 2021","11,031.80","10,659.70","11,091.45","10,639.45",235.38M,4.39%
"Oct 06, 2021","10,567.55","10,722.65","10,766.90","10,535.10",53.36M,-1.16%
"Oct 05, 2021","10,692.00","10,624.45","10,728.10","10,599.95",58.37M,0.48%
"Oct 04, 2021","10,641.15","10,649.40","10,695.45","10,616.40",59.78M,0.42%
"Oct 01, 2021","10,596.95","10,544.85","10,617.85","10,437.10",77.56M,-0.01%
"Sep 30, 2021","10,598.45","10,652.15","10,676.15","10,561.75",82.86M,-0.54%
"Sep 29, 2021","10,655.50","10,640.10","10,715.65","10,559.40",52.28M,-0.38%
"Sep 28, 2021","10,695.95","10,824.45","10,842.35","10,608.75",63.94M,-0.64%
"Sep 27, 2021","10,765.15","10,513.05","10,801.00","10,501.05",115.91M,3.22%
"Sep 24, 2021","10,429.05","10,403.40","10,473.90","10,341.75",56.80M,0.54%
"Sep 23, 2021","10,372.95","10,337.75","10,404.45","10,333.25",76.21M,0.86%
"Sep 22, 2021","10,284.60","10,179.50","10,314.00","10,174.15",62.55M,1.27%
"Sep 21, 2021","10,155.95","10,196.95","10,226.40","10,021.35",46.84M,-0.46%
"Sep 20, 2021","10,202.65","10,286.95","10,348.05","10,176.40",49.50M,-1.44%
"Sep 17, 2021","10,351.45","10,392.10","10,469.85","10,284.45",57.95M,0.00%
"Sep 16, 2021","10,351.45","10,343.20","10,358.70","10,300.45",48.67M,0.53%
"Sep 15, 2021","10,297.00","10,239.95","10,309.60","10,222.95",66.01M,0.86%
"Sep 14, 2021","10,209.60","10,151.25","10,246.75","10,149.35",62.49M,0.88%
"Sep 13, 2021","10,120.15","10,119.95","10,125.80","10,045.00",42.55M,0.07%
"Sep 09, 2021","10,112.60","10,070.95","10,144.30","10,054.35",89.09M,0.12%
"Sep 08, 2021","10,100.40","10,152.10","10,154.45","10,047.15",53.78M,-0.52%
"Sep 07, 2021","10,152.70","10,189.35","10,204.05","10,115.55",56.00M,-0.14%
"Sep 06, 2021","10,167.25","10,185.20","10,214.40","10,156.10",68.11M,0.42%
"Sep 03, 2021","10,124.75","10,054.05","10,195.90","10,042.55",140.17M,1.02%
"Sep 02, 2021","10,022.45","10,082.95","10,083.50","9,981.30",62.41M,-0.21%
"Sep 01, 2021","10,043.90","10,049.10","10,088.65","10,010.60",87.64M,0.09%
"Aug 31, 2021","10,034.45","9,972.70","10,044.35","9,893.85",86.40M,0.77%
"Aug 30, 2021","9,957.90","9,867.70","9,968.75","9,863.45",59.20M,1.68%
"Aug 27, 2021","9,793.85","9,768.35","9,812.00","9,718.25",48.77M,0.31%
"Aug 26, 2021","9,763.10","9,801.65","9,812.95","9,745.95",45.10M,-0.46%
"Aug 25, 2021","9,808.65","9,874.45","9,899.25","9,799.10",73.71M,-0.25%
"Aug 24, 2021","9,832.80","9,779.00","9,851.55","9,704.60",74.34M,0.75%
"Aug 23, 2021","9,759.15","9,982.55","10,007.65","9,744.50",67.28M,-1.47%
"Aug 20, 2021","9,904.70","9,972.55","10,032.55","9,876.60",81.98M,-1.62%
"Aug 18, 2021","10,067.95","10,123.75","10,134.15","10,045.60",51.66M,-0.20%
"Aug 17, 2021","10,088.30","10,073.40","10,100.45","9,963.25",71.90M,0.00%
"Aug 16, 2021","10,088.80","10,182.30","10,209.20","10,071.10",52.91M,-0.88%
"Aug 13, 2021","10,178.30","10,218.65","10,240.85","10,151.60",99.11M,-0.02%
"Aug 12, 2021","10,180.55","10,177.35","10,223.75","10,137.10",82.17M,0.40%
"Aug 11, 2021","10,140.40","10,173.80","10,225.35","10,000.95",61.17M,-0.18%
"Aug 10, 2021","10,158.75","10,247.10","10,271.80","10,095.10",78.57M,-0.78%
"Aug 09, 2021","10,239.00","10,274.75","10,348.80","10,200.45",60.09M,-0.10%
"Aug 06, 2021","10,249.50","10,263.30","10,316.40","10,235.55",46.88M,0.24%
"Aug 05, 2021","10,224.90","10,237.65","10,240.00","10,157.70",56.58M,-0.21%
"Aug 04, 2021","10,246.80","10,378.90","10,408.00","10,203.20",73.60M,-0.93%
"Aug 03, 2021","10,342.60","10,220.10","10,355.65","10,206.45",94.31M,1.56%
"Aug 02, 2021","10,183.45","10,162.75","10,190.30","10,114.10",60.23M,1.34%
"Jul 30, 2021","10,048.50","9,990.70","10,179.60","9,976.90",148.69M,0.92%
"Jul 29, 2021","9,956.65","10,021.00","10,027.95","9,945.80",90.81M,-0.44%
"Jul 28, 2021","10,000.40","10,119.10","10,122.55","9,947.95",59.40M,-0.93%
"Jul 27, 2021","10,094.35","10,153.15","10,217.10","10,047.65",81.49M,-0.43%
"Jul 26, 2021","10,137.95","10,204.65","10,212.65","10,127.15",48.28M,-0.62%
"Jul 23, 2021","10,201.35","10,249.30","10,297.60","10,190.80",56.41M,-0.34%
"Jul 22, 2021","10,235.80","10,296.40","10,303.25","10,189.15",46.16M,0.13%
"Jul 20, 2021","10,222.20","10,318.40","10,341.30","10,175.60",53.14M,-0.86%
"Jul 19, 2021","10,310.90","10,372.30","10,379.70","10,268.40",46.64M,-1.13%
"Jul 16, 2021","10,428.45","10,458.95","10,459.60","10,400.35",42.79M,0.02%
"Jul 15, 2021","10,426.00","10,480.95","10,488.25","10,404.25",48.50M,-0.40%
"Jul 14, 2021","10,467.90","10,503.75","10,510.65","10,455.75",51.95M,-0.28%
"Jul 13, 2021","10,497.80","10,505.70","10,531.25","10,463.60",55.72M,0.57%
"Jul 12, 2021","10,438.20","10,496.50","10,523.00","10,422.75",57.46M,0.17%
"Jul 09, 2021","10,420.30","10,444.00","10,456.05","10,386.05",89.43M,-0.34%
"Jul 08, 2021","10,456.00","10,510.35","10,558.25","10,425.95",126.17M,-0.91%
"Jul 07, 2021","10,552.50","10,565.30","10,598.00","10,493.65",144.51M,-0.07%
"Jul 06, 2021","10,559.70","10,755.15","10,816.85","10,527.50",208.60M,-1.74%
"Jul 05, 2021","10,746.45","10,731.55","10,810.25","10,710.80",44.50M,0.57%
"Jul 02, 2021","10,685.50","10,741.45","10,743.80","10,646.20",45.01M,-0.02%
"Jul 01, 2021","10,687.70","10,620.15","10,744.10","10,619.55",73.86M,0.82%
"Jun 30, 2021","10,600.35","10,637.75","10,699.50","10,583.00",51.90M,-0.11%
"Jun 29, 2021","10,612.25","10,712.15","10,754.95","10,588.25",77.04M,-0.91%
"Jun 28, 2021","10,709.90","10,746.10","10,746.10","10,676.90",51.51M,0.03%
"Jun 25, 2021","10,706.80","10,644.65","10,754.90","10,643.90",141.32M,0.83%
"Jun 24, 2021","10,618.45","10,604.55","10,638.25","10,550.85",47.16M,0.28%
"Jun 23, 2021","10,588.50","10,599.50","10,684.95","10,551.15",61.05M,0.46%
"Jun 22, 2021","10,540.45","10,456.00","10,614.30","10,451.50",67.49M,1.34%
"Jun 21, 2021","10,401.15","10,319.10","10,420.65","10,276.10",63.65M,-0.41%
"Jun 18, 2021","10,443.75","10,540.75","10,552.05","10,229.10",122.05M,-0.75%
"Jun 17, 2021","10,523.00","10,618.70","10,664.95","10,484.95",76.48M,-1.37%
"Jun 16, 2021","10,669.45","10,742.50","10,772.25","10,644.55",73.11M,-0.79%
"Jun 15, 2021","10,754.40","10,768.20","10,803.25","10,739.40",59.70M,0.01%
"Jun 14, 2021","10,753.10","10,755.35","10,767.80","10,570.85",73.54M,-0.12%
"Jun 11, 2021","10,765.50","10,772.35","10,807.15","10,717.25",94.22M,0.40%
"Jun 10, 2021","10,722.70","10,773.85","10,781.50","10,681.90",57.29M,-0.11%
"Jun 09, 2021","10,734.40","10,889.15","10,913.95","10,670.55",99.85M,-1.28%
"Jun 08, 2021","10,873.90","10,836.05","10,889.65","10,762.15",80.31M,0.62%
"Jun 07, 2021","10,806.55","10,814.25","10,888.25","10,791.20",123.93M,0.66%
"Jun 04, 2021","10,735.75","10,672.85","10,749.15","10,634.90",125.33M,0.83%
"Jun 03, 2021","10,647.65","10,683.25","10,690.45","10,600.65",126.68M,0.00%
"Jun 02, 2021","10,647.75","10,431.55","10,671.60","10,413.30",150.87M,1.82%
"Jun 01, 2021","10,457.85","10,507.30","10,619.00","10,443.75",73.12M,-0.32%
"May 31, 2021","10,491.85","10,467.00","10,513.10","10,344.95",76.87M,-0.18%
"May 28, 2021","10,510.25","10,537.60","10,573.95","10,429.40",76.04M,0.23%
