"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 14, 2022","38,370.40","38,302.35","38,448.05","38,007.75","148.65M","-0.26%"
"Jan 13, 2022","38,469.95","38,717.55","38,717.55","38,376.15","159.21M","-0.67%"
"Jan 12, 2022","38,727.55","38,719.60","38,851.45","38,604.60","156.05M","0.74%"
"Jan 11, 2022","38,442.20","38,370.00","38,504.60","38,031.75","159.54M","0.25%"
"Jan 10, 2022","38,347.90","37,930.55","38,400.35","37,929.35","206.47M","1.61%"
"Jan 07, 2022","37,739.60","37,667.05","38,134.85","37,427.80","183.34M","0.67%"
"Jan 06, 2022","37,490.25","37,242.55","37,752.50","37,058.45","199.04M","-0.55%"
"Jan 05, 2022","37,695.90","36,943.55","37,862.40","36,756.35","237.38M","2.32%"
"Jan 04, 2022","36,840.15","36,551.25","36,887.80","36,374.40","190.54M","1.15%"
"Jan 03, 2022","36,421.90","35,585.20","36,492.10","35,526.60","219.02M","2.65%"
"Dec 31, 2021","35,481.70","35,114.40","35,596.95","35,113.75","210.32M","1.19%"
"Dec 30, 2021","35,063.60","34,977.65","35,179.05","34,751.25","328.00M","0.05%"
"Dec 29, 2021","35,045.40","35,168.85","35,378.30","34,890.80","122.52M","-0.39%"
"Dec 28, 2021","35,183.80","35,308.30","35,352.40","35,037.90","181.62M","0.36%"
"Dec 27, 2021","35,057.90","34,573.65","35,143.70","34,233.00","335.14M","0.58%"
"Dec 24, 2021","34,857.05","35,282.20","35,327.95","34,583.40","132.46M","-0.95%"
"Dec 23, 2021","35,191.15","35,350.50","35,477.30","35,046.25","114.20M","0.46%"
"Dec 22, 2021","35,029.50","34,865.25","35,112.10","34,687.60","128.59M","1.22%"
"Dec 21, 2021","34,607.85","34,863.35","35,050.00","34,389.95","159.62M","0.49%"
"Dec 20, 2021","34,439.85","35,124.35","35,231.10","34,018.45","200.12M","-3.31%"
"Dec 17, 2021","35,618.65","36,491.80","36,550.75","35,535.05","152.08M","-2.54%"
"Dec 16, 2021","36,548.65","37,092.95","37,159.30","36,385.75","112.69M","-0.65%"
"Dec 15, 2021","36,789.55","36,929.50","37,083.50","36,743.20","105.80M","-0.28%"
"Dec 14, 2021","36,893.95","36,778.95","37,039.05","36,545.40","132.16M","-0.08%"
"Dec 13, 2021","36,925.25","37,358.20","37,581.05","36,861.90","157.27M","-0.49%"
"Dec 10, 2021","37,105.65","37,083.15","37,153.25","36,824.40","170.85M","0.06%"
"Dec 09, 2021","37,082.45","37,331.75","37,397.55","36,884.45","123.18M","-0.54%"
"Dec 08, 2021","37,284.70","37,052.75","37,384.80","36,905.15","164.97M","1.82%"
"Dec 07, 2021","36,618.40","36,086.95","36,820.70","36,013.95","146.69M","2.47%"
"Dec 06, 2021","35,735.90","36,252.75","36,344.55","35,696.75","136.03M","-1.27%"
"Dec 03, 2021","36,197.15","36,497.30","36,844.00","36,062.85","138.91M","-0.85%"
"Dec 02, 2021","36,508.25","36,281.85","36,563.50","36,166.70","131.73M","0.39%"
"Dec 01, 2021","36,364.90","35,902.90","36,445.35","35,805.00","173.85M","1.88%"
"Nov 30, 2021","35,695.30","35,958.80","36,774.20","35,526.35","227.28M","-0.78%"
"Nov 29, 2021","35,976.45","36,224.45","36,347.85","35,327.90","187.22M","-0.14%"
"Nov 26, 2021","36,025.50","36,830.90","36,868.90","35,904.10","211.36M","-3.58%"
"Nov 25, 2021","37,364.75","37,362.05","37,507.95","37,118.40","140.76M","-0.21%"
"Nov 24, 2021","37,441.95","37,384.75","37,891.90","37,238.05","157.62M","0.45%"
"Nov 23, 2021","37,272.80","36,787.00","37,448.75","36,647.55","188.69M","0.39%"
"Nov 22, 2021","37,128.80","38,232.15","38,241.00","36,655.40","209.49M","-2.23%"
"Nov 18, 2021","37,976.25","38,071.90","38,233.95","37,748.45","238.70M","-0.17%"
"Nov 17, 2021","38,041.55","38,113.40","38,456.30","37,981.20","139.26M","-0.69%"
"Nov 16, 2021","38,307.10","38,710.90","38,724.70","38,211.10","129.07M","-1.02%"
"Nov 15, 2021","38,702.35","38,849.45","39,117.15","38,606.60","112.34M","-0.08%"
"Nov 12, 2021","38,733.35","38,707.15","38,822.85","38,467.80","136.01M","0.45%"
"Nov 11, 2021","38,560.20","38,913.05","38,929.95","38,346.05","146.05M","-1.19%"
"Nov 10, 2021","39,023.25","39,206.20","39,220.30","38,873.80","167.94M","-0.88%"
"Nov 09, 2021","39,368.80","39,517.85","39,560.60","39,223.40","203.52M","-0.18%"
"Nov 08, 2021","39,438.25","39,674.05","39,674.05","38,932.15","212.86M","-0.34%"
"Nov 04, 2021","39,573.70","39,669.10","39,734.70","39,514.15","38.77M","0.44%"
"Nov 03, 2021","39,402.05","40,040.65","40,160.20","39,304.85","267.47M","-1.34%"
"Nov 02, 2021","39,938.45","39,796.90","40,107.60","39,590.70","265.00M","0.44%"
"Nov 01, 2021","39,763.75","39,432.15","39,862.60","39,120.65","203.23M","1.66%"
"Oct 29, 2021","39,115.60","39,424.55","39,775.25","38,426.65","341.30M","-1.00%"
"Oct 28, 2021","39,508.95","40,915.15","40,931.05","39,350.20","512.72M","-3.34%"
"Oct 27, 2021","40,874.35","41,234.55","41,347.00","40,750.00","322.83M","-0.88%"
"Oct 26, 2021","41,238.30","41,057.75","41,367.25","40,829.15","437.11M","0.11%"
"Oct 25, 2021","41,192.40","40,961.25","41,829.60","40,508.10","476.83M","2.15%"
"Oct 22, 2021","40,323.65","40,192.65","40,587.35","40,149.55","370.52M","0.73%"
"Oct 21, 2021","40,030.20","39,676.55","40,200.45","39,428.10","271.27M","1.30%"
"Oct 20, 2021","39,518.20","39,545.45","39,774.55","39,292.80","236.89M","-0.06%"
"Oct 19, 2021","39,540.50","39,927.30","40,011.15","39,394.25","274.85M","-0.36%"
"Oct 18, 2021","39,684.80","39,794.25","39,947.60","39,569.55","580.03M","0.87%"
"Oct 14, 2021","39,340.90","38,684.65","39,375.05","38,673.00","249.64M","1.83%"
"Oct 13, 2021","38,635.75","38,735.30","38,779.05","38,502.70","205.86M","0.30%"
"Oct 12, 2021","38,521.50","38,178.35","38,609.60","38,144.60","201.28M","0.59%"
"Oct 11, 2021","38,293.80","37,782.75","38,495.30","37,744.65","136.09M","1.37%"
"Oct 08, 2021","37,775.25","37,906.40","38,105.20","37,674.35","168.18M","0.06%"
"Oct 07, 2021","37,753.20","37,894.00","37,923.65","37,650.25","136.42M","0.62%"
"Oct 06, 2021","37,521.55","37,768.80","38,106.85","37,452.00","204.21M","-0.58%"
"Oct 05, 2021","37,741.00","37,499.80","37,786.60","37,364.75","153.10M","0.43%"
"Oct 04, 2021","37,579.65","37,392.15","37,670.70","37,355.60","146.44M","0.95%"
"Oct 01, 2021","37,225.90","37,140.40","37,299.40","36,876.35","189.21M","-0.53%"
"Sep 30, 2021","37,425.10","37,677.80","37,884.85","37,354.25","235.08M","-0.84%"
"Sep 29, 2021","37,743.00","37,601.10","37,923.45","37,371.05","260.52M","-0.53%"
"Sep 28, 2021","37,945.00","38,360.00","38,377.25","37,315.20","200.99M","-0.59%"
"Sep 27, 2021","38,171.25","38,054.75","38,355.20","37,968.20","112.96M","0.90%"
"Sep 24, 2021","37,830.30","37,954.00","38,112.60","37,680.00","138.42M","0.16%"
"Sep 23, 2021","37,771.70","37,241.25","37,830.75","37,216.15","139.14M","2.24%"
"Sep 22, 2021","36,944.65","37,277.10","37,328.60","36,885.60","106.37M","-0.78%"
"Sep 21, 2021","37,235.85","37,238.40","37,340.70","36,525.95","153.95M","0.24%"
"Sep 20, 2021","37,145.70","37,388.20","37,802.75","37,068.45","152.04M","-1.76%"
"Sep 17, 2021","37,811.95","37,929.50","38,112.75","37,396.05","335.07M","0.38%"
"Sep 16, 2021","37,668.60","36,946.00","37,720.15","36,907.75","423.08M","2.22%"
"Sep 15, 2021","36,852.25","36,543.55","36,949.70","36,496.05","177.85M","0.65%"
"Sep 14, 2021","36,613.05","36,639.95","36,756.00","36,529.65","109.34M","0.39%"
"Sep 13, 2021","36,471.80","36,608.45","36,724.85","36,327.05","82.21M","-0.58%"
"Sep 09, 2021","36,683.20","36,725.50","36,857.20","36,566.70","83.64M","-0.23%"
"Sep 08, 2021","36,768.20","36,519.70","36,855.90","36,393.60","175.84M","0.82%"
"Sep 07, 2021","36,468.80","36,558.85","36,685.85","36,151.95","124.50M","-0.34%"
"Sep 06, 2021","36,592.35","36,878.25","36,923.65","36,554.45","88.61M","-0.46%"
"Sep 03, 2021","36,761.15","36,883.65","37,140.00","36,563.20","155.57M","-0.19%"
"Sep 02, 2021","36,831.30","36,588.40","36,895.55","36,469.00","118.88M","0.70%"
"Sep 01, 2021","36,574.30","36,591.45","36,997.70","36,487.15","181.52M","0.41%"
"Aug 31, 2021","36,424.60","36,367.40","36,552.80","36,216.20","210.32M","0.21%"
"Aug 30, 2021","36,347.65","35,781.05","36,398.45","35,721.90","150.36M","2.02%"
"Aug 27, 2021","35,627.80","35,559.75","35,727.90","35,359.25","120.86M","0.03%"
"Aug 26, 2021","35,617.55","35,485.95","35,785.80","35,411.80","136.43M","0.09%"
"Aug 25, 2021","35,586.25","35,768.85","35,910.30","35,499.65","144.30M","-0.35%"
"Aug 24, 2021","35,712.10","35,200.75","35,795.30","35,070.00","173.61M","1.67%"
"Aug 23, 2021","35,124.40","35,424.20","35,427.40","34,817.50","174.16M","0.26%"
"Aug 20, 2021","35,033.85","35,146.50","35,306.50","34,926.50","181.20M","-1.46%"
"Aug 18, 2021","35,554.50","36,222.50","36,248.90","35,432.00","140.48M","-0.87%"
"Aug 17, 2021","35,867.45","35,935.05","35,993.70","35,611.85","118.33M","-0.63%"
"Aug 16, 2021","36,094.50","36,100.65","36,261.55","36,032.40","87.30M","-0.21%"
"Aug 13, 2021","36,169.35","36,000.75","36,233.30","35,937.10","125.85M","0.65%"
"Aug 12, 2021","35,937.05","35,825.40","35,998.15","35,702.90","122.33M","0.36%"
