Date,Price,Open,High,Low,Vol.,Change %
"Apr 01, 2019","12,499.65","12,575.10","12,603.30","12,453.80",83.65K,-0.35%
"Apr 01, 2020","8,942.55","9,293.90","9,319.95","8,889.25",206.87M,-4.02%
"Apr 01, 2021","15,909.25","15,845.25","15,942.15","15,638.05",114.91M,1.23%
"Apr 02, 2019","12,538.60","12,547.20","12,575.70","12,456.50",86.90K,0.31%
"Apr 03, 2019","12,506.80","12,569.60","12,652.00","12,486.90",82.17K,-0.25%
"Apr 03, 2020","8,562.10","8,986.60","8,989.50","8,521.15",258.15M,-4.25%
"Apr 04, 2019","12,499.70","12,528.55","12,614.90","12,458.00",77.83K,-0.06%
"Apr 05, 2019","12,594.95","12,532.00","12,628.80","12,513.10",62.11K,0.76%
"Apr 05, 2021","15,392.10","15,847.65","15,866.70","15,231.60",144.25M,-3.25%
"Apr 06, 2021","15,394.85","15,512.50","15,548.90","15,281.35",127.17M,0.02%
"Apr 07, 2020","9,278.30","9,072.45","9,328.95","8,802.00",319.18M,8.36%
"Apr 07, 2021","15,577.55","15,421.20","15,662.50","15,283.70",143.72M,1.19%
"Apr 08, 2019","12,504.05","12,635.35","12,642.90","12,439.05",50.50K,-0.72%
"Apr 08, 2020","9,243.45","9,152.60","9,814.30","9,084.40",347.66M,-0.38%
"Apr 08, 2021","15,525.15","15,650.80","15,736.30","15,473.90",111.69M,-0.34%
"Apr 09, 2019","12,568.10","12,522.95","12,587.55","12,418.20",67.16K,0.51%
"Apr 09, 2020","9,803.00","9,485.00","9,836.35","9,424.70",267.03M,6.05%
"Apr 09, 2021","15,412.50","15,490.00","15,591.70","15,369.60",131.06M,-0.73%
"Apr 10, 2019","12,426.65","12,496.95","12,569.60","12,410.10",89.52K,-1.13%
"Apr 11, 2019","12,450.00","12,442.25","12,467.10","12,399.85",49.81K,0.19%
"Apr 12, 2019","12,495.60","12,450.40","12,519.45","12,419.60",49.36K,0.37%
"Apr 12, 2021","14,711.00","15,054.65","15,068.00","14,600.65",202.41M,-4.55%
"Apr 13, 2020","9,500.65","9,814.30","9,842.35","9,454.70",209.14M,-3.08%
"Apr 13, 2021","15,209.15","14,753.45","15,234.10","14,693.00",156.57M,3.39%
"Apr 15, 2019","12,535.30","12,526.45","12,556.15","12,492.90",45.21K,0.32%
"Apr 15, 2020","9,239.35","9,780.00","9,780.10","9,136.65",294.02M,-2.75%
"Apr 15, 2021","15,387.40","15,300.45","15,411.95","15,050.25",169.03M,1.17%
"Apr 16, 2019","12,663.30","12,584.05","12,688.70","12,580.25",65.63K,1.02%
"Apr 16, 2020","9,392.60","9,191.15","9,466.15","9,097.00",312.33M,1.66%
"Apr 16, 2021","15,362.25","15,404.35","15,479.75","15,326.00",116.73M,-0.16%
"Apr 17, 2020","9,905.55","9,821.60","9,972.20","9,577.25",411.86M,5.46%
"Apr 18, 2019","12,567.30","12,723.85","12,726.55","12,542.20",65.41K,-0.76%
"Apr 19, 2021","15,006.55","14,900.40","15,043.75","14,675.45",154.90M,-2.32%
