time,EMA
2019-01-01,1905.4179
2019-01-02,1908.3082
2019-01-03,1903.0474
2019-01-04,1904.983
2019-01-07,1906.5402
2019-01-08,1905.7402
2019-01-09,1911.0961
2019-01-10,1912.954
2019-01-11,1916.001
2019-01-14,1915.2548
2019-01-15,1918.4395
2019-01-16,1918.1414
2019-01-17,1923.1754
2019-01-18,1927.9649
2019-01-21,1931.0452
2019-01-22,1929.9114
2019-01-23,1924.5797
2019-01-24,1922.2296
2019-01-25,1921.8161
2019-01-28,1916.3588
2019-01-29,1906.6334
2019-01-30,1892.7982
2019-01-31,1888.2215
2019-02-01,1891.0611
2019-02-04,1896.3852
2019-02-05,1900.7413
2019-02-06,1905.9823
2019-02-07,1907.2784
2019-02-08,1903.6434
2019-02-11,1901.3843
2019-02-12,1892.0515
2019-02-14,1880.2638
2019-02-15,1869.4049
2019-02-18,1860.4057
2019-02-19,1848.9298
2019-02-20,1843.009
2019-02-21,1841.8187
2019-02-22,1839.6885
2019-02-25,1839.6756
2019-02-26,1832.3748
2019-02-27,1824.4244
2019-02-28,1817.8137
2019-03-01,1815.5292
2019-03-05,1813.8543
2019-03-06,1816.8351
2019-03-07,1818.259
2019-03-08,1820.2094
2019-03-11,1824.1706
2019-03-12,1833.528
2019-03-13,1844.5819
2019-03-14,1854.7999
2019-03-15,1867.1654
2019-03-18,1874.9838
2019-03-19,1882.0615
2019-03-20,1891.2652
2019-03-22,1898.3004
2019-03-25,1897.2306
2019-03-26,1896.3377
2019-03-27,1891.1509
2019-03-28,1891.6109
2019-04-01,1896.6751
2019-04-02,1904.1679
2019-04-03,1913.8792
2019-04-04,1926.8647
2019-04-05,1940.177
2019-04-08,1950.5737
2019-04-09,1961.6177
2019-04-10,1963.4743
2019-04-11,1963.8881
2019-04-12,1965.1284
2019-04-15,1963.9063
2019-04-16,1965.3468
2019-04-18,1962.3697
2019-04-22,1951.2955
2019-04-23,1938.8485
2019-04-24,1936.3126
2019-04-25,1930.595
2019-04-26,1928.7463
2019-04-30,1930.9208
2019-05-02,1936.5726
2019-05-03,1939.9058
2019-05-06,1935.0734
2019-05-07,1931.0223
2019-05-08,1921.5628
2019-05-09,1910.9408
2019-05-10,1904.991
2019-05-13,1903.7569
2019-05-14,1904.8693
2019-05-15,1902.4106
2019-05-16,1899.5149
2019-05-17,1906.7123
2019-05-20,1934.4579
2019-05-21,1956.5842
2019-05-22,1979.3736
2019-05-23,1993.5986
2019-05-24,2007.3415
2019-05-27,2025.5
2019-05-28,2038.1819
2019-05-29,2047.2317
2019-05-30,2061.5061
2019-05-31,2072.5751
2019-06-03,2089.6333
2019-06-04,2103.1303
2019-06-06,2107.6834
2019-06-07,2115.0957
2019-06-10,2118.9499
2019-06-11,2121.0157
2019-06-12,2121.4593
2019-06-13,2124.2449
2019-06-14,2123.9422
2019-06-17,2121.767
2019-06-18,2116.9458
2019-06-19,2117.2452
2019-06-20,2121.1065
2019-06-21,2114.0358
2019-06-24,2109.7272
2019-06-25,2110.4549
2019-06-26,2110.1042
2019-06-27,2114.5034
2019-06-28,2117.6784
2019-07-01,2129.9754
2019-07-02,2146.0137
2019-07-03,2158.7733
2019-07-04,2169.6286
2019-07-05,2178.0947
2019-07-08,2181.9092
2019-07-09,2180.0168
2019-07-10,2177.5314
2019-07-11,2181.519
2019-07-12,2183.9328
2019-07-15,2187.738
2019-07-16,2192.6815
2019-07-17,2198.3089
