time,SMA
2019-01-01,1902.8489
2019-01-02,1905.3586
2019-01-03,1901.2421
2019-01-04,1900.747
2019-01-07,1902.8392
2019-01-08,1908.4022
2019-01-09,1914.1156
2019-01-10,1917.2563
2019-01-11,1917.9893
2019-01-14,1917.9214
2019-01-15,1916.0962
2019-01-16,1915.6447
2019-01-17,1922.2902
2019-01-18,1925.8726
2019-01-21,1929.0085
2019-01-22,1931.2754
2019-01-23,1927.8143
2019-01-24,1926.8483
2019-01-25,1925.8726
2019-01-28,1923.863
2019-01-29,1916.8729
2019-01-30,1908.2468
2019-01-31,1900.4266
2019-02-01,1895.8588
2019-02-04,1893.4025
2019-02-05,1892.9559
2019-02-06,1895.8539
2019-02-07,1895.9995
2019-02-08,1892.7326
2019-02-11,1892.6744
2019-02-12,1891.3928
2019-02-14,1893.0918
2019-02-15,1884.7619
2019-02-18,1874.7185
2019-02-19,1862.4129
2019-02-20,1851.0928
2019-02-21,1843.428
2019-02-22,1837.7096
2019-02-25,1832.5496
2019-02-26,1827.4963
2019-02-27,1819.4188
2019-02-28,1813.652
2019-03-01,1812.1229
2019-03-05,1810.7637
2019-03-06,1814.0597
2019-03-07,1814.8898
2019-03-08,1814.1423
2019-03-11,1815.3316
2019-03-12,1818.9334
2019-03-13,1828.4138
2019-03-14,1839.6271
2019-03-15,1853.1016
2019-03-18,1863.5933
2019-03-19,1874.3527
2019-03-20,1884.596
2019-03-22,1895.1253
2019-03-25,1901.4683
2019-03-26,1906.5006
2019-03-27,1905.7181
2019-03-28,1905.6537
2019-04-01,1904.7978
2019-04-02,1907.5697
2019-04-03,1911.9366
2019-04-04,1917.1983
2019-04-05,1924.2107
2019-04-08,1934.7049
2019-04-09,1946.6046
2019-04-10,1957.0064
2019-04-11,1964.2133
2019-04-12,1969.9467
2019-04-15,1975.6218
2019-04-16,1979.0161
2019-04-18,1978.1554
2019-04-22,1969.7717
2019-04-23,1958.0471
2019-04-24,1950.8013
2019-04-25,1940.1563
2019-04-26,1935.0162
2019-04-30,1932.5117
2019-05-02,1931.6413
2019-05-03,1931.2911
2019-05-06,1925.441
2019-05-07,1921.823
2019-05-08,1919.5763
2019-05-09,1917.6068
2019-05-10,1912.9384
2019-05-13,1912.2721
2019-05-14,1911.2169
2019-05-15,1906.281
2019-05-16,1898.7288
2019-05-17,1897.1484
2019-05-20,1911.7469
2019-05-21,1926.0829
2019-05-22,1946.376
2019-05-23,1965.8229
2019-05-24,1984.9197
2019-05-27,2005.8207
2019-05-28,2024.3582
2019-05-29,2044.0191
2019-05-30,2067.9449
2019-05-31,2086.2733
2019-06-03,2096.9815
2019-06-04,2107.753
2019-06-06,2112.3776
2019-06-07,2121.4616
2019-06-10,2128.1725
2019-06-11,2130.4824
2019-06-12,2133.3029
2019-06-13,2138.1853
2019-06-14,2137.8692
2019-06-17,2136.8285
2019-06-18,2129.714
2019-06-19,2125.1866
2019-06-20,2126.2176
2019-06-21,2119.5942
2019-06-24,2114.9988
2019-06-25,2113.3405
2019-06-26,2111.8476
2019-06-27,2111.5996
2019-06-28,2112.5381
2019-07-01,2119.8714
2019-07-02,2132.165
2019-07-03,2141.9249
2019-07-04,2149.9245
2019-07-05,2163.3219
2019-07-08,2174.1955
