time,EMA
2019-01-01,1735.8919
2019-01-02,1730.9118
2019-01-03,1727.4205
2019-01-04,1723.3276
2019-01-07,1720.7538
2019-01-08,1716.1928
2019-01-09,1714.655
2019-01-10,1713.867
2019-01-11,1710.1664
2019-01-14,1706.2941
2019-01-15,1707.3309
2019-01-16,1705.106
2019-01-17,1699.8205
2019-01-18,1694.3816
2019-01-21,1690.7326
2019-01-22,1688.0256
2019-01-23,1688.562
2019-01-24,1687.7907
2019-01-25,1686.1584
2019-01-28,1682.6725
2019-01-29,1681.7096
2019-01-30,1677.1955
2019-01-31,1679.1003
2019-02-01,1686.5789
2019-02-04,1693.8993
2019-02-05,1703.0316
2019-02-06,1711.7832
2019-02-07,1720.3977
2019-02-08,1724.0504
2019-02-11,1724.9408
2019-02-12,1723.841
2019-02-14,1720.5864
2019-02-15,1716.4825
2019-02-18,1709.5116
2019-02-19,1701.4488
2019-02-20,1693.9552
2019-02-21,1691.3066
2019-02-22,1691.6121
2019-02-25,1692.3148
2019-02-26,1692.2976
2019-02-27,1686.8423
2019-02-28,1681.6126
2019-03-01,1677.9607
2019-03-05,1673.1009
2019-03-06,1664.9806
2019-03-07,1658.8504
2019-03-08,1653.4255
2019-03-11,1651.2942
2019-03-12,1653.0067
2019-03-13,1656.506
2019-03-14,1657.8368
2019-03-15,1652.1871
2019-03-18,1647.3556
2019-03-19,1643.7769
2019-03-20,1639.0381
2019-03-22,1633.3064
2019-03-25,1627.6504
2019-03-26,1624.886
2019-03-27,1621.9886
2019-03-28,1620.358
2019-04-01,1622.2728
2019-04-02,1620.9737
2019-04-03,1617.3598
2019-04-04,1613.7326
2019-04-05,1609.3197
2019-04-08,1606.6407
2019-04-09,1606.8256
2019-04-10,1609.2491
2019-04-11,1613.9745
2019-04-12,1620.1653
2019-04-15,1625.3872
2019-04-16,1632.5588
2019-04-18,1638.261
2019-04-22,1643.327
2019-04-23,1647.6547
2019-04-24,1653.2763
2019-04-25,1654.2889
2019-04-26,1657.1372
2019-04-30,1661.2437
2019-05-02,1660.0938
2019-05-03,1653.015
2019-05-06,1643.6625
2019-05-07,1639.9979
2019-05-08,1635.1887
2019-05-09,1633.7961
2019-05-10,1630.5063
2019-05-13,1630.3655
2019-05-14,1628.9705
2019-05-15,1623.7547
2019-05-16,1622.1251
2019-05-17,1629.4284
2019-05-20,1641.8116
2019-05-21,1653.8499
2019-05-22,1660.6784
2019-05-23,1663.6187
2019-05-24,1665.7196
2019-05-27,1670.8079
2019-05-28,1675.8329
2019-05-29,1680.7888
2019-05-30,1685.8274
2019-05-31,1690.1502
2019-06-03,1702.7153
2019-06-04,1709.3566
2019-06-06,1718.5515
2019-06-07,1725.0125
2019-06-10,1733.372
2019-06-11,1738.9057
2019-06-12,1743.9469
2019-06-13,1747.9148
2019-06-14,1747.8791
2019-06-17,1746.3611
2019-06-18,1743.5606
2019-06-19,1741.9746
2019-06-20,1741.9046
2019-06-21,1735.3933
2019-06-24,1729.1889
2019-06-25,1722.8235
2019-06-26,1718.4661
2019-06-27,1717.3125
2019-06-28,1718.5345
2019-07-01,1718.1664
2019-07-02,1719.4612
2019-07-03,1719.8717
