time,SMA
2019-01-01,1738.1701
2019-01-02,1732.7018
2019-01-03,1727.2765
2019-01-04,1722.1386
2019-01-07,1720.3285
2019-01-08,1719.0884
2019-01-09,1718.327
2019-01-10,1715.8993
2019-01-11,1710.9433
2019-01-14,1705.7192
2019-01-15,1704.2395
2019-01-16,1702.8988
2019-01-17,1699.3314
2019-01-18,1695.8311
2019-01-21,1692.3451
2019-01-22,1690.3627
2019-01-23,1688.6868
2019-01-24,1686.0867
2019-01-25,1684.6167
2019-01-28,1682.4284
2019-01-29,1678.9664
2019-01-30,1675.1452
2019-01-31,1676.3088
2019-02-01,1681.3414
2019-02-04,1686.5943
2019-02-05,1693.4225
2019-02-06,1699.4416
2019-02-07,1706.9258
2019-02-08,1713.0933
2019-02-11,1719.2895
2019-02-12,1723.441
2019-02-14,1731.9452
2019-02-15,1729.7234
2019-02-18,1724.8536
2019-02-19,1716.9575
2019-02-20,1707.8643
2019-02-21,1699.8869
2019-02-22,1695.1368
2019-02-25,1691.7897
2019-02-26,1689.1225
2019-02-27,1683.07
2019-02-28,1678.2002
2019-03-01,1674.5514
2019-03-05,1671.8604
2019-03-06,1668.1876
2019-03-07,1665.2907
2019-03-08,1660.2533
2019-03-11,1655.1249
2019-03-12,1651.6485
2019-03-13,1649.6518
2019-03-14,1649.805
2019-03-15,1646.6734
2019-03-18,1643.0821
2019-03-19,1640.7262
2019-03-20,1639.6536
2019-03-22,1637.2785
2019-03-25,1634.597
2019-03-26,1631.6713
2019-03-27,1626.4951
2019-03-28,1620.5718
2019-04-01,1616.9135
2019-04-02,1615.8648
2019-04-03,1613.2073
2019-04-04,1611.177
2019-04-05,1609.3718
2019-04-08,1608.6104
2019-04-09,1608.1316
2019-04-10,1609.252
2019-04-11,1611.4739
2019-04-12,1612.7236
2019-04-15,1615.7643
2019-04-16,1620.7346
2019-04-18,1627.017
2019-04-22,1633.8884
2019-04-23,1641.6551
2019-04-24,1650.054
2019-04-25,1655.1728
2019-04-26,1660.1527
2019-04-30,1664.6012
2019-05-02,1665.2907
2019-05-03,1662.5182
2019-05-06,1656.1927
2019-05-07,1652.1513
2019-05-08,1646.8936
2019-05-09,1642.9336
2019-05-10,1636.6465
2019-05-13,1633.7351
2019-05-14,1629.009
2019-05-15,1621.065
2019-05-16,1617.0523
2019-05-17,1621.1656
2019-05-20,1630.7615
2019-05-21,1639.2131
2019-05-22,1646.999
2019-05-23,1651.9311
2019-05-24,1657.8782
2019-05-27,1664.2755
2019-05-28,1671.8508
2019-05-29,1682.1315
2019-05-30,1691.5024
2019-05-31,1696.2333
2019-06-03,1702.4056
2019-06-04,1705.5276
2019-06-06,1712.3798
2019-06-07,1720.1035
2019-06-10,1729.6851
2019-06-11,1736.6953
2019-06-12,1743.514
2019-06-13,1749.782
2019-06-14,1753.7037
2019-06-17,1756.6964
2019-06-18,1753.8665
2019-06-19,1753.426
2019-06-20,1751.5921
2019-06-21,1746.7926
2019-06-24,1739.8206
2019-06-25,1732.8578
2019-06-26,1726.0803
2019-06-27,1720.7154
2019-06-28,1718.3469
2019-07-01,1716.0449
2019-07-02,1715.4778
2019-07-03,1714.166
2019-07-04,1712.8831
2019-07-05,1715.0727
2019-07-08,1714.0695
2019-07-09,1712.4345
2019-07-10,1708.253
2019-07-11,1703.8881
2019-07-12,1696.7501
2019-07-15,1690.6731
2019-07-16,1686.1587
2019-07-17,1683.8341
2019-07-18,1678.7747
2019-07-19,1672.3505
2019-07-22,1665.1594
2019-07-23,1660.7029
2019-07-24,1661.682
2019-07-25,1662.2897
2019-07-26,1663.9632
2019-07-29,1663.6305
2019-07-30,1661.4746
2019-07-31,1658.1129
2019-08-01,1657.2544
2019-08-02,1658.4843
2019-08-05,1664.4648
2019-08-06,1669.4518
2019-08-07,1674.3761
2019-08-08,1680.8582
2019-08-09,1691.3917
2019-08-13,1702.176
2019-08-14,1713.5534
2019-08-16,1723.2236
2019-08-19,1731.8905
2019-08-20,1741.8742
2019-08-21,1752.4028
2019-08-22,1764.687
2019-08-23,1772.4328
2019-08-26,1779.3345
2019-08-27,1781.4277
2019-08-28,1781.7074
2019-08-29,1781.0177
2019-08-30,1786.217
2019-09-03,1788.3391
2019-09-04,1788.9371
2019-09-05,1786.9549
2019-09-06,1781.7846
2019-09-09,1779.2815
2019-09-11,1774.3379
2019-09-12,1769.0422
2019-09-13,1766.8284
2019-09-16,1765.4201
2019-09-17,1760.6791
2019-09-18,1759.3769
2019-09-19,1755.967
2019-09-20,1769.5052
2019-09-23,1790.413
2019-09-24,1811.2725
2019-09-25,1832.8892
2019-09-26,1854.8002
2019-09-27,1874.5649
2019-09-30,1890.6544
2019-10-01,1905.9048
2019-10-03,1918.6762
2019-10-04,1931.3896
2019-10-07,1928.5103
2019-10-09,1920.0218
2019-10-10,1912.0976
2019-10-11,1907.9642
2019-10-14,1906.1218
2019-10-15,1911.2969
2019-10-16,1919.9157
2019-10-17,1930.9652
2019-10-18,1944.9133
2019-10-22,1962.6524
2019-10-23,1982.416
2019-10-24,2001.6016
2019-10-25,2019.5901
2019-10-29,2035.6969
2019-10-30,2051.6874
2019-10-31,2063.7172
2019-11-01,2075.218
2019-11-04,2081.6394
2019-11-05,2089.0898
2019-11-06,2095.2275
2019-11-07,2095.6299
2019-11-08,2090.8836
2019-11-11,2084.649
2019-11-13,2077.8908
2019-11-14,2068.2382
2019-11-15,2056.6513
2019-11-18,2044.7251
2019-11-19,2032.8958
2019-11-20,2018.7442
2019-11-21,2006.115
2019-11-22,1995.1001
2019-11-25,1992.6519
2019-11-26,1990.9696
2019-11-27,1991.1538
2019-11-28,1992.6955
2019-11-29,1990.6448
2019-12-02,1989.4327
2019-12-03,1988.6473
2019-12-04,1990.7805
2019-12-05,1989.4812
2019-12-06,1989.6073
2019-12-09,1984.6477
2019-12-10,1981.1377
2019-12-11,1973.0802
2019-12-12,1965.4105
2019-12-13,1962.4241
2019-12-16,1955.6077
2019-12-17,1949.3634
2019-12-18,1937.8298
2019-12-19,1929.462
2019-12-20,1921.8602
2019-12-23,1916.0619
2019-12-24,1908.4456
2019-12-26,1902.1916
2019-12-27,1896.7132
2019-12-30,1890.0714
2019-12-31,1885.1603
2020-01-01,1882.4744
2020-01-02,1883.3374
2020-01-03,1881.2818
2020-01-06,1878.2227
2020-01-07,1875.3235
2020-01-08,1873.6607
2020-01-09,1872.6232
2020-01-10,1872.9916
2020-01-13,1878.6251
2020-01-14,1886.9395
2020-01-15,1895.0552
2020-01-16,1905.6919
2020-01-17,1918.3405
2020-01-20,1932.6036
2020-01-21,1945.8679
2020-01-22,1957.6875
2020-01-23,1969.5265
2020-01-24,1981.094
2020-01-27,1987.5371
2020-01-28,1992.55
2020-01-29,1997.7036
2020-01-30,1998.7313
2020-01-31,1996.3025
2020-02-03,2007.5355
2020-02-04,2017.0425
2020-02-05,2027.6065
2020-02-06,2037.3657
2020-02-07,2045.7577
2020-02-10,2055.3278
2020-02-11,2064.258
2020-02-12,2082.3752
2020-02-13,2103.7843
2020-02-14,2125.1837
