time,EMA
2019-01-01,7278.8306
2019-01-02,7227.554
2019-01-03,7191.5162
2019-01-04,7181.7383
2019-01-07,7186.5146
2019-01-08,7198.2808
2019-01-09,7193.7981
2019-01-10,7178.4488
2019-01-11,7180.5033
2019-01-14,7172.8249
2019-01-15,7158.7196
2019-01-16,7152.2029
2019-01-17,7150.341
2019-01-18,7121.9052
2019-01-21,7075.2058
2019-01-22,7032.3882
2019-01-23,6996.5168
2019-01-24,6875.1545
2019-01-25,6774.4806
2019-01-28,6694.7158
2019-01-29,6630.3279
2019-01-30,6595.2706
2019-01-31,6624.5977
2019-02-01,6650.6234
2019-02-04,6694.5121
2019-02-05,6747.2148
2019-02-06,6806.7847
2019-02-07,6831.1364
2019-02-08,6857.9299
2019-02-11,6872.7971
2019-02-12,6863.5141
2019-02-14,6831.3834
2019-02-15,6797.9761
2019-02-18,6763.8177
2019-02-19,6743.4545
2019-02-20,6717.6286
2019-02-21,6717.6186
2019-02-22,6718.5023
2019-02-25,6714.784
2019-02-26,6722.143
2019-02-27,6706.4521
2019-02-28,6711.4409
2019-03-01,6747.5388
2019-03-05,6767.2637
2019-03-06,6778.4048
2019-03-07,6777.3132
2019-03-08,6797.1784
2019-03-11,6824.6541
2019-03-12,6835.1437
2019-03-13,6843.8586
2019-03-14,6851.916
2019-03-15,6826.4218
2019-03-18,6791.8241
2019-03-19,6736.7191
2019-03-20,6669.9477
2019-03-22,6609.2154
2019-03-25,6569.2997
2019-03-26,6526.6551
2019-03-27,6502.9688
2019-03-28,6498.776
2019-04-01,6554.5544
2019-04-02,6612.0428
2019-04-03,6666.1689
2019-04-04,6709.1206
2019-04-05,6746.5851
2019-04-08,6794.6321
2019-04-09,6827.895
2019-04-10,6854.2625
2019-04-11,6902.8279
2019-04-12,6943.3403
2019-04-15,6999.0551
2019-04-16,7040.5342
2019-04-18,7050.5171
2019-04-22,7012.2766
2019-04-23,6977.7573
2019-04-24,6928.0761
2019-04-25,6874.9251
2019-04-26,6800.8082
2019-04-30,6741.8712
2019-05-02,6701.1639
2019-05-03,6667.7256
2019-05-06,6638.3096
2019-05-07,6602.4545
2019-05-08,6571.9707
2019-05-09,6546.8528
2019-05-10,6508.8281
2019-05-13,6485.5311
2019-05-14,6451.5303
2019-05-15,6422.5637
2019-05-16,6439.2589
2019-05-17,6520.2265
2019-05-20,6545.7596
2019-05-21,6574.8265
2019-05-22,6603.6767
2019-05-23,6656.1276
2019-05-24,6693.1349
2019-05-27,6721.4182
2019-05-28,6715.5363
2019-05-29,6705.7262
2019-05-30,6698.5651
2019-05-31,6722.5412
2019-06-03,6745.16
2019-06-04,6752.0643
2019-06-06,6751.3029
2019-06-07,6752.8874
2019-06-10,6756.4618
2019-06-11,6737.4007
2019-06-12,6709.3909
2019-06-13,6678.2711
2019-06-14,6626.2854
2019-06-17,6558.2342
2019-06-18,6501.9025
2019-06-19,6491.8112
2019-06-20,6443.8657
2019-06-21,6413.5554
2019-06-24,6399.0955
2019-06-25,6379.4064
2019-06-26,6365.2573
2019-06-27,6361.7863
2019-06-28,6354.7523
2019-07-01,6357.6061
2019-07-02,6354.8551
2019-07-03,6354.6882
2019-07-04,6323.2507
2019-07-05,6238.9714
2019-07-08,6154.82
2019-07-09,6082.7195
2019-07-10,6040.8311
2019-07-11,5997.0934
2019-07-12,5980.3446
2019-07-15,5980.7242
2019-07-16,5965.9716
2019-07-17,5920.2782
2019-07-18,5862.6024
2019-07-19,5840.6833
2019-07-22,5816.2774
2019-07-23,5777.1047
2019-07-24,5743.9505
2019-07-25,5724.8063
2019-07-26,5665.4365
2019-07-29,5607.908
2019-07-30,5554.6233
2019-07-31,5529.0301
2019-08-01,5528.9811
2019-08-02,5524.7292
2019-08-05,5550.0701
2019-08-06,5561.4531
2019-08-07,5592.6461
2019-08-08,5653.2211
2019-08-09,5651.8799
2019-08-13,5665.5726
2019-08-14,5705.353
2019-08-16,5737.8648
2019-08-19,5804.538
2019-08-20,5863.422
2019-08-21,5908.7349
2019-08-22,5954.4396
2019-08-23,5991.5478
2019-08-26,6026.0542
2019-08-27,6021.7345
2019-08-28,6021.2172
2019-08-29,6022.5576
2019-08-30,6010.7892
2019-09-03,5961.7683
2019-09-04,5946.8265
2019-09-05,5973.1969
2019-09-06,6021.2102
2019-09-09,6107.9167
2019-09-11,6141.8745
2019-09-12,6180.0433
2019-09-13,6204.5578
2019-09-16,6174.184
2019-09-17,6142.6898
2019-09-18,6089.1234
2019-09-19,6161.1365
2019-09-20,6276.2708
2019-09-23,6390.2482
2019-09-24,6417.5832
2019-09-25,6479.0897
2019-09-26,6513.8444
2019-09-27,6532.2797
2019-09-30,6559.2614
2019-10-01,6575.6971
2019-10-03,6570.6928
2019-10-04,6563.3485
2019-10-07,6573.4635
2019-10-09,6561.8732
2019-10-10,6568.5053
2019-10-11,6595.3107
2019-10-14,6647.3506
2019-10-15,6687.986
2019-10-16,6747.42
2019-10-17,6830.9727
2019-10-18,6887.8833
2019-10-22,6967.6256
2019-10-23,7024.0776
2019-10-24,7084.3663
2019-10-25,7178.4126
2019-10-29,7225.869
2019-10-30,7265.2879
2019-10-31,7308.0593
2019-11-01,7308.4605
2019-11-04,7302.0293
2019-11-05,7283.5622
2019-11-06,7263.9673
2019-11-07,7232.6259
2019-11-08,7194.8519
2019-11-11,7167.9657
2019-11-13,7162.3336
2019-11-14,7139.802
2019-11-15,7112.8799
2019-11-18,7080.8972
2019-11-19,7072.653
2019-11-20,7043.5526
2019-11-21,7026.61
2019-11-22,7044.9421
2019-11-25,7040.236
2019-11-26,7066.7086
2019-11-27,7081.4923
2019-11-28,7092.0213
2019-11-29,7080.5638
2019-12-02,7071.9863
2019-12-03,7053.088
2019-12-04,7025.1008
2019-12-05,6979.9545
2019-12-06,6963.7692
2019-12-09,6944.9312
2019-12-10,6934.0931
2019-12-11,6926.3358
2019-12-12,6960.0257
2019-12-13,6972.1377
2019-12-16,6993.1131
2019-12-17,7018.2786
2019-12-18,7038.4747
2019-12-19,7058.4724
2019-12-20,7093.3038
2019-12-23,7115.6247
2019-12-24,7118.3721
2019-12-26,7140.155
2019-12-27,7169.6249
2019-12-30,7185.1957
2019-12-31,7188.0247
2020-01-01,7193.9116
2020-01-02,7185.1825
2020-01-03,7139.3197
2020-01-06,7107.8746
2020-01-07,7075.1456
2020-01-08,7083.1042
2020-01-09,7107.2886
2020-01-10,7131.6776
2020-01-13,7157.9707
2020-01-14,7196.3503
2020-01-15,7224.5557
2020-01-16,7258.3135
2020-01-17,7271.9493
2020-01-20,7257.4382
2020-01-21,7215.7079
2020-01-22,7182.4424
2020-01-23,7152.6736
2020-01-24,7131.3164
2020-01-27,7087.5571
2020-01-28,7054.4308
2020-01-29,7028.6794
2020-01-30,6988.3168
2020-01-31,6972.7866
2020-02-03,6994.226
2020-02-04,6982.7155
2020-02-05,6970.621
2020-02-06,6951.0564
2020-02-07,6921.2081
2020-02-10,6922.3021
2020-02-11,6924.7192
2020-02-12,6919.2213
2020-02-13,6899.1451
2020-02-14,6881.0003
2020-02-17,6842.4743
2020-02-18,6808.1688
2020-02-19,6779.7784
2020-02-20,6705.2593
2020-02-24,6634.2979
2020-02-25,6544.9396
2020-02-26,6480.4766
2020-02-27,6427.394
2020-02-28,6384.115
2020-03-02,6367.2908
2020-03-03,6352.7646
2020-03-04,6337.3074
2020-03-05,6336.4514
2020-03-06,6293.7894
2020-03-09,6249.1165
2020-03-11,6122.9039
2020-03-12,6055.4502
2020-03-13,5937.072
2020-03-16,5861.0234
2020-03-17,5753.9216
2020-03-18,5571.8856
2020-03-19,5467.8991
2020-03-20,5228.0703
2020-03-23,5080.6842
2020-03-24,5058.3255
2020-03-25,5012.5112
2020-03-26,4932.9934
2020-03-27,4813.402
2020-03-30,4705.984
2020-03-31,4610.1912
2020-04-01,4490.2833
2020-04-03,4488.4998
2020-04-07,4513.4782
2020-04-08,4644.6252
2020-04-09,4746.099
2020-04-13,4795.5322
2020-04-15,4842.1281
2020-04-16,4947.8098
2020-04-17,5001.4288
2020-04-20,4987.455
2020-04-21,5008.2787
2020-04-22,5021.7352
2020-04-23,5012.1179
2020-04-24,5006.2545
2020-04-27,5000.8037
2020-04-28,4999.1283
2020-04-29,5049.988
2020-04-30,5007.5965
2020-05-04,4962.2856
2020-05-05,4926.6635
2020-05-06,4881.3135
2020-05-07,4827.7537
2020-05-08,4833.074
2020-05-11,4840.6857
2020-05-12,4862.1511
2020-05-13,4893.0444
2020-05-14,4916.7003
2020-05-15,4868.4974
2020-05-18,4844.8604
2020-05-19,4839.9439
2020-05-20,4864.3195
2020-05-21,4899.1338
2020-05-22,4947.8426
2020-05-26,4986.7462
2020-05-27,5059.5981
2020-05-28,5144.5316
2020-05-29,5245.6797
2020-06-01,5310.3795
2020-06-02,5351.8114
2020-06-03,5398.1724
2020-06-04,5445.7553
2020-06-05,5482.5829
2020-06-08,5500.3865
2020-06-09,5514.4518
2020-06-10,5483.6041
2020-06-11,5481.2126
2020-06-12,5465.2985
2020-06-15,5456.0381
2020-06-16,5489.1965
2020-06-17,5514.7952
2020-06-18,5568.3994
2020-06-19,5611.9798
2020-06-22,5645.5236
2020-06-23,5649.002
2020-06-24,5653.3788
2020-06-25,5656.0825
2020-06-26,5645.0803
2020-06-29,5664.2261
2020-06-30,5672.7017
2020-07-01,5706.4051
2020-07-02,5731.2411
2020-07-03,5785.9401
2020-07-06,5848.7069
2020-07-07,5867.4286
2020-07-08,5875.6289
2020-07-09,5874.1375
2020-07-10,5879.1305
2020-07-13,5843.6265
2020-07-14,5819.5555
2020-07-15,5813.4961
2020-07-16,5816.1572
2020-07-17,5809.2475
2020-07-20,5851.1512
2020-07-21,5862.7855
2020-07-22,5882.5734
2020-07-23,5887.4561
2020-07-24,5898.8281
2020-07-27,5952.0906
2020-07-28,5977.4591
2020-07-29,6012.5486
2020-07-30,6040.327
2020-07-31,6046.0893
2020-08-03,6085.7198
2020-08-04,6147.8948
2020-08-05,6204.4861
2020-08-06,6272.4091
2020-08-07,6315.0009
2020-08-10,6357.1631
2020-08-11,6406.539
2020-08-12,6457.66
2020-08-13,6473.6601
2020-08-14,6519.7768
2020-08-17,6579.6041
