time,EMA
2019-01-01,1834.7862
2019-01-02,1835.5124
2019-01-03,1831.465
2019-01-04,1824.242
2019-01-07,1822.2785
2019-01-08,1820.0462
2019-01-09,1817.307
2019-01-10,1815.1268
2019-01-11,1805.3115
2019-01-14,1792.4914
2019-01-15,1790.6596
2019-01-16,1790.1865
2019-01-17,1794.8516
2019-01-18,1799.5918
2019-01-21,1804.411
2019-01-22,1807.4045
2019-01-23,1806.2649
2019-01-24,1809.1652
2019-01-25,1814.5521
2019-01-28,1824.6912
2019-01-29,1838.4223
2019-01-30,1848.7335
2019-01-31,1863.5723
2019-02-01,1878.5268
2019-02-04,1893.6193
2019-02-05,1905.48
2019-02-06,1921.0203
2019-02-07,1934.0923
2019-02-08,1941.7998
2019-02-11,1948.5937
2019-02-12,1951.5565
2019-02-14,1957.4774
2019-02-15,1955.3843
2019-02-18,1943.367
2019-02-19,1921.8797
2019-02-20,1905.9716
2019-02-21,1892.5727
2019-02-22,1883.988
2019-02-25,1887.2601
2019-02-26,1898.1864
2019-02-27,1910.8543
2019-02-28,1909.111
2019-03-01,1908.9739
2019-03-05,1908.1997
2019-03-06,1909.5784
2019-03-07,1912.8145
2019-03-08,1917.3437
2019-03-11,1919.6208
2019-03-12,1921.2139
2019-03-13,1920.5313
2019-03-14,1917.7864
2019-03-15,1924.53
2019-03-18,1926.7549
2019-03-19,1929.1676
2019-03-20,1929.5388
2019-03-22,1927.9524
2019-03-25,1923.562
2019-03-26,1919.0814
2019-03-27,1913.0462
2019-03-28,1913.7267
2019-04-01,1920.1063
2019-04-02,1933.2748
2019-04-03,1944.1797
2019-04-04,1941.6124
2019-04-05,1945.9839
2019-04-08,1952.7488
2019-04-09,1961.4805
2019-04-10,1960.9069
2019-04-11,1956.1258
2019-04-12,1951.2907
2019-04-15,1964.1115
2019-04-16,1978.5037
2019-04-18,1992.5526
2019-04-22,2007.3311
2019-04-23,2018.2641
2019-04-24,2032.0437
2019-04-25,2044.4067
2019-04-26,2062.6404
2019-04-30,2080.4594
2019-05-02,2087.9743
2019-05-03,2079.8547
2019-05-06,2077.0789
2019-05-07,2074.05
2019-05-08,2071.9724
2019-05-09,2073.0688
2019-05-10,2068.1906
2019-05-13,2063.4241
2019-05-14,2053.1219
2019-05-15,2044.7189
2019-05-16,2040.4482
2019-05-17,2034.6719
2019-05-20,2037.4283
2019-05-21,2034.4396
2019-05-22,2027.3864
2019-05-23,2016.5634
2019-05-24,2006.9939
2019-05-27,1999.8873
2019-05-28,1997.7662
2019-05-29,2001.3007
2019-05-30,2011.1873
2019-05-31,2028.2396
2019-06-03,2049.7698
2019-06-04,2060.378
2019-06-06,2066.4143
2019-06-07,2073.3815
2019-06-10,2088.2409
2019-06-11,2104.2184
2019-06-12,2118.2744
2019-06-13,2128.3346
2019-06-14,2136.9257
2019-06-17,2142.7781
2019-06-18,2148.6378
2019-06-19,2154.8722
2019-06-20,2163.3275
2019-06-21,2165.1436
2019-06-24,2171.0289
2019-06-25,2174.3952
2019-06-26,2174.8575
2019-06-27,2175.0514
2019-06-28,2170.7492
2019-07-01,2169.4157
2019-07-02,2170.6165
2019-07-03,2168.8681
2019-07-04,2168.3859
2019-07-05,2153.7746
2019-07-08,2144.3576
2019-07-09,2128.8111
2019-07-10,2111.9202
2019-07-11,2097.0026
2019-07-12,2085.939
2019-07-15,2083.4289
2019-07-16,2075.2316
2019-07-17,2070.6107
2019-07-18,2057.7554
2019-07-19,2049.2353
2019-07-22,2048.0296
2019-07-23,2047.4127
2019-07-24,2044.2499
2019-07-25,2047.2248
2019-07-26,2046.2262
2019-07-29,2049.0531
2019-07-30,2060.0797
2019-07-31,2073.7489
2019-08-01,2080.4438
2019-08-02,2090.5248
2019-08-05,2106.2545
2019-08-06,2113.2974
2019-08-07,2118.8045
2019-08-08,2131.2055
2019-08-09,2139.0194
2019-08-13,2137.4205
2019-08-14,2136.8957
2019-08-16,2129.2224
2019-08-19,2122.9531
2019-08-20,2121.9781
2019-08-21,2120.9515
2019-08-22,2125.2254
2019-08-23,2134.4698
2019-08-26,2146.8832
2019-08-27,2150.3326
2019-08-28,2153.6214
2019-08-29,2155.1944
2019-08-30,2160.8382
2019-09-03,2164.4349
2019-09-04,2166.2951
2019-09-05,2162.4831
2019-09-06,2156.1692
2019-09-09,2148.4771
2019-09-11,2137.017
2019-09-12,2124.1022
