time,SMA
2019-01-01,1837.1739
2019-01-02,1831.0021
2019-01-03,1824.2374
2019-01-04,1816.3589
2019-01-07,1816.3016
2019-01-08,1814.1503
2019-01-09,1813.9877
2019-01-10,1811.9512
2019-01-11,1806.8024
2019-01-14,1799.2347
2019-01-15,1795.587
2019-01-16,1790.5147
2019-01-17,1790.7741
2019-01-18,1793.6925
2019-01-21,1794.958
2019-01-22,1796.0454
2019-01-23,1795.661
2019-01-24,1797.3511
2019-01-25,1805.1161
2019-01-28,1818.6677
2019-01-29,1830.4473
2019-01-30,1841.155
2019-01-31,1852.6052
2019-02-01,1865.0951
2019-02-04,1878.6389
2019-02-05,1892.4367
2019-02-06,1911.4182
2019-02-07,1928.4882
2019-02-08,1942.2572
2019-02-11,1953.1421
2019-02-12,1959.6098
2019-02-14,1971.1846
2019-02-15,1971.199
2019-02-18,1963.9743
2019-02-19,1950.6077
2019-02-20,1934.9511
2019-02-21,1918.8872
2019-02-22,1905.7746
2019-02-25,1898.0564
2019-02-26,1896.303
2019-02-27,1894.8801
2019-02-28,1889.0927
2019-03-01,1885.3318
2019-03-05,1886.8745
2019-03-06,1895.9341
2019-03-07,1905.2332
2019-03-08,1915.7779
2019-03-11,1924.2291
2019-03-12,1926.8689
2019-03-13,1923.8793
2019-03-14,1917.6368
2019-03-15,1922.9978
2019-03-18,1925.8388
2019-03-19,1929.3697
2019-03-20,1930.9124
2019-03-22,1930.256
2019-03-25,1926.8641
2019-03-26,1923.7692
2019-03-27,1919.5196
2019-03-28,1919.4526
2019-04-01,1919.7304
2019-04-02,1925.307
2019-04-03,1930.6297
2019-04-04,1930.5147
2019-04-05,1934.999
2019-04-08,1942.9375
2019-04-09,1953.123
2019-04-10,1960.3668
2019-04-11,1962.149
2019-04-12,1963.4282
2019-04-15,1970.9738
2019-04-16,1976.0474
2019-04-18,1982.2995
2019-04-22,1996.677
2019-04-23,2006.8576
2019-04-24,2017.9438
2019-04-25,2027.8705
2019-04-26,2046.5071
2019-04-30,2069.1105
2019-05-02,2088.3364
2019-05-03,2090.4875
2019-05-06,2092.6194
2019-05-07,2093.0841
2019-05-08,2091.9631
2019-05-09,2093.0171
2019-05-10,2088.2358
2019-05-13,2082.4292
2019-05-14,2068.6362
2019-05-15,2053.2622
2019-05-16,2043.2061
2019-05-17,2039.7423
2019-05-20,2038.2667
2019-05-21,2034.3238
2019-05-22,2027.6262
2019-05-23,2016.6119
2019-05-24,2008.3811
2019-05-27,2000.9744
2019-05-28,1999.1203
2019-05-29,2000.1504
2019-05-30,2003.595
2019-05-31,2013.2247
2019-06-03,2022.9071
2019-06-04,2031.6195
2019-06-06,2041.4126
2019-06-07,2055.1
2019-06-10,2074.2177
2019-06-11,2095.0386
2019-06-12,2114.3692
2019-06-13,2130.0091
2019-06-14,2142.0
2019-06-17,2148.4139
2019-06-18,2151.249
2019-06-19,2158.7302
2019-06-20,2169.5101
2019-06-21,2176.3682
2019-06-24,2180.6087
2019-06-25,2181.9514
2019-06-26,2181.4925
2019-06-27,2181.7244
2019-06-28,2179.3047
2019-07-01,2178.7348
2019-07-02,2178.8362
2019-07-03,2176.6435
2019-07-04,2173.1275
2019-07-05,2164.5982
2019-07-08,2155.0451
2019-07-09,2141.9759
2019-07-10,2127.8732
2019-07-11,2113.2682
2019-07-12,2101.7446
2019-07-15,2092.6164
2019-07-16,2078.8487
2019-07-17,2067.7304
2019-07-18,2051.0994
2019-07-19,2043.3866
2019-07-22,2037.4488
2019-07-23,2036.0273
2019-07-24,2035.438
2019-07-25,2038.5118
2019-07-26,2039.0698
2019-07-29,2038.0338
2019-07-30,2045.1694
2019-07-31,2053.7137
2019-08-01,2064.7802
2019-08-02,2077.2796
2019-08-05,2090.723
2019-08-06,2100.7584
2019-08-07,2112.1154
2019-08-08,2124.7552
2019-08-09,2138.0001
2019-08-13,2144.8452
2019-08-14,2147.3287
2019-08-16,2143.2719
2019-08-19,2141.6889
2019-08-20,2139.859
2019-08-21,2133.7884
2019-08-22,2133.7352
2019-08-23,2136.9835
2019-08-26,2138.5568
2019-08-27,2137.7242
2019-08-28,2141.5437
2019-08-29,2144.3176
2019-08-30,2153.4719
2019-09-03,2162.0598
2019-09-04,2167.7673
2019-09-05,2170.667
2019-09-06,2168.9969
2019-09-09,2162.7762
2019-09-11,2151.0465
2019-09-12,2141.0596
2019-09-13,2131.5422
2019-09-16,2123.3948
2019-09-17,2110.1596
2019-09-18,2099.1222
2019-09-19,2085.185
2019-09-20,2070.6427
2019-09-23,2052.9343
2019-09-24,2039.4764
2019-09-25,2033.0718
2019-09-26,2028.5987
2019-09-27,2020.403
2019-09-30,2015.5668
2019-10-01,2009.5979
2019-10-03,2001.9104
2019-10-04,1999.6352
2019-10-07,1998.4007
2019-10-09,1998.9719
2019-10-10,1995.1088
2019-10-11,1985.3542
2019-10-14,1978.8964
2019-10-15,1977.0278
2019-10-16,1971.8624
2019-10-17,1969.5364
2019-10-18,1969.8791
2019-10-22,1967.7517
2019-10-23,1970.4127
2019-10-24,1976.8658
2019-10-25,1989.0512
2019-10-29,2009.8026
2019-10-30,2032.8671
2019-10-31,2055.9452
2019-11-01,2071.5907
2019-11-04,2087.4207
2019-11-05,2101.4212
2019-11-06,2114.6937
2019-11-07,2125.3942
2019-11-08,2130.0287
2019-11-11,2127.5683
2019-11-13,2125.8746
2019-11-14,2120.2405
2019-11-15,2110.9813
2019-11-18,2106.0993
2019-11-19,2097.8009
2019-11-20,2088.7164
2019-11-21,2081.7914
2019-11-22,2070.6347
2019-11-25,2065.8061
2019-11-26,2060.6815
2019-11-27,2048.5397
2019-11-28,2037.0628
2019-11-29,2025.2121
2019-12-02,2012.5171
2019-12-03,2006.8975
2019-12-04,2004.0829
