time,EMA
2021-12-10,2811.6785
2021-12-09,2812.0626
2021-12-08,2805.4432
2021-12-07,2794.9861
2021-12-06,2789.6608
2021-12-03,2794.5521
2021-12-02,2799.7859
2021-12-01,2797.7050
2021-11-30,2818.6838
2021-11-29,2850.3025
2021-11-26,2880.7475
2021-11-25,2911.5580
2021-11-24,2920.5820
2021-11-23,2929.4780
2021-11-22,2934.2620
2021-11-18,2943.0202
2021-11-17,2947.0580
2021-11-16,2947.1042
2021-11-15,2940.8718
2021-11-12,2927.5878
2021-11-11,2912.6073
2021-11-10,2913.6312
2021-11-09,2906.3048
2021-11-08,2898.7058
2021-11-04,2880.9960
2021-11-03,2876.7841
2021-11-02,2872.1361
2021-11-01,2865.9885
2021-10-29,2860.9637
2021-10-28,2864.7779
2021-10-27,2856.8396
2021-10-26,2843.7040
2021-10-25,2828.6271
2021-10-22,2813.5998
2021-10-21,2793.7887
2021-10-20,2782.8751
2021-10-19,2780.0806
2021-10-18,2770.8208
2021-10-14,2762.0032
2021-10-13,2751.6372
2021-10-12,2748.7455
2021-10-11,2747.2557
2021-10-08,2746.8680
2021-10-07,2752.8276
2021-10-06,2758.1782
2021-10-05,2760.4067
2021-10-04,2764.7415
2021-10-01,2773.5730
2021-09-30,2787.2003
2021-09-29,2794.4448
2021-09-28,2805.0103
2021-09-27,2805.1904
2021-09-24,2797.2104
2021-09-23,2788.0461
2021-09-22,2781.4007
2021-09-21,2792.1454
2021-09-20,2796.2777
2021-09-17,2808.0393
2021-09-16,2804.2036
2021-09-15,2802.3377
2021-09-14,2799.4684
2021-09-13,2795.5058
2021-09-09,2783.9182
2021-09-08,2773.8778
2021-09-07,2761.8284
2021-09-06,2745.3347
2021-09-03,2740.9313
2021-09-02,2737.1271
2021-09-01,2728.2998
2021-08-31,2724.3997
2021-08-30,2707.8108
2021-08-27,2697.3465
2021-08-26,2692.7013
2021-08-25,2691.1349
2021-08-24,2689.3982
2021-08-23,2688.7978
2021-08-20,2681.5306
2021-08-18,2672.4041
2021-08-17,2663.8272
2021-08-16,2647.0999
2021-08-13,2628.7221
2021-08-12,2612.1826
2021-08-11,2599.6121
2021-08-10,2586.6259
2021-08-09,2567.8983
2021-08-06,2555.7757
2021-08-05,2539.2814
2021-08-04,2512.2773
2021-08-03,2475.9500
2021-08-02,2458.6166
2021-07-30,2457.7981
2021-07-29,2460.8866
2021-07-28,2471.3392
2021-07-27,2481.1590
2021-07-26,2491.4721
2021-07-23,2497.5437
2021-07-22,2500.5312
2021-07-20,2502.7826
2021-07-19,2512.6009
2021-07-16,2519.3233
2021-07-15,2515.4063
2021-07-14,2510.0299
2021-07-13,2504.8476
2021-07-12,2496.1026
2021-07-09,2500.0921
2021-07-08,2500.8348
2021-07-07,2498.3647
2021-07-06,2491.7013
2021-07-05,2491.3460
2021-07-02,2490.5785
2021-07-01,2494.0181
2021-06-30,2501.5444
2021-06-29,2507.6098
2021-06-28,2509.2676
2021-06-25,2512.4604
2021-06-24,2513.5405
2021-06-23,2519.3717
2021-06-22,2524.1432
2021-06-21,2524.6750
2021-06-18,2526.5362
2021-06-17,2535.1776
2021-06-16,2545.8837
2021-06-15,2551.2912
2021-06-14,2552.8226
2021-06-11,2555.8276
2021-06-10,2555.1893
2021-06-09,2553.9424
2021-06-08,2556.0185
2021-06-07,2556.4004
2021-06-04,2550.1116
2021-06-03,2534.7030
2021-06-02,2524.0037
2021-06-01,2515.7267
2021-05-31,2501.5882
2021-05-28,2490.0412
2021-05-27,2483.8392
2021-05-26,2483.7352
2021-05-25,2470.1752
2021-05-24,2462.2121
2021-05-21,2449.9360
2021-05-20,2440.3820
2021-05-19,2444.2629
2021-05-18,2445.8572
2021-05-17,2438.4248
2021-05-14,2432.8751
2021-05-12,2440.2077
2021-05-11,2445.4482
2021-05-10,2446.4911
2021-05-07,2432.8135
2021-05-06,2423.7377
2021-05-05,2427.1129
2021-05-04,2442.7552
2021-05-03,2462.0937
2021-04-30,2476.5359
2021-04-29,2493.9342
2021-04-28,2490.7664
2021-04-27,2476.9191
2021-04-26,2472.9210
2021-04-23,2469.9503
2021-04-22,2468.8959
2021-04-20,2471.5710
2021-04-19,2489.0222
2021-04-16,2492.9877
2021-04-15,2480.2617
2021-04-13,2470.5542
2021-04-12,2466.3419
2021-04-09,2481.3647
2021-04-08,2479.1143
2021-04-07,2479.0173
2021-04-06,2483.3910
2021-04-05,2490.7186
2021-04-01,2505.5762
2021-03-31,2505.0286
2021-03-30,2511.4060
2021-03-26,2495.9354
2021-03-25,2493.0361
2021-03-24,2502.5842
2021-03-23,2515.5863
2021-03-22,2522.0307
2021-03-19,2524.3578
2021-03-18,2527.7196
2021-03-17,2535.2638
2021-03-16,2545.0790
2021-03-15,2557.7580
2021-03-12,2567.8815
2021-03-10,2573.0537
2021-03-09,2572.3506
2021-03-08,2576.4569
2021-03-05,2596.2850
2021-03-04,2613.1863
2021-03-03,2625.0460
2021-03-02,2624.2145
2021-03-01,2642.5548
2021-02-26,2655.6338
2021-02-25,2686.6486
2021-02-24,2692.6361
2021-02-23,2695.0654
2021-02-22,2715.7174
2021-02-19,2735.1453
2021-02-18,2740.5799
2021-02-17,2745.1743
2021-02-16,2737.6541
2021-02-15,2716.9787
2021-02-12,2690.8610
2021-02-11,2674.3651
2021-02-10,2661.1841
2021-02-09,2642.4646
2021-02-08,2624.6940
2021-02-05,2605.5619
2021-02-04,2585.3272
2021-02-03,2563.5467
2021-02-02,2537.8069
2021-02-01,2516.5210
2021-01-29,2507.0427
2021-01-28,2540.5572
2021-01-27,2570.9493
2021-01-25,2599.0886
2021-01-22,2614.7742
2021-01-21,2625.6435
2021-01-20,2622.7537
2021-01-19,2613.4963
2021-01-18,2609.6358
2021-01-15,2624.4060
2021-01-14,2628.0238
2021-01-13,2620.9174
2021-01-12,2615.3258
2021-01-11,2591.8107
2021-01-08,2561.8258
2021-01-07,2546.8132
2021-01-06,2526.6589
2021-01-05,2507.5860
2021-01-04,2481.0157
2021-01-01,2464.3520
2020-12-31,2446.1213
2020-12-30,2426.2727
2020-12-29,2411.1850
2020-12-28,2391.9297
2020-12-24,2378.8555
2020-12-23,2367.0379
2020-12-22,2364.3864
