time,SMA
2021-12-10,2776.4050
2021-12-09,2769.6200
2021-12-08,2772.5300
2021-12-07,2775.3350
2021-12-06,2784.2350
2021-12-03,2796.9550
2021-12-02,2812.3400
2021-12-01,2826.1100
2021-11-30,2853.2950
2021-11-29,2885.7200
2021-11-26,2913.8900
2021-11-25,2930.4800
2021-11-24,2938.0450
2021-11-23,2944.0400
2021-11-22,2951.0850
2021-11-18,2951.5950
2021-11-17,2948.8800
2021-11-16,2944.1750
2021-11-15,2935.5200
2021-11-12,2919.8350
2021-11-11,2910.3850
2021-11-10,2911.1800
2021-11-09,2907.6750
2021-11-08,2903.2500
2021-11-04,2895.6850
2021-11-03,2889.9800
2021-11-02,2879.7550
2021-11-01,2871.9500
2021-10-29,2864.1400
2021-10-28,2860.6250
2021-10-27,2847.0400
2021-10-26,2830.9900
2021-10-25,2814.7350
2021-10-22,2797.1150
2021-10-21,2779.7150
2021-10-20,2770.2400
2021-10-19,2764.7850
2021-10-18,2755.1100
2021-10-14,2745.2850
2021-10-13,2739.8800
2021-10-12,2738.1050
2021-10-11,2742.9800
2021-10-08,2752.1900
2021-10-07,2764.0300
2021-10-06,2772.9500
2021-10-05,2771.4400
2021-10-04,2774.7050
2021-10-01,2776.5400
2021-09-30,2787.8450
2021-09-29,2793.6450
2021-09-28,2800.4800
2021-09-27,2801.7900
2021-09-24,2802.4450
2021-09-23,2801.5100
2021-09-22,2802.5250
2021-09-21,2812.8250
2021-09-20,2811.9850
2021-09-17,2813.4550
2021-09-16,2808.6100
2021-09-15,2801.9350
2021-09-14,2800.3150
2021-09-13,2794.0750
2021-09-09,2781.1350
2021-09-08,2768.2000
2021-09-07,2755.2850
2021-09-06,2740.8900
2021-09-03,2736.5250
2021-09-02,2732.9800
2021-09-01,2726.3950
2021-08-31,2725.7200
2021-08-30,2718.7950
2021-08-27,2713.6200
2021-08-26,2708.6700
2021-08-25,2704.5000
2021-08-24,2701.6950
2021-08-23,2694.7300
2021-08-20,2685.5800
2021-08-18,2679.4000
2021-08-17,2675.8750
2021-08-16,2657.3600
2021-08-13,2630.6100
2021-08-12,2604.6850
2021-08-11,2579.1950
2021-08-10,2556.1050
2021-08-09,2532.4900
2021-08-06,2516.6600
2021-08-05,2502.0700
2021-08-04,2485.0300
2021-08-03,2463.3150
2021-08-02,2456.1550
2021-07-30,2463.6200
2021-07-29,2473.1900
2021-07-28,2485.1400
2021-07-27,2496.8450
2021-07-26,2501.1850
2021-07-23,2504.4450
2021-07-22,2507.2300
2021-07-20,2511.0250
2021-07-19,2514.4950
2021-07-16,2515.7400
2021-07-15,2509.5550
2021-07-14,2501.6100
2021-07-13,2495.7000
2021-07-12,2491.2950
2021-07-09,2492.9700
2021-07-08,2494.0550
2021-07-07,2491.5900
2021-07-06,2488.5450
2021-07-05,2491.3900
2021-07-02,2493.5400
2021-07-01,2494.7950
