time,EMA
2021-12-10,2341.5858
2021-12-09,2343.5160
2021-12-08,2344.1862
2021-12-07,2344.7943
2021-12-06,2349.7153
2021-12-03,2359.0742
2021-12-02,2362.6240
2021-12-01,2358.2071
2021-11-30,2361.1087
2021-11-29,2370.5884
2021-11-26,2379.8081
2021-11-25,2389.8210
2021-11-24,2398.7034
2021-11-23,2403.6486
2021-11-22,2405.5927
2021-11-18,2409.1911
2021-11-17,2411.7558
2021-11-16,2415.6571
2021-11-15,2417.7032
2021-11-12,2416.2261
2021-11-11,2418.2763
2021-11-10,2427.6821
2021-11-09,2433.5560
2021-11-08,2434.0684
2021-11-04,2434.4947
2021-11-03,2436.9047
2021-11-02,2442.6390
2021-11-01,2448.2366
2021-10-29,2457.3225
2021-10-28,2471.4052
2021-10-27,2489.4953
2021-10-26,2510.0498
2021-10-25,2526.4720
2021-10-22,2545.5325
2021-10-21,2568.9721
2021-10-20,2599.6526
2021-10-19,2629.7409
2021-10-18,2651.7064
2021-10-14,2654.7661
2021-10-13,2659.6874
2021-10-12,2666.1330
2021-10-11,2667.7935
2021-10-08,2676.3055
2021-10-07,2687.8906
2021-10-06,2695.2255
2021-10-05,2701.1424
2021-10-04,2703.1286
2021-10-01,2710.4594
2021-09-30,2715.8965
2021-09-29,2722.9946
2021-09-28,2735.2039
2021-09-27,2741.4133
2021-09-24,2751.8848
2021-09-23,2757.8586
2021-09-22,2756.3032
2021-09-21,2753.7507
2021-09-20,2744.6123
2021-09-17,2736.4911
2021-09-16,2743.6160
2021-09-15,2742.1644
2021-09-14,2738.5129
2021-09-13,2736.8549
2021-09-09,2730.0026
2021-09-08,2716.3157
2021-09-07,2701.8070
2021-09-06,2689.1319
2021-09-03,2672.8119
2021-09-02,2655.8138
2021-09-01,2627.7167
2021-08-31,2608.4718
2021-08-30,2586.6621
2021-08-27,2567.9458
2021-08-26,2547.1134
2021-08-25,2524.1693
2021-08-24,2500.9415
2021-08-23,2474.0428
2021-08-20,2442.0389
2021-08-18,2406.5895
2021-08-17,2392.7368
2021-08-16,2376.8991
2021-08-13,2368.7948
2021-08-12,2364.2899
2021-08-11,2360.9703
2021-08-10,2357.7745
2021-08-09,2355.7348
2021-08-06,2352.7669
2021-08-05,2351.9114
2021-08-04,2353.5824
2021-08-03,2351.6160
2021-08-02,2346.9377
2021-07-30,2353.3454
2021-07-29,2360.8014
2021-07-28,2369.9585
2021-07-27,2375.0658
2021-07-26,2385.4271
2021-07-23,2396.7657
2021-07-22,2408.3049
2021-07-20,2418.1237
2021-07-19,2417.9216
2021-07-16,2422.8538
2021-07-15,2427.9656
2021-07-14,2434.6771
2021-07-13,2442.1953
2021-07-12,2447.0112
2021-07-09,2450.8211
2021-07-08,2454.4175
2021-07-07,2459.3763
2021-07-06,2458.1485
2021-07-05,2458.1829
2021-07-02,2452.6371
2021-07-01,2448.0455
2021-06-30,2445.0286
2021-06-29,2442.9205
2021-06-28,2435.0542
2021-06-25,2432.8498
2021-06-24,2432.5520
2021-06-23,2423.1878
2021-06-22,2414.0396
2021-06-21,2400.6277
2021-06-18,2378.3825
2021-06-17,2359.0015
2021-06-16,2349.4159
2021-06-15,2339.4118
2021-06-14,2331.1601
2021-06-11,2326.8834
2021-06-10,2325.0357
2021-06-09,2319.7184
2021-06-08,2318.5260
2021-06-07,2317.5071
2021-06-04,2319.5182
2021-06-03,2321.4937
2021-06-02,2319.4679
2021-06-01,2317.7045
2021-05-31,2315.5931
2021-05-28,2316.7622
2021-05-27,2322.2587
2021-05-26,2327.9241
2021-05-25,2329.2898
2021-05-24,2332.8886
2021-05-21,2338.9865
2021-05-20,2341.1111
2021-05-19,2347.3478
2021-05-18,2351.4621
2021-05-17,2353.4645
2021-05-14,2355.4515
2021-05-12,2357.7045
2021-05-11,2370.9288
2021-05-10,2370.8982
2021-05-07,2364.3591
2021-05-06,2360.6538
2021-05-05,2361.3768
2021-05-04,2360.9777
2021-05-03,2357.4748
2021-04-30,2353.4786
2021-04-29,2360.3257
2021-04-28,2356.5902
2021-04-27,2352.4741
2021-04-26,2353.0569
2021-04-23,2358.3630
2021-04-22,2376.3385
2021-04-20,2389.1537
2021-04-19,2395.3109
2021-04-16,2395.5784
2021-04-15,2389.2391
2021-04-13,2381.4145
2021-04-12,2372.1142
2021-04-09,2359.7055
2021-04-08,2341.1625
2021-04-07,2333.0369
2021-04-06,2324.3227
2021-04-05,2312.9155
2021-04-01,2306.4507
2021-03-31,2292.8481
2021-03-30,2269.3483
2021-03-26,2247.7967
2021-03-25,2239.6779
2021-03-24,2246.7052
2021-03-23,2237.6531
2021-03-22,2222.3683
2021-03-19,2200.4306
2021-03-18,2182.1259
2021-03-17,2181.3085
2021-03-16,2177.2286
2021-03-15,2169.0406
2021-03-12,2166.1925
2021-03-10,2163.8846
2021-03-09,2156.2069
2021-03-08,2153.3684
2021-03-05,2155.0851
2021-03-04,2151.1861
2021-03-03,2147.5388
2021-03-02,2143.6512
2021-03-01,2142.4301
2021-02-26,2148.2396
2021-02-25,2158.1140
2021-02-24,2163.2644
2021-02-23,2166.4018
2021-02-22,2170.2473
2021-02-19,2177.2937
2021-02-18,2182.8579
2021-02-17,2196.9826
2021-02-16,2210.5402
2021-02-15,2220.0390
2021-02-12,2227.4933
2021-02-11,2230.8918
2021-02-10,2230.5504
2021-02-09,2235.9440
2021-02-08,2246.7573
2021-02-05,2255.3358
2021-02-04,2258.6832
2021-02-03,2267.8836
2021-02-02,2282.2970
2021-02-01,2300.0780
2021-01-29,2318.0167
2021-01-28,2336.8171
2021-01-27,2350.9804
2021-01-25,2349.1810
2021-01-22,2345.1945
2021-01-21,2338.1624
