time,SMA
2021-12-10,2336.3400
2021-12-09,2336.5250
2021-12-08,2337.4600
2021-12-07,2340.9600
2021-12-06,2348.1850
2021-12-03,2356.3650
2021-12-02,2361.8200
2021-12-01,2362.9900
2021-11-30,2369.1200
2021-11-29,2379.7100
2021-11-26,2387.5000
2021-11-25,2391.6200
2021-11-24,2396.7600
2021-11-23,2402.2400
2021-11-22,2405.9650
2021-11-18,2409.3900
2021-11-17,2410.7350
2021-11-16,2413.0600
2021-11-15,2413.1500
2021-11-12,2410.1100
2021-11-11,2408.4100
2021-11-10,2410.5150
2021-11-09,2414.0050
2021-11-08,2414.9500
2021-11-04,2415.7404
2021-11-03,2416.4664
2021-11-02,2421.7819
2021-11-01,2433.1265
2021-10-29,2456.1853
2021-10-28,2480.0523
2021-10-27,2504.1206
2021-10-26,2530.2866
2021-10-25,2549.6206
2021-10-22,2567.9678
2021-10-21,2589.4508
2021-10-20,2613.2197
2021-10-19,2636.0146
2021-10-18,2649.9391
2021-10-14,2654.7445
2021-10-13,2659.8780
2021-10-12,2663.6150
2021-10-11,2668.4751
2021-10-08,2674.9553
2021-10-07,2685.0384
2021-10-06,2696.0358
2021-10-05,2705.9548
2021-10-04,2716.2217
2021-10-01,2727.3235
2021-09-30,2729.1671
2021-09-29,2735.7865
2021-09-28,2744.8408
2021-09-27,2748.7120
2021-09-24,2756.0519
2021-09-23,2762.7110
2021-09-22,2764.3857
2021-09-21,2763.4912
2021-09-20,2760.2611
2021-09-17,2757.0756
2021-09-16,2764.8578
2021-09-15,2761.2748
2021-09-14,2756.0768
2021-09-13,2748.5679
2021-09-09,2737.9681
2021-09-08,2723.8449
2021-09-07,2708.5538
2021-09-06,2694.8679
2021-09-03,2680.4168
2021-09-02,2665.6426
2021-09-01,2634.3101
2021-08-31,2609.2790
2021-08-30,2579.9542
2021-08-27,2551.7724
2021-08-26,2523.5260
2021-08-25,2496.0250
2021-08-24,2469.8509
2021-08-23,2444.5613
2021-08-20,2418.4170
2021-08-18,2392.7000
2021-08-17,2382.0505
2021-08-16,2372.9166
