time,EMA
2021-12-13,7383.0217
2021-12-10,7353.6043
2021-12-09,7337.4497
2021-12-08,7319.2719
2021-12-07,7293.0546
2021-12-06,7316.5777
2021-12-03,7377.5505
2021-12-02,7416.5285
2021-12-01,7436.8681
2021-11-30,7472.8944
2021-11-29,7558.8376
2021-11-26,7650.4237
2021-11-25,7756.9845
2021-11-24,7798.5477
2021-11-23,7828.3250
2021-11-22,7823.4417
2021-11-18,7814.3509
2021-11-17,7748.0289
2021-11-16,7631.3687
2021-11-15,7538.4173
2021-11-12,7546.7212
2021-11-11,7562.0926
2021-11-10,7586.3243
2021-11-09,7603.5964
2021-11-08,7609.4956
2021-11-04,7592.3725
2021-11-03,7558.5775
2021-11-02,7519.2168
2021-11-01,7458.5873
2021-10-29,7424.3400
2021-10-28,7411.2156
2021-10-27,7419.6190
2021-10-26,7434.5344
2021-10-25,7465.2865
2021-10-22,7510.1835
2021-10-21,7532.2242
2021-10-20,7523.5185
2021-10-19,7508.1893
2021-10-18,7475.9647
2021-10-14,7436.8124
2021-10-13,7424.8596
2021-10-12,7411.6395
2021-10-11,7349.1260
2021-10-08,7271.6207
2021-10-07,7237.3698
2021-10-06,7180.9409
2021-10-05,7176.5499
2021-10-04,7160.5387
2021-10-01,7156.5696
2021-09-30,7155.9406
2021-09-29,7116.1941
2021-09-28,7057.2595
2021-09-27,6976.8061
2021-09-24,6881.8297
2021-09-23,6866.5474
2021-09-22,6871.5134
2021-09-21,6881.0609
2021-09-20,6903.9966
2021-09-17,6892.8292
2021-09-16,6866.2356
2021-09-15,6851.1324
2021-09-14,6838.5062
2021-09-13,6825.0742
2021-09-09,6814.4351
2021-09-08,6817.2318
2021-09-07,6824.4389
2021-09-06,6812.8697
2021-09-03,6805.1408
2021-09-02,6792.2166
2021-09-01,6792.4870
2021-08-31,6794.0729
2021-08-30,6782.9225
2021-08-27,6779.7719
2021-08-26,6818.4323
2021-08-25,6864.9618
2021-08-24,6898.1089
2021-08-23,6918.0443
2021-08-20,6938.3319
2021-08-18,6958.5057
2021-08-17,6984.5402
2021-08-16,7005.9491
2021-08-13,7045.3156
2021-08-12,7055.5858
2021-08-11,7065.7159
2021-08-10,7075.0194
2021-08-09,7091.3793
2021-08-06,7093.5525
2021-08-05,7091.6308
2021-08-04,7106.1043
2021-08-03,7117.0274
2021-08-02,7109.5442
2021-07-30,7127.1165
2021-07-29,7169.9244
2021-07-28,7219.3304
2021-07-27,7244.7607
2021-07-26,7255.6928
2021-07-23,7270.3460
2021-07-22,7276.1991
2021-07-20,7282.1163
2021-07-19,7303.1604
2021-07-16,7343.7417
2021-07-15,7362.9349
2021-07-14,7385.6426
2021-07-13,7408.7152
2021-07-12,7415.1869
2021-07-09,7413.2705
2021-07-08,7421.0857
2021-07-07,7435.9923
2021-07-06,7443.0715
2021-07-05,7438.3645
2021-07-02,7413.6767
2021-07-01,7389.6414
2021-06-30,7356.7099
2021-06-29,7332.3808
2021-06-28,7309.0821
2021-06-25,7256.4930
2021-06-24,7181.2098
2021-06-23,7114.3919
2021-06-22,7054.0673
2021-06-21,7017.6990
2021-06-18,7053.2387
2021-06-17,7084.0456
