time,EMA
2021-12-10,3584.9046
2021-12-09,3573.4278
2021-12-08,3566.7229
2021-12-07,3553.4391
2021-12-06,3546.4922
2021-12-03,3549.1904
2021-12-02,3529.0883
2021-12-01,3504.1858
2021-11-30,3487.7493
2021-11-29,3477.9158
2021-11-26,3472.8526
2021-11-25,3478.8977
2021-11-24,3486.3194
2021-11-23,3495.8237
2021-11-22,3502.9623
2021-11-18,3512.2317
2021-11-17,3520.3610
2021-11-16,3519.5635
2021-11-15,3511.6554
2021-11-12,3502.2677
2021-11-11,3497.3272
2021-11-10,3499.3777
2021-11-09,3502.7172
2021-11-08,3502.3210
2021-11-04,3502.2590
2021-11-03,3500.7498
2021-11-02,3502.5720
2021-11-01,3506.7547
2021-10-29,3513.3002
2021-10-28,3538.7447
2021-10-27,3564.1657
2021-10-26,3580.8803
2021-10-25,3602.6204
2021-10-22,3627.0916
2021-10-21,3655.3230
2021-10-20,3682.4171
2021-10-19,3698.9875
2021-10-18,3713.2958
2021-10-14,3727.9393
2021-10-13,3753.8592
2021-10-12,3777.1501
2021-10-11,3806.0937
2021-10-08,3834.2386
2021-10-07,3813.4548
2021-10-06,3797.5232
2021-10-05,3796.3939
2021-10-04,3789.7347
2021-10-01,3795.4803
2021-09-30,3811.7737
2021-09-29,3821.6628
2021-09-28,3829.9566
2021-09-27,3842.8881
2021-09-24,3845.8403
2021-09-23,3841.8297
2021-09-22,3837.5045
2021-09-21,3833.5934
2021-09-20,3828.2697
2021-09-17,3830.9897
2021-09-16,3832.7393
2021-09-15,3818.8974
2021-09-14,3790.3795
2021-09-13,3770.9724
2021-09-09,3756.4017
2021-09-08,3750.1598
2021-09-07,3746.4456
2021-09-06,3732.8899
2021-09-03,3708.2707
2021-09-02,3680.3319
2021-09-01,3646.9386
2021-08-31,3633.6051
2021-08-30,3601.2285
2021-08-27,3580.5430
2021-08-26,3551.1020
2021-08-25,3526.0089
2021-08-24,3497.9012
2021-08-23,3474.0383
2021-08-20,3439.6271
2021-08-18,3414.9579
2021-08-17,3384.5737
2021-08-16,3348.7904
2021-08-13,3322.9432
2021-08-12,3293.5368
2021-08-11,3281.5387
2021-08-10,3269.8464
2021-08-09,3257.1749
2021-08-06,3244.0941
2021-08-05,3230.8233
2021-08-04,3220.1485
2021-08-03,3209.6965
2021-08-02,3194.5486
2021-07-30,3190.7285
2021-07-29,3197.2381
2021-07-28,3198.7400
2021-07-27,3200.3760
2021-07-26,3205.5805
2021-07-23,3208.3263
2021-07-22,3208.8655
2021-07-20,3208.5264
2021-07-19,3210.6071
2021-07-16,3217.7858
2021-07-15,3224.2864
2021-07-14,3230.7121
2021-07-13,3237.3793
2021-07-12,3251.2711
2021-07-09,3267.1323
2021-07-08,3283.2428
2021-07-07,3292.0116
2021-07-06,3298.7011
2021-07-05,3309.7432
2021-07-02,3310.1373
2021-07-01,3309.7337
2021-06-30,3305.8212
2021-06-29,3300.0986
2021-06-28,3294.3547
2021-06-25,3288.2197
2021-06-24,3270.7401
2021-06-23,3250.9475
2021-06-22,3251.4330
2021-06-21,3243.4947
2021-06-18,3240.0335
2021-06-17,3230.3698
2021-06-16,3213.4462
2021-06-15,3202.4444
2021-06-14,3192.0740
2021-06-11,3176.3227
2021-06-10,3158.1003
2021-06-09,3148.1446
2021-06-08,3139.6393
2021-06-07,3129.0225
2021-06-04,3120.1851
2021-06-03,3117.9375
2021-06-02,3115.5667
2021-06-01,3115.3581
2021-05-31,3109.7694
2021-05-28,3101.7104
2021-05-27,3095.1472
2021-05-26,3079.1359
2021-05-25,3064.4356
2021-05-24,3056.2616
2021-05-21,3056.6950
2021-05-20,3057.5442
2021-05-19,3063.0748
2021-05-18,3065.0003
2021-05-17,3065.7239
2021-05-14,3070.9139
2021-05-12,3081.4528
2021-05-11,3086.0197
2021-05-10,3083.9593
2021-05-07,3076.6068
2021-05-06,3070.5165
2021-05-05,3067.6318
2021-05-04,3067.3985
2021-05-03,3077.5526
2021-04-30,3092.5950
2021-04-29,3110.6718
2021-04-28,3116.2921
2021-04-27,3120.8267
2021-04-26,3124.6512
2021-04-23,3136.0428
2021-04-22,3148.0497
2021-04-20,3160.6768
2021-04-19,3170.6039
2021-04-16,3178.5525
2021-04-15,3181.6163
2021-04-13,3179.7120
2021-04-12,3202.4804
2021-04-09,3200.2571
2021-04-08,3179.7558
2021-04-07,3155.9539
2021-04-06,3136.9385
2021-04-05,3115.2171
2021-04-01,3094.0756
2021-03-31,3084.4012
2021-03-30,3070.0003
2021-03-26,3056.2863
2021-03-25,3059.7425
2021-03-24,3063.9887
2021-03-23,3057.5281
2021-03-22,3044.9847
2021-03-19,3032.3959
2021-03-18,3031.6223
2021-03-17,3036.5020
2021-03-16,3025.7501
2021-03-15,3013.4899
2021-03-12,3007.8321
2021-03-10,3002.9984
2021-03-09,2993.7759
2021-03-08,2987.3492
2021-03-05,2988.9095
2021-03-04,2990.8605
2021-03-03,2984.2814
2021-03-02,2973.8288
2021-03-01,2971.6467
2021-02-26,2987.5566
2021-02-25,3013.6423
2021-02-24,3024.1948
2021-02-23,3046.2322
2021-02-22,3066.8679
2021-02-19,3096.7694
2021-02-18,3108.3519
2021-02-17,3125.7128
2021-02-16,3143.4188
2021-02-15,3157.1750
2021-02-12,3167.2379
2021-02-11,3168.2609
2021-02-10,3166.2738
2021-02-09,3162.7219
2021-02-08,3166.1219
2021-02-05,3161.6113
2021-02-04,3168.6737
2021-02-03,3170.8637
2021-02-02,3170.9416
2021-02-01,3170.1778
2021-01-29,3182.9651
2021-01-28,3204.7165
2021-01-27,3212.2401
2021-01-25,3207.8691
2021-01-22,3196.1068
2021-01-21,3178.8236
2021-01-20,3163.9984
2021-01-19,3138.5229
2021-01-18,3116.8673
2021-01-15,3100.1668
2021-01-14,3076.9361
2021-01-13,3044.8981
2021-01-12,3027.1805
2021-01-11,3002.4373
2021-01-08,2971.7120
2021-01-07,2946.1829
2021-01-06,2934.2476
2021-01-05,2915.2089
2021-01-04,2883.2894
2021-01-01,2855.9380
2020-12-31,2846.9194
2020-12-30,2848.6462
2020-12-29,2842.2606
2020-12-28,2829.6640
2020-12-24,2814.7957
2020-12-23,2800.9758
2020-12-22,2784.3596
2020-12-21,2772.0522
2020-12-18,2768.4514
2020-12-17,2754.4114
2020-12-16,2742.6809
2020-12-15,2733.7621
2020-12-14,2734.3029
2020-12-11,2727.2043
2020-12-10,2721.3969
2020-12-09,2714.1451
2020-12-08,2699.6434
2020-12-07,2684.8647
2020-12-04,2680.0788
2020-12-03,2676.4276
2020-12-02,2675.8228
2020-12-01,2666.1370
2020-11-27,2659.1788
2020-11-26,2661.1816
2020-11-25,2654.4631
2020-11-24,2650.6809
2020-11-23,2641.3541
2020-11-20,2629.5371
2020-11-19,2629.2503
2020-11-18,2633.8567
2020-11-17,2641.9377
2020-11-13,2642.9558
2020-11-12,2646.1565
2020-11-11,2647.1229
2020-11-10,2644.3804
2020-11-09,2649.5133
2020-11-06,2639.0918
2020-11-05,2630.2341
2020-11-04,2624.0243
2020-11-03,2623.9083
2020-11-02,2628.2948
2020-10-30,2639.9868
2020-10-29,2640.8681
2020-10-28,2648.7926
2020-10-27,2661.1049
2020-10-26,2674.0211
2020-10-23,2677.4538
2020-10-22,2681.9130
2020-10-21,2690.8034
2020-10-20,2700.6473
2020-10-19,2698.8411
2020-10-16,2702.5576
2020-10-15,2695.8783
2020-10-14,2692.9464
2020-10-13,2673.7339
2020-10-12,2649.4057
2020-10-09,2618.4564
2020-10-08,2584.1863
2020-10-07,2540.1446
2020-10-06,2505.4465
2020-10-05,2467.6889
2020-10-01,2423.5763
2020-09-30,2409.9577
2020-09-29,2400.1528
2020-09-28,2389.0993
2020-09-25,2389.1384
2020-09-24,2389.8538
2020-09-23,2410.6029
2020-09-22,2406.2713
2020-09-21,2388.6319
2020-09-18,2379.9760
2020-09-17,2372.4280
2020-09-16,2361.1672
2020-09-15,2338.0794
2020-09-14,2312.5751
2020-09-11,2280.9546
2020-09-10,2268.2669
2020-09-09,2261.9749
2020-09-08,2256.0028
2020-09-07,2243.1877
2020-09-04,2232.2418
2020-09-03,2227.1045
2020-09-02,2218.6805
2020-09-01,2215.9907
2020-08-31,2216.9714
2020-08-28,2215.7514
2020-08-27,2218.4738
2020-08-26,2219.4373
2020-08-25,2219.1373
2020-08-24,2221.4849
2020-08-21,2223.1065
2020-08-20,2225.0338
2020-08-19,2226.5576
2020-08-18,2227.4897
2020-08-17,2225.7507
2020-08-14,2227.4228
2020-08-13,2231.5679
2020-08-12,2233.7776
2020-08-11,2236.2157
2020-08-10,2234.2597
2020-08-07,2231.3547
2020-08-06,2224.8820
2020-08-05,2214.1802
2020-08-04,2211.8037
2020-08-03,2211.0113
2020-07-31,2209.5721
2020-07-30,2200.9950
2020-07-29,2191.4967
2020-07-28,2180.5225
2020-07-27,2159.6347
2020-07-24,2156.7378
2020-07-23,2163.8678
2020-07-22,2169.5836
2020-07-21,2172.3669
2020-07-20,2167.9654
2020-07-17,2166.0552
2020-07-16,2165.5592
2020-07-15,2157.8829
2020-07-14,2149.6171
2020-07-13,2153.0222
2020-07-10,2146.7337
2020-07-09,2138.5893
2020-07-08,2132.4131
2020-07-07,2121.9599
2020-07-06,2097.7616
2020-07-03,2069.6820
2020-07-02,2049.3615
2020-07-01,2033.4031
2020-06-30,2028.2688
2020-06-29,2024.2539
2020-06-26,2015.0553
2020-06-25,2000.8097
2020-06-24,2006.2643
2020-06-23,2006.0625
2020-06-22,2007.3338
2020-06-19,2010.4381
2020-06-18,2010.1374
2020-06-17,2012.0084
2020-06-16,2011.9038
2020-06-15,2012.3874
2020-06-12,2016.2326
2020-06-11,2019.0432
2020-06-10,2016.1230
2020-06-09,2003.7089
2020-06-08,1996.1691
2020-06-05,1987.3796
2020-06-04,1981.7254
2020-06-03,1964.8124
2020-06-02,1954.7439
2020-06-01,1943.4098
2020-05-29,1930.0470
2020-05-28,1929.6325
2020-05-27,1921.7985
2020-05-26,1912.2453
2020-05-22,1914.0156
2020-05-21,1899.7171
2020-05-20,1888.2075
2020-05-19,1882.6545
2020-05-18,1876.7820
2020-05-15,1870.3450
2020-05-14,1873.7027
2020-05-13,1876.1734
2020-05-12,1868.5993
2020-05-11,1859.4511
2020-05-08,1851.2422
2020-05-07,1850.3113
2020-05-06,1849.6635
2020-05-05,1846.0409
2020-05-04,1835.6795
2020-04-30,1823.5273
2020-04-29,1790.0130
2020-04-28,1772.9278
2020-04-27,1762.0191
2020-04-24,1753.4987
2020-04-23,1747.2221
2020-04-22,1726.7904
2020-04-21,1724.8349
2020-04-20,1729.8376
2020-04-17,1718.1942
2020-04-16,1706.5763
2020-04-15,1712.2360
2020-04-13,1715.0486
2020-04-09,1713.2711
2020-04-08,1709.4654
2020-04-07,1717.9446
2020-04-03,1713.1850
2020-04-01,1733.6399
2020-03-31,1746.6310
2020-03-30,1737.7940
2020-03-27,1737.2058
2020-03-26,1727.2433
2020-03-25,1717.6582
2020-03-24,1717.8106
2020-03-23,1728.7432
2020-03-20,1750.8589
2020-03-19,1748.4161
2020-03-18,1780.6850
2020-03-17,1819.5041
2020-03-16,1865.3824
2020-03-13,1912.8414
2020-03-12,1947.2302
2020-03-11,1997.3565
2020-03-09,2018.6951
2020-03-06,2040.9602
2020-03-05,2036.6769
2020-03-04,2029.9285
2020-03-03,2030.7057
2020-03-02,2041.2211
2020-02-28,2062.5040
2020-02-27,2088.2895
2020-02-26,2097.5502
2020-02-25,2104.7292
2020-02-24,2106.4022
2020-02-20,2117.0074
2020-02-19,2121.3224
2020-02-18,2118.3169
2020-02-17,2110.1689
2020-02-14,2102.8150
2020-02-13,2098.0314
2020-02-12,2090.4987
2020-02-11,2085.8533
2020-02-10,2084.2504
2020-02-07,2079.9783
2020-02-06,2080.3016
2020-02-05,2082.4261
2020-02-04,2081.4452
2020-02-03,2088.3634
2020-01-31,2097.8027
2020-01-30,2114.4952
2020-01-29,2122.1972
2020-01-28,2128.4437
2020-01-27,2129.3014
2020-01-24,2133.6787
2020-01-23,2135.5809
2020-01-22,2135.9926
