time,SMA
2021-12-10,3587.7350
2021-12-09,3568.6450
2021-12-08,3552.8350
2021-12-07,3534.5400
2021-12-06,3522.4400
2021-12-03,3515.1300
2021-12-02,3498.7300
2021-12-01,3487.0100
2021-11-30,3484.7100
2021-11-29,3486.9000
2021-11-26,3489.2800
2021-11-25,3493.5250
2021-11-24,3497.4100
2021-11-23,3503.5050
2021-11-22,3507.3950
2021-11-18,3512.1750
2021-11-17,3513.8650
2021-11-16,3509.8450
2021-11-15,3502.0600
2021-11-12,3486.5500
2021-11-11,3476.5350
2021-11-10,3476.6200
2021-11-09,3476.4900
2021-11-08,3475.2900
2021-11-04,3475.0350
2021-11-03,3477.4700
2021-11-02,3489.0000
2021-11-01,3504.0850
2021-10-29,3521.0950
2021-10-28,3542.3450
2021-10-27,3564.8150
2021-10-26,3580.6104
2021-10-25,3600.2496
2021-10-22,3643.7761
2021-10-21,3682.2858
2021-10-20,3709.2064
2021-10-19,3731.0574
2021-10-18,3743.9853
2021-10-14,3751.4613
2021-10-13,3767.0586
2021-10-12,3780.5877
2021-10-11,3793.0737
2021-10-08,3808.0899
2021-10-07,3801.7022
2021-10-06,3799.3168
2021-10-05,3804.5667
2021-10-04,3807.6857
2021-10-01,3812.9007
2021-09-30,3822.9963
2021-09-29,3835.7718
2021-09-28,3852.0606
2021-09-27,3862.6552
2021-09-24,3863.3489
2021-09-23,3855.4091
2021-09-22,3845.9673
2021-09-21,3841.2014
2021-09-20,3839.8141
2021-09-17,3841.6106
2021-09-16,3842.3592
2021-09-15,3823.5503
2021-09-14,3806.7575
2021-09-13,3788.4176
2021-09-09,3776.0663
2021-09-08,3764.0195
2021-09-07,3752.5814
2021-09-06,3732.3652
2021-09-03,3710.8864
2021-09-02,3682.5508
2021-09-01,3654.6593
2021-08-31,3638.5252
2021-08-30,3607.1055
2021-08-27,3583.2013
2021-08-26,3546.6515
2021-08-25,3513.6647
2021-08-24,3481.1022
2021-08-23,3452.1777
2021-08-20,3419.6700
2021-08-18,3392.4922
2021-08-17,3364.0417
2021-08-16,3337.2681
2021-08-13,3311.9317
2021-08-12,3282.5481
